"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",58088,"2021-03-19",2058,2066,56836,58157,7,".61%"
"2021-03-13",58275,"2021-03-20",2059,2068,56975,58442,7,".61%"
"2021-03-14",58440,"2021-03-20",2060,2068,57129,58442,6,".61%"
"2021-03-15",58649,"2021-03-21",2060,2071,57279,58745,6,".75%"
"2021-03-16",58896,"2021-03-22",2062,2073,57430,59103,6,".66%"
"2021-03-17",59167,"2021-03-23",2063,2075,57639,59491,6,".65%"
"2021-03-18",59471,"2021-03-23",2065,2075,57896,59491,5,".63%"
"2021-03-19",59815,"2021-03-24",2066,2077,58157,59954,5,".61%"
"2021-03-20",60221,"2021-03-25",2068,2078,58442,60419,5,".51%"
"2021-03-21",60672,"2021-03-26",2071,2079,58745,60927,5,".37%"
"2021-03-22",61158,"2021-03-27",2073,2080,59103,61475,5,".3%"
"2021-03-23",61667,"2021-03-28",2075,2082,59491,62065,5,".27%"
"2021-03-24",62181,"2021-03-29",2077,2085,59954,62655,5,".3%"
"2021-03-25",62739,"2021-03-30",2078,2090,60419,63246,5,".42%"
"2021-03-26",63352,"2021-03-31",2079,2093,60927,63844,5,".48%"
"2021-03-27",63964,"2021-04-01",2080,2096,61475,64445,5,".54%"
"2021-03-28",64579,"2021-04-02",2082,2099,62065,65047,5,".57%"
"2021-03-29",65191,"2021-04-03",2085,2103,62655,65665,5,".6%"
"2021-03-30",65804,"2021-04-04",2090,2107,63246,66277,5,".56%"
"2021-03-31",66424,"2021-04-05",2093,2113,63844,66751,5,".69%"
"2021-04-01",67050,"2021-04-06",2096,2120,64445,67214,5,".87%"
"2021-04-02",67679,"2021-04-08",2099,2135,65047,68171,6,"1.15%"
"2021-04-03",68335,"2021-04-09",2103,2147,65665,68687,6,"1.46%"
"2021-04-04",69011,"2021-04-10",2107,2163,66277,69320,6,"1.84%"
"2021-04-05",69798,"2021-04-11",2113,2183,66751,70161,6,"2.05%"
"2021-04-06",70615,"2021-04-12",2120,2203,67214,71010,6,"2.19%"
"2021-04-07",71438,"2021-04-13",2126,2226,67672,71468,6,"2.63%"
"2021-04-08",72415,"2021-04-15",2135,2279,68171,72503,7,"3.32%"
"2021-04-09",73731,"2021-04-17",2147,2330,68687,73764,8,"3.6%"
"2021-04-10",75171,"2021-04-19",2163,2381,69320,75382,9,"3.6%"
"2021-04-11",76703,"2021-04-21",2183,2427,70161,77321,10,"3.41%"
"2021-04-12",78636,"2021-04-23",2203,2473,71010,79730,11,"3.1%"
"2021-04-13",80918,"2021-04-24",2226,2499,71468,81420,11,"2.74%"
"2021-04-14",83444,"2021-04-26",2251,2555,71934,84947,12,"2.34%"
"2021-04-15",86116,"2021-04-27",2279,2581,72503,86976,12,"2.09%"
"2021-04-16",89014,"2021-04-28",2305,2607,73057,89265,12,"1.86%"
"2021-04-17",92317,"2021-04-30",2330,2655,73764,94838,13,"1.54%"
"2021-04-18",96011,"2021-05-01",2358,2677,74545,98059,13,"1.36%"
"2021-04-19",100269,"2021-05-02",2381,2704,75382,101617,13,"1.23%"
"2021-04-20",104960,"2021-05-03",2404,2730,76329,105595,13,"1.11%"
"2021-04-21",109866,"2021-05-04",2427,2753,77321,110266,13,".99%"
"2021-04-22",115092,"2021-05-05",2451,2776,78384,115378,13,".88%"
"2021-04-23",115092,"2021-05-05",2473,2776,79730,115378,12,".85%"
"2021-04-24",126245,"2021-05-08",2499,2826,81420,132307,14,".64%"
"2021-04-25",132109,"2021-05-08",2528,2826,83093,132307,13,".61%"
"2021-04-26",137788,"2021-05-09",2555,2845,84947,138963,13,".54%"
"2021-04-27",143513,"2021-05-10",2581,2865,86976,145759,13,".48%"
"2021-04-28",149253,"2021-05-11",2607,2883,89265,152510,13,".44%"
"2021-04-29",154572,"2021-05-12",2632,2900,91847,159317,13,".4%"
"2021-04-30",160011,"2021-05-13",2655,2916,94838,166443,13,".36%"
"2021-05-01",165071,"2021-05-13",2677,2916,98059,166443,12,".35%"
"2021-05-02",169815,"2021-05-14",2704,2932,101617,173738,12,".32%"
"2021-05-03",174486,"2021-05-15",2730,2944,105595,180984,12,".28%"
"2021-05-04",179240,"2021-05-15",2753,2944,110266,180984,11,".27%"
"2021-05-05",183488,"2021-05-16",2776,2957,115378,188006,11,".25%"
"2021-05-06",187445,"2021-05-16",2793,2957,120538,188006,10,".24%"
"2021-05-07",191282,"2021-05-17",2810,2969,125825,192753,10,".24%"
"2021-05-08",194724,"2021-05-18",2826,2981,132307,195464,10,".25%"
"2021-05-09",197679,"2021-05-20",2845,3001,138963,198072,11,".26%"
"2021-05-10",200942,"2021-05-22",2865,3018,145759,201112,12,".28%"
"2021-05-11",204069,"2021-05-24",2883,3033,152510,205570,13,".28%"
"2021-05-12",206952,"2021-05-25",2900,3041,159317,208815,13,".28%"
"2021-05-13",209894,"2021-05-26",2916,3047,166443,212504,13,".28%"
"2021-05-14",212718,"2021-05-27",2932,3053,173738,216345,13,".28%"
"2021-05-15",215178,"2021-05-27",2944,3053,180984,216345,12,".31%"
"2021-05-16",217456,"2021-05-28",2957,3060,188006,218695,12,".34%"
"2021-05-17",219833,"2021-05-29",2969,3067,192753,220827,12,".35%"
"2021-05-18",221728,"2021-05-30",2981,3072,195464,222246,12,".34%"
"2021-05-19",223052,"2021-05-31",2992,3076,197078,223198,12,".32%"
"2021-05-20",224158,"2021-06-02",3001,3086,198072,224921,13,".32%"
"2021-05-21",224989,"2021-06-03",3011,3090,199458,225381,13,".3%"
"2021-05-22",225700,"2021-06-04",3018,3094,201112,225876,13,".31%"
"2021-05-23",226269,"2021-06-05",3025,3098,202999,226313,13,".31%"
"2021-05-24",226744,"2021-06-06",3033,3101,205570,226773,13,".32%"
"2021-05-25",227266,"2021-06-08",3041,3107,208815,227334,14,".36%"
"2021-05-26",227644,"2021-06-10",3047,3112,212504,227869,15,".42%"
"2021-05-27",227996,"2021-06-11",3053,3114,216345,228103,15,".52%"
"2021-05-28",228344,"2021-06-13",3060,3118,218695,228514,16,".59%"
"2021-05-29",228637,"2021-06-14",3067,3120,220827,228699,16,".67%"
"2021-05-30",228882,"2021-06-16",3072,3124,222246,228967,17,".77%"
"2021-05-31",229152,"2021-06-18",3076,3128,223198,229172,18,".87%"
"2021-06-01",229414,"2021-06-22",3081,3132,224058,229449,21,".95%"
"2021-06-02",229646,"2021-06-26",3086,3136,224921,229711,24,"1.04%"
"2021-06-03",229842,"2021-06-28",3090,3139,225381,229850,25,"1.1%"
"2021-06-04",230026,"2021-07-03",3094,3145,225876,230044,29,"1.22%"
"2021-06-05",230175,"2021-07-06",3098,3148,226313,230203,31,"1.29%"
"2021-06-06",230309,"2021-07-08",3101,3148,226773,230662,32,"1.21%"
"2021-06-07",230429,"2021-07-08",3104,3148,227089,230662,31,"1.23%"
"2021-06-08",230542,"2021-07-08",3107,3148,227334,230662,30,"1.23%"
"2021-06-09",230640,"2021-07-08",3110,3148,227612,230662,29,"1.25%"
"2021-06-10",230730,"2021-07-10",3112,3148,227869,230809,30,"1.22%"
"2021-06-11",230802,"2021-07-10",3114,3148,228103,230809,29,"1.26%"
"2021-06-12",230866,"2021-07-11",3116,3148,228308,230917,29,"1.23%"
"2021-06-13",230921,"2021-07-12",3118,3148,228514,230945,29,"1.23%"
"2021-06-14",230968,"2021-07-13",3120,3148,228699,230976,29,"1.23%"
"2021-06-15",231017,"2021-07-15",3122,3148,228839,231023,30,"1.19%"
"2021-06-16",231065,"2021-07-17",3124,3148,228967,231080,31,"1.14%"
"2021-06-17",231112,"2021-07-19",3126,3149,229073,231135,32,"1.12%"
"2021-06-18",231155,"2021-07-20",3128,3149,229172,231160,32,"1.06%"
"2021-06-19",231195,"2021-07-22",3129,3149,229254,231200,33,"1.03%"
"2021-06-20",231233,"2021-07-25",3130,3149,229326,231239,35,".99%"
"2021-06-21",231269,"2021-07-28",3131,3149,229389,231273,37,".96%"
"2021-06-22",231299,"2021-08-02",3132,3149,229449,231302,41,".92%"
"2021-06-23",231330,"2021-08-05",3133,3149,229507,231332,43,".88%"
"2021-06-24",231356,"2021-08-11",3134,3149,229553,231357,48,".83%"
"2021-06-25",231383,"2021-08-15",3135,3149,229639,231385,51,".8%"
