"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",5470,"2021-04-13",17,17,5406,5476,24,"0.%"
"2021-03-21",5472,"2021-04-13",17,17,5408,5476,23,"0.%"
"2021-03-23",5473,"2021-04-13",17,17,5409,5476,21,"0.%"
"2021-03-24",5478,"2021-04-14",17,17,5409,5480,21,"0.%"
"2021-03-25",5479,"2021-04-14",17,17,5409,5480,20,"0.%"
"2021-03-27",5482,"2021-04-15",17,17,5409,5493,19,"0.%"
"2021-03-28",5485,"2021-04-15",17,17,5413,5493,18,"0.%"
"2021-03-29",5487,"2021-04-15",17,17,5413,5493,17,"0.%"
"2021-03-31",5490,"2021-04-15",17,17,5413,5493,15,"0.%"
"2021-04-01",5491,"2021-04-15",17,17,5413,5493,14,"0.%"
"2021-04-02",5492,"2021-04-15",17,17,5418,5493,13,"0.%"
"2021-04-03",5499,"2021-04-16",17,17,5419,5502,13,"0.%"
"2021-04-04",5515,"2021-04-17",17,19,5421,5515,13,"2.13%"
"2021-04-05",5517,"2021-04-18",17,19,5424,5534,13,"1.82%"
"2021-04-06",5524,"2021-04-18",17,19,5426,5534,12,"1.85%"
"2021-04-07",5532,"2021-04-18",17,19,5428,5534,11,"1.89%"
"2021-04-08",5545,"2021-04-19",17,20,5431,5549,11,"2.54%"
"2021-04-09",5562,"2021-04-21",17,21,5437,5583,12,"2.74%"
"2021-04-10",5573,"2021-04-21",17,21,5445,5583,11,"2.9%"
"2021-04-11",5592,"2021-04-22",17,21,5453,5598,11,"2.76%"
"2021-04-12",5606,"2021-04-23",17,21,5461,5637,11,"2.27%"
"2021-04-13",5642,"2021-04-24",17,24,5476,5668,11,"3.65%"
"2021-04-14",5689,"2021-04-25",17,25,5480,5708,11,"3.51%"
"2021-04-15",5738,"2021-04-26",17,26,5493,5790,11,"3.03%"
"2021-04-16",5788,"2021-04-26",17,26,5502,5790,10,"3.12%"
"2021-04-17",5849,"2021-04-28",19,31,5515,5937,11,"2.84%"
"2021-04-18",5929,"2021-04-28",19,31,5534,5937,10,"2.98%"
"2021-04-19",5994,"2021-04-30",20,32,5549,6123,11,"2.09%"
"2021-04-20",6138,"2021-05-01",20,32,5556,6305,11,"1.6%"
"2021-04-21",6332,"2021-05-02",21,35,5583,6498,11,"1.53%"
"2021-04-22",6548,"2021-05-03",21,36,5598,6707,11,"1.35%"
"2021-04-23",6762,"2021-05-04",21,36,5637,6981,11,"1.12%"
"2021-04-24",7004,"2021-05-05",24,37,5668,7290,11,".8%"
"2021-04-25",7290,"2021-05-05",25,37,5708,7290,10,".76%"
"2021-04-26",7564,"2021-05-06",26,38,5790,7576,10,".67%"
"2021-04-27",7927,"2021-05-07",30,38,5842,7968,10,".38%"
"2021-04-28",8355,"2021-05-08",31,38,5937,8421,10,".28%"
"2021-04-29",8771,"2021-05-09",31,39,5987,8829,10,".28%"
"2021-04-30",9162,"2021-05-10",32,39,6123,9214,10,".23%"
"2021-05-01",9562,"2021-05-11",32,40,6305,9670,10,".24%"
"2021-05-02",9857,"2021-05-12",35,41,6498,9956,10,".17%"
"2021-05-03",10154,"2021-05-13",36,41,6707,10243,10,".14%"
"2021-05-04",10477,"2021-05-14",36,41,6981,10668,10,".14%"
"2021-05-05",10839,"2021-05-15",37,41,7290,11050,10,".11%"
"2021-05-06",11139,"2021-05-16",38,41,7576,11375,10,".08%"
"2021-05-07",11652,"2021-05-17",38,44,7968,11746,10,".16%"
"2021-05-08",11961,"2021-05-18",38,45,8421,12123,10,".19%"
"2021-05-09",12279,"2021-05-19",39,47,8829,12387,10,".22%"
"2021-05-10",12500,"2021-05-20",39,47,9214,12625,10,".23%"
"2021-05-11",12766,"2021-05-21",40,48,9670,12919,10,".25%"
"2021-05-12",13057,"2021-05-22",41,48,9956,13231,10,".21%"
"2021-05-13",13382,"2021-05-23",41,51,10243,13535,10,".3%"
"2021-05-14",13650,"2021-05-24",41,53,10668,13782,10,".39%"
"2021-05-15",13876,"2021-05-25",41,55,11050,14040,10,".47%"
"2021-05-16",14116,"2021-05-26",41,55,11375,14332,10,".47%"
"2021-05-17",14316,"2021-05-26",44,55,11746,14332,9,".43%"
"2021-05-18",14581,"2021-05-28",45,58,12123,14804,10,".48%"
"2021-05-19",14859,"2021-05-29",47,61,12387,15019,10,".53%"
"2021-05-20",15050,"2021-05-30",47,65,12625,15222,10,".69%"
"2021-05-21",15171,"2021-05-30",48,65,12919,15222,9,".74%"
"2021-05-22",15302,"2021-05-31",48,68,13231,15329,9,".95%"
"2021-05-23",15489,"2021-06-01",51,68,13535,15490,9,".87%"
"2021-05-24",15583,"2021-06-02",53,70,13782,15599,9,".94%"
"2021-05-25",15687,"2021-06-04",55,73,14040,15774,10,"1.04%"
"2021-05-26",15794,"2021-06-05",55,74,14332,15830,10,"1.27%"
"2021-05-27",15902,"2021-06-06",57,76,14572,15937,10,"1.39%"
"2021-05-28",15978,"2021-06-07",58,76,14804,15986,10,"1.52%"
"2021-05-29",16018,"2021-06-09",61,118,15019,16094,11,"5.3%"
"2021-05-30",16099,"2021-06-10",65,119,15222,16150,11,"5.82%"
"2021-05-31",16148,"2021-06-10",68,119,15329,16150,10,"6.21%"
"2021-06-01",16192,"2021-06-11",68,119,15490,16211,10,"7.07%"
"2021-06-02",16269,"2021-06-12",70,120,15599,16286,10,"7.28%"
"2021-06-03",16310,"2021-06-13",72,120,15665,16352,10,"6.99%"
"2021-06-04",16356,"2021-06-14",73,120,15774,16410,10,"7.39%"
"2021-06-05",16440,"2021-06-15",74,121,15830,16488,10,"7.14%"
"2021-06-06",16496,"2021-06-16",76,121,15937,16531,10,"7.58%"
"2021-06-07",16545,"2021-06-17",76,121,15986,16587,10,"7.49%"
