"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-18",66,"2020-07-15",,1,,89,27,"-"
"2020-06-19",68,"2020-07-15",,1,,89,26,"-"
"2020-06-20",69,"2020-07-15",,1,,89,25,"-"
"2020-06-21",80,"2020-07-15",,1,,89,24,"-"
"2020-06-22",84,"2020-07-15",,1,,89,23,"-"
"2020-06-23",84,"2020-07-15",,1,,89,22,"-"
"2020-06-24",90,"2020-07-16",,1,,95,22,"-"
"2020-06-25",93,"2020-07-16",,1,,95,21,"-"
"2020-06-26",95,"2020-07-16",,1,,95,20,"-"
"2020-06-27",97,"2020-07-17",,1,,101,20,"-"
"2020-06-28",101,"2020-07-17",,1,,101,19,"-"
"2020-06-29",106,"2020-07-18",,1,,107,19,"-"
"2020-06-30",106,"2020-07-18",,1,,107,18,"-"
"2020-07-01",107,"2020-07-18",,1,,107,17,"-"
"2020-07-02",115,"2020-07-21",,1,,118,19,"-"
"2020-07-03",117,"2020-07-21",,1,,118,18,"-"
"2020-07-04",119,"2020-07-22",,2,,120,18,"-"
"2020-07-05",125,"2020-07-23",,2,,142,18,"-"
"2020-07-06",131,"2020-07-23",,2,,142,17,"-"
"2020-07-07",132,"2020-07-23",,2,,142,16,"-"
"2020-07-08",152,"2020-07-24",,2,,238,16,"-"
"2020-07-09",172,"2020-07-24",,2,,238,15,"-"
"2020-07-10",184,"2020-07-24",,2,,238,14,"-"
"2020-07-11",189,"2020-07-24",,2,,238,13,"-"
"2020-07-12",205,"2020-07-24",,2,,238,12,"-"
"2020-07-15",260,"2020-07-26",1,2,89,281,11,".52%"
"2020-07-16",286,"2020-07-27",1,2,95,306,11,".47%"
"2020-07-17",297,"2020-07-27",1,2,101,306,10,".49%"
"2020-07-18",325,"2020-07-28",1,2,107,333,10,".44%"
"2020-07-19",374,"2020-07-30",1,2,112,384,11,".37%"
"2020-07-20",398,"2020-07-31",1,2,113,429,11,".32%"
"2020-07-21",398,"2020-07-31",1,2,118,429,10,".32%"
"2020-07-22",441,"2020-08-01",2,2,120,461,10,"0.%"
"2020-07-23",504,"2020-08-03",2,2,142,545,11,"0.%"
"2020-07-24",533,"2020-08-03",2,2,238,545,10,"0.%"
"2020-07-25",573,"2020-08-05",2,2,250,629,11,"0.%"
"2020-07-26",621,"2020-08-05",2,2,281,629,10,"0.%"
"2020-07-27",691,"2020-08-07",2,2,306,706,11,"0.%"
"2020-07-28",698,"2020-08-07",2,2,333,706,10,"0.%"
"2020-07-29",732,"2020-08-09",2,2,353,756,11,"0.%"
"2020-07-30",738,"2020-08-09",2,2,384,756,10,"0.%"
"2020-07-31",797,"2020-08-11",2,2,429,833,11,"0.%"
"2020-08-01",811,"2020-08-11",2,2,461,833,10,"0.%"
"2020-08-02",853,"2020-08-12",2,3,491,859,10,".27%"
"2020-08-03",879,"2020-08-13",2,3,545,881,10,".3%"
"2020-08-04",879,"2020-08-13",2,3,571,881,9,".32%"
"2020-08-05",918,"2020-08-15",2,3,629,928,10,".33%"
"2020-08-06",976,"2020-08-17",2,3,649,982,11,".3%"
"2020-08-07",999,"2020-08-18",2,3,706,1041,11,".3%"
"2020-08-08",1040,"2020-08-18",2,3,725,1041,10,".32%"
"2020-08-09",1057,"2020-08-21",2,3,756,1073,12,".32%"
"2020-08-10",1075,"2020-08-22",2,3,765,1119,12,".28%"
"2020-08-11",1079,"2020-08-22",2,3,833,1119,11,".35%"
"2020-08-12",1121,"2020-08-23",3,3,859,1138,11,"0.%"
"2020-08-13",1152,"2020-08-24",3,3,881,1186,11,"0.%"
"2020-08-14",1210,"2020-08-25",3,3,889,1223,11,"0.%"
"2020-08-15",1241,"2020-08-27",3,3,928,1264,12,"0.%"
"2020-08-16",1271,"2020-08-28",3,3,967,1300,12,"0.%"
"2020-08-17",1294,"2020-08-28",3,3,982,1300,11,"0.%"
"2020-08-18",1299,"2020-08-28",3,3,1041,1300,10,"0.%"
"2020-08-19",1363,"2020-08-30",3,3,1046,1386,11,"0.%"
"2020-08-20",1398,"2020-08-31",3,3,1055,1409,11,"0.%"
"2020-08-21",1432,"2020-09-02",3,3,1073,1465,12,"0.%"
"2020-08-22",1469,"2020-09-03",3,3,1119,1487,12,"0.%"
"2020-08-23",1498,"2020-09-04",3,3,1138,1513,12,"0.%"
"2020-08-24",1517,"2020-09-05",3,3,1186,1573,12,"0.%"
"2020-08-25",1523,"2020-09-05",3,3,1223,1573,11,"0.%"
"2020-08-26",1586,"2020-09-06",3,3,1236,1592,11,"0.%"
"2020-08-27",1613,"2020-09-07",3,3,1264,1624,11,"0.%"
"2020-08-28",1662,"2020-09-10",3,3,1300,1675,13,"0.%"
"2020-08-29",1689,"2020-09-11",3,3,1341,1714,13,"0.%"
"2020-08-30",1724,"2020-09-12",3,3,1386,1742,13,"0.%"
"2020-08-31",1739,"2020-09-12",3,3,1409,1742,12,"0.%"
"2020-09-01",1739,"2020-09-12",3,3,1423,1742,11,"0.%"
"2020-09-02",1751,"2020-09-13",3,3,1465,1762,11,"0.%"
"2020-09-03",1795,"2020-09-15",3,3,1487,1830,12,"0.%"
"2020-09-04",1824,"2020-09-15",3,3,1513,1830,11,"0.%"
"2020-09-05",1855,"2020-09-17",3,3,1573,1898,12,"0.%"
"2020-09-06",1894,"2020-09-17",3,3,1592,1898,11,"0.%"
"2020-09-07",1898,"2020-09-17",3,3,1624,1898,10,"0.%"
"2020-09-08",1983,"2020-09-19",3,3,1636,2025,11,"0.%"
"2020-09-09",2007,"2020-09-19",3,3,1660,2025,10,"0.%"
"2020-09-10",2112,"2020-09-21",3,3,1675,2127,11,"0.%"
"2020-09-11",2140,"2020-09-22",3,3,1714,2169,11,"0.%"
"2020-09-12",2226,"2020-09-24",3,3,1742,2285,12,"0.%"
"2020-09-13",2266,"2020-09-24",3,3,1762,2285,11,"0.%"
"2020-09-14",2324,"2020-09-25",3,3,1787,2354,11,"0.%"
"2020-09-15",2353,"2020-09-25",3,3,1830,2354,10,"0.%"
"2020-09-16",2429,"2020-09-27",3,3,1851,2512,11,"0.%"
"2020-09-17",2533,"2020-09-28",3,3,1898,2548,11,"0.%"
"2020-09-18",2633,"2020-09-30",3,3,1971,2653,12,"0.%"
"2020-09-19",2680,"2020-10-01",3,3,2025,2723,12,"0.%"
"2020-09-20",2757,"2020-10-02",3,3,2090,2816,12,"0.%"
"2020-09-21",2839,"2020-10-03",3,4,2127,2932,12,".12%"
"2020-09-22",2881,"2020-10-03",3,4,2169,2932,11,".13%"
"2020-09-23",2960,"2020-10-04",3,4,2224,3012,11,".13%"
"2020-09-24",3111,"2020-10-06",3,4,2285,3159,12,".11%"
"2020-09-25",3225,"2020-10-07",3,5,2354,3249,12,".22%"
"2020-09-26",3332,"2020-10-09",3,5,2418,3416,13,".2%"
"2020-09-27",3457,"2020-10-10",3,5,2512,3473,13,".21%"
"2020-09-28",3571,"2020-10-13",3,6,2548,3682,15,".26%"
"2020-09-29",3628,"2020-10-13",3,6,2632,3682,14,".29%"
"2020-09-30",3785,"2020-10-14",3,6,2653,3837,14,".25%"
"2020-10-01",3915,"2020-10-15",3,6,2723,3961,14,".24%"
"2020-10-02",4051,"2020-10-17",3,7,2816,4078,15,".32%"
"2020-10-03",4157,"2020-10-18",4,7,2932,4209,15,".23%"
"2020-10-04",4253,"2020-10-19",4,7,3012,4262,15,".24%"
"2020-10-05",4324,"2020-10-20",4,7,3073,4347,15,".24%"
"2020-10-06",4380,"2020-10-21",4,7,3159,4418,15,".24%"
"2020-10-07",4500,"2020-10-22",5,7,3249,4512,15,".16%"
"2020-10-08",4621,"2020-10-24",5,7,3318,4638,16,".15%"
"2020-10-09",4774,"2020-10-26",5,7,3416,4795,17,".15%"
"2020-10-10",4913,"2020-10-28",5,8,3473,4958,18,".2%"
"2020-10-11",5036,"2020-10-30",5,9,3523,5130,19,".25%"
"2020-10-12",5130,"2020-10-30",6,9,3553,5130,18,".19%"
"2020-10-13",5209,"2020-10-31",6,9,3682,5409,18,".17%"
"2020-10-14",5323,"2020-10-31",6,9,3837,5409,17,".19%"
"2020-10-15",5466,"2020-11-01",6,9,3961,5762,17,".17%"
"2020-10-16",5590,"2020-11-01",7,9,4015,5762,16,".11%"
"2020-10-17",5730,"2020-11-01",7,9,4078,5762,15,".12%"
"2020-10-18",5892,"2020-11-03",7,9,4209,5916,16,".12%"
"2020-10-19",5920,"2020-11-04",7,9,4262,6006,16,".11%"
"2020-10-20",5992,"2020-11-04",7,9,4347,6006,15,".12%"
"2020-10-21",6092,"2020-11-05",7,9,4418,6119,15,".12%"
"2020-10-22",6157,"2020-11-06",7,9,4512,6223,15,".12%"
"2020-10-23",6297,"2020-11-07",7,9,4589,6323,15,".12%"
"2020-10-24",6498,"2020-11-10",7,9,4638,6570,17,".1%"
"2020-10-25",6650,"2020-11-11",7,9,4729,6661,17,".1%"
"2020-10-26",6729,"2020-11-12",7,9,4795,6911,17,".09%"
"2020-10-27",6778,"2020-11-12",8,9,4868,6911,16,".05%"
"2020-10-28",6893,"2020-11-12",8,9,4958,6911,15,".05%"
"2020-10-29",7061,"2020-11-14",9,10,5025,7076,16,".05%"
"2020-10-30",7137,"2020-11-15",9,10,5130,7146,16,".05%"
"2020-10-31",7194,"2020-11-16",9,11,5409,7430,16,".1%"
"2020-11-01",7342,"2020-11-16",9,11,5762,7430,15,".12%"
"2020-11-02",7402,"2020-11-16",9,11,5840,7430,14,".13%"
"2020-11-03",7469,"2020-11-17",9,11,5916,7484,14,".13%"
"2020-11-04",7673,"2020-11-19",9,11,6006,7888,15,".11%"
"2020-11-05",7789,"2020-11-19",9,11,6119,7888,14,".11%"
"2020-11-06",7946,"2020-11-20",9,11,6223,7950,14,".12%"
"2020-11-07",8054,"2020-11-22",9,11,6323,8171,15,".11%"
"2020-11-08",8233,"2020-11-23",9,11,6416,8308,15,".11%"
"2020-11-09",8275,"2020-11-23",9,11,6465,8308,14,".11%"
"2020-11-10",8364,"2020-11-25",9,11,6570,8538,15,".1%"
"2020-11-11",8589,"2020-11-26",9,12,6661,8623,15,".15%"
"2020-11-12",8774,"2020-11-27",9,12,6911,8797,15,".16%"
"2020-11-13",8961,"2020-11-29",9,12,6989,9055,16,".15%"
"2020-11-14",9068,"2020-11-30",10,12,7076,9510,16,".08%"
"2020-11-15",9233,"2020-11-30",10,12,7146,9510,15,".08%"
"2020-11-16",9316,"2020-11-30",11,12,7430,9510,14,".05%"
"2020-11-17",9432,"2020-11-30",11,12,7484,9510,13,".05%"
