"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-23",800,"2020-08-07",13,23,527,826,15,"3.34%"
"2020-07-24",823,"2020-08-07",13,23,531,826,14,"3.39%"
"2020-07-25",852,"2020-08-08",13,24,551,879,14,"3.35%"
"2020-07-26",887,"2020-08-09",13,25,568,912,14,"3.49%"
"2020-07-27",910,"2020-08-09",14,25,572,912,13,"3.24%"
"2020-07-28",934,"2020-08-10",14,25,596,1012,13,"2.64%"
"2020-07-29",978,"2020-08-10",14,25,608,1012,12,"2.72%"
"2020-07-30",1016,"2020-08-11",14,26,644,1024,12,"3.16%"
"2020-07-31",1051,"2020-08-13",15,28,665,1087,13,"3.08%"
"2020-08-01",1079,"2020-08-13",18,28,684,1087,12,"2.48%"
"2020-08-02",1117,"2020-08-15",19,28,700,1129,13,"2.1%"
"2020-08-03",1160,"2020-08-17",19,30,708,1196,14,"2.25%"
"2020-08-04",1206,"2020-08-18",20,30,718,1256,14,"1.86%"
"2020-08-05",1270,"2020-08-19",20,31,718,1365,14,"1.7%"
"2020-08-06",1327,"2020-08-19",20,31,780,1365,13,"1.88%"
"2020-08-07",1374,"2020-08-20",23,31,826,1404,13,"1.38%"
"2020-08-08",1426,"2020-08-21",24,33,879,1442,13,"1.6%"
"2020-08-09",1515,"2020-08-24",25,37,912,1666,15,"1.59%"
"2020-08-10",1595,"2020-08-24",25,37,1012,1666,14,"1.83%"
"2020-08-11",1670,"2020-08-25",26,40,1024,1736,14,"1.97%"
"2020-08-12",1751,"2020-08-26",27,41,1033,1824,14,"1.77%"
"2020-08-13",1842,"2020-08-27",28,43,1087,2003,14,"1.64%"
"2020-08-14",1928,"2020-08-27",28,43,1102,2003,13,"1.66%"
"2020-08-15",2009,"2020-08-28",28,45,1129,2135,13,"1.69%"
"2020-08-16",2102,"2020-08-28",29,45,1149,2135,12,"1.62%"
"2020-08-17",2216,"2020-08-29",30,45,1196,2276,12,"1.39%"
"2020-08-18",2305,"2020-08-30",30,52,1256,2331,12,"2.05%"
"2020-08-19",2396,"2020-08-31",31,56,1365,2470,12,"2.26%"
"2020-08-20",2515,"2020-09-01",31,57,1404,2591,12,"2.19%"
"2020-08-21",2631,"2020-09-02",33,59,1442,2712,12,"2.05%"
"2020-08-22",2776,"2020-09-03",33,63,1487,2929,12,"2.08%"
"2020-08-23",2918,"2020-09-03",37,63,1512,2929,11,"1.83%"
"2020-08-24",3035,"2020-09-04",37,68,1666,3156,11,"2.08%"
"2020-08-25",3209,"2020-09-05",40,69,1736,3342,11,"1.81%"
"2020-08-26",3376,"2020-09-06",41,71,1824,3493,11,"1.8%"
"2020-08-27",3564,"2020-09-07",43,74,2003,3791,11,"1.73%"
"2020-08-28",3724,"2020-09-07",45,74,2135,3791,10,"1.75%"
"2020-08-29",3985,"2020-09-08",45,75,2276,4018,10,"1.72%"
"2020-08-30",4155,"2020-09-09",52,77,2331,4200,10,"1.34%"
"2020-08-31",4346,"2020-09-10",56,80,2470,4394,10,"1.25%"
"2020-09-01",4550,"2020-09-11",57,83,2591,4666,10,"1.25%"
"2020-09-02",4789,"2020-09-12",59,89,2712,4936,10,"1.35%"
"2020-09-03",5065,"2020-09-13",63,90,2929,5243,10,"1.17%"
"2020-09-04",5268,"2020-09-14",68,95,3156,5378,10,"1.22%"
"2020-09-05",5502,"2020-09-15",69,96,3342,5581,10,"1.21%"
"2020-09-06",5763,"2020-09-16",71,101,3493,5767,10,"1.32%"
"2020-09-07",5995,"2020-09-17",74,106,3791,6151,10,"1.36%"
"2020-09-08",6372,"2020-09-18",75,110,4018,6508,10,"1.41%"
"2020-09-09",6704,"2020-09-19",77,116,4200,6865,10,"1.46%"
"2020-09-10",6987,"2020-09-20",80,120,4394,7241,10,"1.4%"
"2020-09-11",7292,"2020-09-21",83,123,4666,7517,10,"1.4%"
"2020-09-12",7542,"2020-09-22",89,127,4936,7904,10,"1.28%"
"2020-09-13",7991,"2020-09-23",90,137,5243,8169,10,"1.61%"
"2020-09-14",8245,"2020-09-24",95,144,5378,8469,10,"1.59%"
"2020-09-15",8592,"2020-09-25",96,145,5581,8805,10,"1.52%"
"2020-09-16",8958,"2020-09-26",101,145,5767,9065,10,"1.33%"
"2020-09-17",9256,"2020-09-28",106,153,6151,9461,11,"1.42%"
"2020-09-18",9516,"2020-09-29",110,158,6508,9739,11,"1.49%"
"2020-09-19",9806,"2020-09-30",116,162,6865,9958,11,"1.49%"
"2020-09-20",10092,"2020-10-01",120,164,7241,10156,11,"1.51%"
"2020-09-21",10308,"2020-10-02",123,169,7517,10314,11,"1.64%"
"2020-09-22",10556,"2020-10-04",127,174,7904,10755,12,"1.65%"
"2020-09-23",10736,"2020-10-04",137,174,8169,10755,11,"1.43%"
"2020-09-24",10978,"2020-10-06",144,180,8469,11198,12,"1.32%"
"2020-09-25",11222,"2020-10-07",145,182,8805,11355,12,"1.45%"
"2020-09-26",11390,"2020-10-08",145,186,9065,11513,12,"1.67%"
"2020-09-27",11563,"2020-10-09",147,188,9233,11676,12,"1.68%"
"2020-09-28",11688,"2020-10-10",153,190,9461,11835,12,"1.56%"
"2020-09-29",11826,"2020-10-10",158,190,9739,11835,11,"1.53%"
"2020-09-30",11948,"2020-10-11",162,191,9958,11961,11,"1.45%"
"2020-10-01",12067,"2020-10-12",164,192,10156,12073,11,"1.46%"
"2020-10-02",12222,"2020-10-15",169,199,10314,12302,13,"1.51%"
"2020-10-03",12370,"2020-10-16",172,204,10551,12427,13,"1.71%"
"2020-10-04",12455,"2020-10-17",174,205,10755,12536,13,"1.74%"
"2020-10-05",12588,"2020-10-18",177,206,10957,12631,13,"1.73%"
