"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-19",1089,"2020-08-25",,5,,3635,37,"-"
"2020-07-20",431,"2020-08-21",,5,,537,32,"-"
"2020-07-21",877,"2020-08-25",,5,,3635,35,"-"
"2020-07-22",950,"2020-08-25",,5,,3635,34,"-"
"2020-07-23",1171,"2020-08-25",,5,,3635,33,"-"
"2020-07-24",1015,"2020-08-25",,5,,3635,32,"-"
"2020-07-25",495,"2020-08-21",,5,,537,27,"-"
"2020-07-26",804,"2020-08-25",,5,,3635,30,"-"
"2020-07-27",1043,"2020-08-25",,5,,3635,29,"-"
"2020-07-28",919,"2020-08-25",,5,,3635,28,"-"
"2020-07-29",1685,"2020-08-25",1,5,24,3635,27,".11%"
"2020-07-30",1453,"2020-08-25",4,5,98,3635,26,".03%"
"2020-07-31",1922,"2020-08-25",5,5,99,3635,25,"0.%"
"2020-08-01",1907,"2020-08-25",6,5,104,3635,24,"-.03%"
"2020-08-02",1626,"2020-08-25",7,5,105,3635,23,"-.06%"
"2020-08-03",1193,"2020-08-25",4,5,79,3635,22,".03%"
"2020-08-04",1493,"2020-08-25",6,5,85,3635,21,"-.03%"
"2020-08-05",1819,"2020-08-25",6,5,85,3635,20,"-.03%"
"2020-08-06",2240,"2020-08-25",6,5,158,3635,19,"-.03%"
"2020-08-07",2315,"2020-08-25",10,5,166,3635,18,"-.14%"
"2020-08-08",2363,"2020-08-25",9,5,161,3635,17,"-.12%"
"2020-08-09",2988,"2020-08-25",10,5,123,3635,16,"-.14%"
"2020-08-10",3018,"2020-08-25",10,5,123,3635,15,"-.14%"
"2020-08-11",2621,"2020-08-25",7,5,155,3635,14,"-.06%"
"2020-08-12",2539,"2020-08-25",6,5,96,3635,13,"-.03%"
"2020-08-13",2675,"2020-08-25",8,5,156,3635,12,"-.09%"
"2020-08-14",2994,"2020-08-25",8,5,156,3635,11,"-.09%"
"2020-08-15",3047,"2020-08-25",11,5,163,3635,10,"-.17%"
"2020-08-16",3266,"2020-08-25",12,5,218,3635,9,"-.2%"
"2020-08-17",3118,"2020-08-25",11,5,205,3635,8,"-.17%"
"2020-08-18",2750,"2020-08-25",13,5,285,3635,7,"-.24%"
"2020-08-19",3429,"2020-08-25",16,5,358,3635,6,"-.34%"
"2020-08-20",3450,"2020-08-25",16,5,428,3635,5,"-.34%"
"2020-08-21",3811,"2020-08-28",18,5,537,3883,7,"-.39%"
"2020-08-22",3648,"2020-08-26",20,5,597,3667,4,"-.49%"
"2020-08-23",3743,"2020-08-27",19,5,626,3802,4,"-.44%"
"2020-08-24",4066,"2020-08-30",17,5,708,4087,6,"-.36%"
"2020-08-25",3772,"2020-08-27",22,5,3635,3802,2,"-10.18%"
"2020-08-26",4641,"2020-09-04",22,5,3667,4666,9,"-1.7%"
