"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",25903,"2021-03-26",618,671,24768,25914,14,"4.62%"
"2021-03-13",26043,"2021-03-27",618,674,24792,26087,14,"4.32%"
"2021-03-14",26178,"2021-03-28",619,678,24823,26339,14,"3.89%"
"2021-03-15",26332,"2021-03-28",620,678,24864,26339,13,"3.93%"
"2021-03-16",26565,"2021-03-30",624,693,24922,26664,14,"3.96%"
"2021-03-17",26808,"2021-03-31",627,707,24963,26973,14,"3.98%"
"2021-03-18",27089,"2021-04-01",628,721,25027,27141,14,"4.4%"
"2021-03-19",27409,"2021-04-02",630,733,25096,27499,14,"4.29%"
"2021-03-20",27800,"2021-04-04",634,762,25189,28290,15,"4.13%"
"2021-03-21",28145,"2021-04-04",636,762,25227,28290,14,"4.11%"
"2021-03-22",28613,"2021-04-07",645,785,25339,29214,16,"3.61%"
"2021-03-23",29304,"2021-04-08",651,809,25482,29648,16,"3.79%"
"2021-03-24",30097,"2021-04-10",660,870,25652,32693,17,"2.98%"
"2021-03-25",31010,"2021-04-10",664,870,25759,32693,16,"2.97%"
"2021-03-26",31998,"2021-04-10",671,870,25914,32693,15,"2.94%"
"2021-03-27",33126,"2021-04-11",674,906,26087,35593,15,"2.44%"
"2021-03-28",33911,"2021-04-11",678,906,26339,35593,14,"2.46%"
"2021-03-29",34420,"2021-04-11",684,906,26440,35593,13,"2.43%"
"2021-03-30",35189,"2021-04-11",693,906,26664,35593,12,"2.39%"
"2021-03-31",36388,"2021-04-13",707,963,26973,36425,13,"2.71%"
"2021-04-01",37384,"2021-04-15",721,1021,27141,38136,14,"2.73%"
"2021-04-02",38348,"2021-04-16",733,1029,27499,41831,14,"2.07%"
"2021-04-03",39205,"2021-04-16",748,1029,27707,41831,13,"1.99%"
"2021-04-04",40200,"2021-04-16",762,1029,28290,41831,12,"1.97%"
"2021-04-05",41369,"2021-04-16",770,1029,28420,41831,11,"1.93%"
"2021-04-06",43207,"2021-04-17",779,1060,28602,44867,11,"1.73%"
"2021-04-07",44871,"2021-04-18",785,1064,29214,48067,11,"1.48%"
"2021-04-08",47003,"2021-04-18",809,1064,29648,48067,10,"1.38%"
"2021-04-09",48789,"2021-04-19",837,1081,30055,49693,10,"1.24%"
"2021-04-10",51061,"2021-04-20",870,1090,32693,51371,10,"1.18%"
"2021-04-11",52711,"2021-04-21",906,1106,35593,56984,10,".93%"
"2021-04-12",54302,"2021-04-21",920,1106,36064,56984,9,".89%"
"2021-04-13",56057,"2021-04-21",963,1106,36425,56984,8,".7%"
"2021-04-14",57704,"2021-04-22",993,1132,36681,58690,8,".63%"
"2021-04-15",59482,"2021-04-23",1021,1155,38136,60582,8,".6%"
"2021-04-16",61477,"2021-04-24",1029,1186,41831,62907,8,".74%"
"2021-04-17",63364,"2021-04-25",1060,1208,44867,64910,8,".74%"
"2021-04-18",64645,"2021-04-25",1064,1208,48067,64910,7,".85%"
"2021-04-19",66406,"2021-04-26",1081,1227,49693,68472,7,".78%"
"2021-04-20",68085,"2021-04-26",1090,1227,51371,68472,6,".8%"
"2021-04-21",69744,"2021-04-27",1106,1251,56984,70014,6,"1.11%"
"2021-04-22",71503,"2021-04-28",1132,1290,58690,73159,6,"1.09%"
"2021-04-23",73360,"2021-04-29",1155,1319,60582,75220,6,"1.12%"
"2021-04-24",75146,"2021-04-29",1186,1319,62907,75220,5,"1.08%"
"2021-04-25",76501,"2021-04-30",1208,1354,64910,77056,5,"1.2%"
"2021-04-26",77684,"2021-05-01",1227,1370,68472,78853,5,"1.38%"
"2021-04-27",78730,"2021-05-01",1251,1370,70014,78853,4,"1.35%"
"2021-04-28",80161,"2021-05-02",1290,1384,73159,80825,4,"1.23%"
"2021-04-29",81657,"2021-05-05",1319,1457,75220,81685,6,"2.13%"
