"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-19",198,"2020-07-05",1,2,84,226,16,".7%"
"2020-06-20",222,"2020-07-05",1,2,86,226,15,".71%"
"2020-06-21",235,"2020-07-06",1,2,86,236,15,".67%"
"2020-06-22",248,"2020-07-08",1,2,86,264,16,".56%"
"2020-06-23",252,"2020-07-08",2,2,91,264,15,"0.%"
"2020-06-24",270,"2020-07-09",2,2,92,274,15,"0.%"
"2020-06-25",283,"2020-07-11",2,2,92,300,16,"0.%"
"2020-06-26",299,"2020-07-11",2,2,102,300,15,"0.%"
"2020-06-27",311,"2020-07-13",2,3,117,311,16,".52%"
"2020-06-28",321,"2020-07-15",2,3,117,322,17,".49%"
"2020-06-29",332,"2020-07-16",2,3,136,339,17,".49%"
"2020-06-30",344,"2020-07-17",2,3,136,347,17,".47%"
"2020-07-01",347,"2020-07-17",2,3,157,347,16,".53%"
"2020-07-02",356,"2020-07-21",2,3,157,364,19,".48%"
"2020-07-03",379,"2020-07-23",2,4,157,409,20,".79%"
"2020-07-04",395,"2020-07-23",2,4,195,409,19,".93%"
"2020-07-05",405,"2020-07-23",2,4,226,409,18,"1.09%"
"2020-07-06",416,"2020-07-24",2,4,236,463,18,".88%"
"2020-07-07",427,"2020-07-24",2,4,242,463,17,".9%"
"2020-07-08",435,"2020-07-24",2,4,264,463,16,"1.01%"
"2020-07-09",445,"2020-07-24",2,4,274,463,15,"1.06%"
"2020-07-10",473,"2020-07-25",2,4,274,513,15,".84%"
"2020-07-11",491,"2020-07-25",2,4,300,513,14,".94%"
"2020-07-12",496,"2020-07-25",2,4,300,513,13,".94%"
"2020-07-13",529,"2020-07-26",3,4,311,584,13,".37%"
"2020-07-14",552,"2020-07-26",3,4,313,584,12,".37%"
"2020-07-15",563,"2020-07-26",3,4,322,584,11,".38%"
"2020-07-16",605,"2020-07-27",3,4,339,641,11,".33%"
"2020-07-17",652,"2020-07-28",3,4,347,711,11,".27%"
"2020-07-18",705,"2020-07-28",3,4,348,711,10,".28%"
"2020-07-19",780,"2020-07-29",3,4,352,857,10,".2%"
"2020-07-20",859,"2020-07-30",3,4,353,940,10,".17%"
"2020-07-21",944,"2020-07-31",3,5,364,1035,10,".3%"
"2020-07-22",1077,"2020-08-01",3,6,377,1089,10,".42%"
"2020-07-23",1183,"2020-08-02",4,6,409,1257,10,".24%"
"2020-07-24",1316,"2020-08-04",4,6,463,1333,11,".23%"
"2020-07-25",1396,"2020-08-06",4,7,513,1432,12,".33%"
"2020-07-26",1470,"2020-08-08",4,8,584,1556,13,".41%"
"2020-07-27",1492,"2020-08-08",4,8,641,1556,12,".44%"
"2020-07-28",1587,"2020-08-09",4,8,711,1599,12,".45%"
"2020-07-29",1671,"2020-08-12",4,9,857,1696,14,".6%"
"2020-07-30",1693,"2020-08-12",4,9,940,1696,13,".66%"
"2020-07-31",1746,"2020-08-13",5,9,1035,1769,13,".54%"
"2020-08-01",1781,"2020-08-14",6,9,1089,1795,13,".42%"
"2020-08-02",1850,"2020-08-16",6,11,1257,1894,14,".78%"
"2020-08-03",1907,"2020-08-17",6,11,1297,1983,14,".73%"
"2020-08-04",1937,"2020-08-17",6,11,1333,1983,13,".77%"
"2020-08-05",1967,"2020-08-17",7,11,1383,1983,12,".67%"
"2020-08-06",1998,"2020-08-18",7,11,1432,2037,12,".66%"
"2020-08-07",2034,"2020-08-18",7,11,1464,2037,11,".7%"
"2020-08-08",2075,"2020-08-19",8,12,1556,2079,11,".76%"
"2020-08-09",2181,"2020-08-22",8,12,1599,2228,13,".64%"
"2020-08-10",2222,"2020-08-22",9,12,1637,2228,12,".51%"
"2020-08-11",2247,"2020-08-23",9,13,1669,2251,12,".69%"
"2020-08-12",2252,"2020-08-24",9,15,1696,2306,12,".98%"
"2020-08-13",2326,"2020-08-25",9,17,1769,2365,12,"1.34%"
"2020-08-14",2401,"2020-08-26",9,17,1795,2423,12,"1.27%"
"2020-08-15",2492,"2020-08-28",10,17,1838,2575,13,".95%"
"2020-08-16",2573,"2020-08-28",11,17,1894,2575,12,".88%"
"2020-08-17",2621,"2020-08-29",11,18,1983,2680,12,"1.%"
"2020-08-18",2709,"2020-08-30",11,18,2037,2733,12,"1.01%"
"2020-08-19",2786,"2020-08-31",12,19,2079,2842,12,".92%"
"2020-08-20",2872,"2020-09-01",12,19,2109,2909,12,".88%"
"2020-08-21",2954,"2020-09-02",12,19,2163,2994,12,".84%"
"2020-08-22",3031,"2020-09-03",12,19,2228,3075,12,".83%"
"2020-08-23",3164,"2020-09-04",13,20,2251,3190,12,".75%"
"2020-08-24",3276,"2020-09-05",15,24,2306,3328,12,".88%"
"2020-08-25",3363,"2020-09-06",17,25,2365,3533,12,".68%"
"2020-08-26",3496,"2020-09-06",17,25,2423,3533,11,".72%"
"2020-08-27",3672,"2020-09-08",17,26,2482,3856,12,".66%"
"2020-08-28",3828,"2020-09-08",17,26,2575,3856,11,".7%"
"2020-08-29",4062,"2020-09-09",18,26,2680,4179,11,".53%"
"2020-08-30",4213,"2020-09-10",18,26,2733,4282,11,".52%"
"2020-08-31",4344,"2020-09-12",19,26,2842,4435,12,".44%"
"2020-09-01",4369,"2020-09-12",19,26,2909,4435,11,".46%"
"2020-09-02",4450,"2020-09-13",19,28,2994,4577,11,".57%"
"2020-09-03",4515,"2020-09-13",19,28,3075,4577,10,".6%"
"2020-09-04",4763,"2020-09-15",20,31,3190,4896,11,".64%"
