"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-27",182,"2020-11-10",1,1,136,182,14,"0.%"
"2020-10-28",186,"2020-11-13",1,1,137,187,16,"0.%"
"2020-10-29",195,"2020-11-15",1,1,137,197,17,"0.%"
"2020-10-30",196,"2020-11-15",1,1,142,197,16,"0.%"
"2020-10-31",201,"2020-11-16",1,1,144,201,16,"0.%"
"2020-11-01",203,"2020-11-17",1,1,144,203,16,"0.%"
"2020-11-02",204,"2020-11-18",1,1,144,204,16,"0.%"
"2020-11-03",207,"2020-11-19",1,1,155,209,16,"0.%"
"2020-11-04",214,"2020-11-21",1,1,158,230,17,"0.%"
"2020-11-05",231,"2020-11-22",1,1,164,258,17,"0.%"
"2020-11-06",256,"2020-11-22",1,1,165,258,16,"0.%"
"2020-11-07",256,"2020-11-22",1,1,166,258,15,"0.%"
"2020-11-08",263,"2020-11-24",1,1,179,265,16,"0.%"
"2020-11-09",268,"2020-11-25",1,1,180,271,16,"0.%"
"2020-11-10",270,"2020-11-25",1,1,182,271,15,"0.%"
"2020-11-11",276,"2020-11-27",1,1,183,280,16,"0.%"
"2020-11-12",287,"2020-11-28",1,1,184,287,16,"0.%"
"2020-11-13",293,"2020-11-29",1,1,187,293,16,"0.%"
"2020-11-14",294,"2020-11-30",1,1,194,294,16,"0.%"
"2020-11-15",294,"2020-11-30",1,1,197,294,15,"0.%"
"2020-11-16",294,"2020-11-30",1,1,201,294,14,"0.%"
"2020-11-17",296,"2020-12-28",1,1,203,298,41,"0.%"
"2020-11-18",298,"2020-12-28",1,1,204,298,40,"0.%"
