"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-02",11639,"2020-09-10",218,240,10260,11729,8,"1.5%"
"2020-09-03",11856,"2020-09-11",223,244,10437,11968,8,"1.37%"
"2020-09-04",11989,"2020-09-12",228,247,10640,12197,8,"1.22%"
"2020-09-05",12206,"2020-09-13",231,250,10814,12323,8,"1.26%"
"2020-09-06",12396,"2020-09-14",236,255,11086,12552,8,"1.3%"
"2020-09-07",12599,"2020-09-15",238,258,11282,12697,8,"1.41%"
"2020-09-08",12741,"2020-09-16",240,261,11433,12806,8,"1.53%"
"2020-09-09",12893,"2020-09-17",240,263,11605,13019,8,"1.63%"
"2020-09-10",13107,"2020-09-18",240,269,11729,13271,8,"1.88%"
"2020-09-11",13295,"2020-09-19",244,274,11968,13428,8,"2.05%"
"2020-09-12",13517,"2020-09-20",247,279,12197,13623,8,"2.24%"
"2020-09-13",13701,"2020-09-21",250,283,12323,13760,8,"2.3%"
"2020-09-14",13845,"2020-09-22",255,289,12552,13963,8,"2.41%"
"2020-09-15",14047,"2020-09-23",258,291,12697,14140,8,"2.29%"
"2020-09-16",14235,"2020-09-24",261,293,12806,14379,8,"2.03%"
"2020-09-17",14498,"2020-09-25",263,297,13019,14568,8,"2.19%"
"2020-09-18",14720,"2020-09-27",269,307,13271,14863,9,"2.39%"
"2020-09-19",14936,"2020-09-28",274,309,13428,15078,9,"2.12%"
"2020-09-20",15155,"2020-09-29",279,314,13623,15285,9,"2.11%"
"2020-09-21",15345,"2020-09-30",283,318,13760,15506,9,"2.%"
"2020-09-22",15563,"2020-10-01",289,323,13963,15700,9,"1.96%"
"2020-09-23",15765,"2020-10-02",291,326,14140,15926,9,"1.96%"
"2020-09-24",15983,"2020-10-03",293,329,14379,16177,9,"2.%"
"2020-09-25",16240,"2020-10-04",297,330,14568,16355,9,"1.85%"
"2020-09-26",16434,"2020-10-05",297,337,14621,16560,9,"2.06%"
"2020-09-27",16645,"2020-10-06",307,340,14863,16763,9,"1.74%"
"2020-09-28",16879,"2020-10-07",309,351,15078,17023,9,"2.16%"
"2020-09-29",17114,"2020-10-08",314,356,15285,17310,9,"2.07%"
"2020-09-30",17386,"2020-10-09",318,359,15506,17416,9,"2.15%"
"2020-10-01",17617,"2020-10-11",323,370,15700,17783,10,"2.26%"
"2020-10-02",17843,"2020-10-12",326,378,15926,17986,10,"2.52%"
"2020-10-03",18039,"2020-10-13",329,383,16177,18215,10,"2.65%"
"2020-10-04",18242,"2020-10-14",330,388,16355,18442,10,"2.78%"
"2020-10-05",18434,"2020-10-14",337,388,16560,18442,9,"2.71%"
"2020-10-06",18629,"2020-10-15",340,392,16763,18639,9,"2.77%"
"2020-10-07",18848,"2020-10-17",351,399,17023,19113,10,"2.3%"
"2020-10-08",19072,"2020-10-17",356,399,17310,19113,9,"2.38%"
"2020-10-09",19291,"2020-10-18",359,402,17416,19311,9,"2.27%"
"2020-10-10",19512,"2020-10-19",366,406,17594,19519,9,"2.08%"
"2020-10-11",19715,"2020-10-21",370,416,17783,19772,10,"2.31%"
"2020-10-12",19934,"2020-10-22",378,421,17986,20046,10,"2.09%"
"2020-10-13",20155,"2020-10-23",383,423,18215,20156,10,"2.06%"
"2020-10-14",20389,"2020-10-24",388,426,18442,20391,10,"1.95%"
"2020-10-15",20605,"2020-10-25",392,430,18639,20715,10,"1.83%"
"2020-10-16",20852,"2020-10-26",395,438,18837,20913,10,"2.07%"
"2020-10-17",21105,"2020-10-28",399,448,19113,21196,11,"2.35%"
"2020-10-18",21369,"2020-10-29",402,452,19311,21453,11,"2.33%"
"2020-10-19",21603,"2020-10-30",406,455,19519,21702,11,"2.24%"
"2020-10-20",21828,"2020-10-31",409,460,19577,21921,11,"2.18%"
"2020-10-21",22073,"2020-11-01",416,467,19772,22154,11,"2.14%"
"2020-10-22",22332,"2020-11-02",421,473,20046,22467,11,"2.15%"
"2020-10-23",22576,"2020-11-03",423,475,20156,22762,11,"2.%"
"2020-10-24",22805,"2020-11-04",426,482,20391,23083,11,"2.08%"
"2020-10-25",23081,"2020-11-04",430,482,20715,23083,10,"2.2%"
"2020-10-26",23348,"2020-11-05",438,484,20913,23425,10,"1.83%"
"2020-10-27",23597,"2020-11-06",444,488,20945,23784,10,"1.55%"
"2020-10-28",23837,"2020-11-07",448,491,21196,24125,10,"1.47%"
"2020-10-29",24095,"2020-11-07",452,491,21453,24125,9,"1.46%"
"2020-10-30",24393,"2020-11-08",455,493,21702,24501,9,"1.36%"
"2020-10-31",24652,"2020-11-09",460,496,21921,24829,9,"1.24%"
"2020-11-01",24924,"2020-11-10",467,498,22154,25184,9,"1.02%"
"2020-11-02",25162,"2020-11-10",473,498,22467,25184,8,".92%"
"2020-11-03",25427,"2020-11-11",475,501,22762,25546,8,".93%"
"2020-11-04",25690,"2020-11-12",482,504,23083,25844,8,".8%"
"2020-11-05",25960,"2020-11-13",484,506,23425,26213,8,".79%"
"2020-11-06",26247,"2020-11-14",488,508,23784,26469,8,".74%"
"2020-11-07",26489,"2020-11-15",491,511,24125,26771,8,".76%"
"2020-11-08",26734,"2020-11-15",493,511,24501,26771,7,".79%"
"2020-11-09",26972,"2020-11-16",496,515,24829,27054,7,".85%"
"2020-11-10",27197,"2020-11-17",498,520,25184,27333,7,"1.02%"
"2020-11-11",27434,"2020-11-18",501,522,25546,27638,7,"1.%"
"2020-11-12",27665,"2020-11-19",504,526,25844,27807,7,"1.12%"
"2020-11-13",27897,"2020-11-20",506,527,26213,28056,7,"1.14%"
"2020-11-14",28125,"2020-11-21",508,529,26469,28299,7,"1.15%"
"2020-11-15",28308,"2020-11-22",511,533,26771,28526,7,"1.25%"
"2020-11-16",28493,"2020-11-22",515,533,27054,28526,6,"1.22%"
"2020-11-17",28725,"2020-11-23",520,533,27333,28728,6,".93%"
"2020-11-18",28974,"2020-11-25",522,546,27638,29131,7,"1.61%"
"2020-11-19",29202,"2020-11-26",526,550,27807,29367,7,"1.54%"
"2020-11-20",29505,"2020-11-27",527,553,28056,29622,7,"1.66%"
"2020-11-21",29788,"2020-11-28",529,560,28299,29876,7,"1.97%"
"2020-11-22",30044,"2020-11-29",533,567,28526,30137,7,"2.11%"
"2020-11-23",30304,"2020-12-01",533,575,28728,30485,8,"2.39%"
"2020-11-24",30536,"2020-12-26",536,579,28950,30613,32,"2.59%"
"2020-11-25",30777,"2020-12-28",546,586,29131,30853,33,"2.32%"
"2020-11-26",31007,"2020-12-30",550,593,29367,31090,34,"2.5%"
"2020-11-27",31237,"2021-01-01",553,597,29622,31366,35,"2.52%"
"2020-11-28",31473,"2021-01-02",560,599,29876,31502,35,"2.4%"
"2020-11-29",31706,"2021-01-07",567,607,30137,31707,39,"2.55%"
"2020-11-30",31871,"2021-01-13",569,615,30275,31875,44,"2.88%"
"2020-12-01",32080,"2021-01-22",575,623,30485,32096,52,"2.98%"
"2020-12-26",32149,"2021-01-25",579,625,30613,32152,30,"2.99%"
"2020-12-27",32230,"2021-01-31",582,629,30742,32231,35,"3.16%"
"2020-12-28",32275,"2021-02-04",586,629,30853,32284,38,"3.%"
"2020-12-29",32323,"2021-02-07",590,630,30970,32325,40,"2.95%"
"2020-12-30",32378,"2021-02-13",593,631,31090,32385,45,"2.93%"
"2020-12-31",32428,"2021-02-17",594,631,31222,32428,48,"3.07%"
"2021-01-01",32488,"2021-02-21",597,631,31366,32492,51,"3.02%"
"2021-01-02",32536,"2021-02-25",599,631,31502,32544,54,"3.07%"
