"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-12",261,"2020-08-16",,1,,593,35,"-"
"2020-07-13",263,"2020-08-16",,1,,593,34,"-"
"2020-07-14",268,"2020-08-16",,1,,593,33,"-"
"2020-07-15",270,"2020-08-16",,1,,593,32,"-"
"2020-07-16",273,"2020-08-16",,1,,593,31,"-"
"2020-07-17",273,"2020-08-16",,1,,593,30,"-"
"2020-07-18",282,"2020-08-16",,1,,593,29,"-"
"2020-07-19",286,"2020-08-16",,1,,593,28,"-"
"2020-07-20",286,"2020-08-16",,1,,593,27,"-"
"2020-07-21",291,"2020-08-16",,1,,593,26,"-"
"2020-07-22",297,"2020-08-16",,1,,593,25,"-"
"2020-07-23",298,"2020-08-16",,1,,593,24,"-"
"2020-07-24",304,"2020-08-16",,1,,593,23,"-"
"2020-07-25",313,"2020-08-16",,1,,593,22,"-"
"2020-07-26",332,"2020-08-16",,1,,593,21,"-"
"2020-07-27",353,"2020-08-16",,1,,593,20,"-"
"2020-07-28",374,"2020-08-16",,1,,593,19,"-"
"2020-07-29",400,"2020-08-16",,1,,593,18,"-"
"2020-07-30",406,"2020-08-16",,1,,593,17,"-"
"2020-07-31",425,"2020-08-16",,1,,593,16,"-"
"2020-08-01",463,"2020-08-16",,1,,593,15,"-"
"2020-08-02",463,"2020-08-16",,1,,593,14,"-"
"2020-08-03",514,"2020-08-16",,1,,593,13,"-"
"2020-08-04",519,"2020-08-16",,1,,593,12,"-"
"2020-08-05",530,"2020-08-16",,1,,593,11,"-"
"2020-08-06",551,"2020-08-16",,1,,593,10,"-"
"2020-08-07",588,"2020-08-16",,1,,593,9,"-"
"2020-08-08",631,"2020-08-18",,1,,636,10,"-"
"2020-08-09",637,"2020-08-19",,1,,658,10,"-"
"2020-08-10",696,"2020-08-21",,1,,768,11,"-"
"2020-08-11",723,"2020-08-21",,1,,768,10,"-"
"2020-08-12",754,"2020-08-21",,1,,768,9,"-"
"2020-08-13",781,"2020-08-22",,2,,795,9,"-"
"2020-08-14",788,"2020-08-22",,2,,795,8,"-"
"2020-08-15",880,"2020-08-24",,3,,895,9,"-"
"2020-08-16",907,"2020-08-25",1,4,593,914,9,".93%"
"2020-08-17",944,"2020-08-26",1,4,629,979,9,".86%"
"2020-08-18",1010,"2020-08-27",1,4,636,1030,9,".76%"
"2020-08-19",1011,"2020-08-27",1,4,658,1030,8,".81%"
"2020-08-20",1184,"2020-08-29",1,5,693,1240,9,".73%"
"2020-08-21",1255,"2020-08-30",1,5,768,1285,9,".77%"
"2020-08-22",1311,"2020-08-31",2,5,795,1347,9,".54%"
"2020-08-23",1373,"2020-09-01",3,5,810,1401,9,".34%"
"2020-08-24",1430,"2020-09-02",3,5,895,1448,9,".36%"
"2020-08-25",1444,"2020-09-02",4,5,914,1448,8,".19%"
"2020-08-26",1520,"2020-09-04",4,7,979,1600,9,".48%"
"2020-08-27",1619,"2020-09-05",4,8,1030,1662,9,".63%"
"2020-08-28",1687,"2020-09-06",5,8,1067,1716,9,".46%"
"2020-08-29",1751,"2020-09-07",5,8,1240,1762,9,".57%"
"2020-08-30",1786,"2020-09-08",5,8,1285,1790,9,".59%"
"2020-08-31",1828,"2020-09-09",5,9,1347,1832,9,".82%"
"2020-09-01",1852,"2020-09-10",5,9,1401,1857,9,".88%"
"2020-09-02",1862,"2020-09-11",5,9,1448,1890,9,".9%"
"2020-09-03",1901,"2020-09-12",5,10,1472,1940,9,"1.07%"
"2020-09-04",1944,"2020-09-13",7,10,1600,1979,9,".79%"
"2020-09-05",1981,"2020-09-14",8,12,1662,1981,9,"1.25%"
"2020-09-06",2024,"2020-09-15",8,12,1716,2136,9,".95%"
"2020-09-07",2099,"2020-09-15",8,12,1762,2136,8,"1.07%"
"2020-09-08",2209,"2020-09-16",8,12,1790,2244,8,".88%"
"2020-09-09",2372,"2020-09-17",9,12,1832,2384,8,".54%"
"2020-09-10",2552,"2020-09-18",9,13,1857,2578,8,".55%"
"2020-09-11",2676,"2020-09-19",9,14,1890,2702,8,".62%"
"2020-09-12",2727,"2020-09-20",10,15,1940,2749,8,".62%"
"2020-09-13",2869,"2020-09-21",10,15,1979,2885,8,".55%"
"2020-09-14",3066,"2020-09-22",12,17,1981,3070,8,".46%"
"2020-09-15",3105,"2020-09-24",12,18,2136,3213,9,".56%"
"2020-09-16",3202,"2020-09-24",12,18,2244,3213,8,".62%"
"2020-09-17",3246,"2020-09-25",12,19,2384,3261,8,".8%"
"2020-09-18",3319,"2020-09-26",13,20,2578,3327,8,".93%"
"2020-09-19",3397,"2020-09-28",14,22,2702,3472,9,"1.04%"
"2020-09-20",3476,"2020-09-30",15,23,2749,3664,10,".87%"
"2020-09-21",3544,"2020-09-30",15,23,2885,3664,9,"1.03%"
"2020-09-22",3658,"2020-09-30",17,23,3070,3664,8,"1.01%"
"2020-09-23",3725,"2020-10-02",17,24,3070,3759,9,"1.02%"
"2020-09-24",3778,"2020-10-03",18,24,3213,3840,9,".96%"
"2020-09-25",3854,"2020-10-04",19,24,3261,3920,9,".76%"
"2020-09-26",3930,"2020-10-05",20,24,3327,3990,9,".6%"
"2020-09-27",4015,"2020-10-06",21,24,3396,4083,9,".44%"
"2020-09-28",4116,"2020-10-07",22,24,3472,4187,9,".28%"
"2020-09-29",4194,"2020-10-08",23,24,3473,4296,9,".12%"
