"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-03",385,"2020-07-12",5,9,333,385,9,"7.69%"
"2020-07-04",395,"2020-07-14",6,9,342,406,10,"4.69%"
"2020-07-05",406,"2020-07-14",6,9,350,406,9,"5.36%"
"2020-07-06",418,"2020-07-16",6,9,351,421,10,"4.29%"
"2020-07-07",425,"2020-07-18",7,11,359,443,11,"4.76%"
"2020-07-08",427,"2020-07-18",7,11,363,443,10,"5.%"
"2020-07-09",437,"2020-07-18",7,11,371,443,9,"5.56%"
"2020-07-10",446,"2020-07-19",7,12,375,456,9,"6.17%"
"2020-07-11",465,"2020-07-20",7,12,375,470,9,"5.26%"
"2020-07-12",477,"2020-07-21",9,12,385,492,9,"2.8%"
"2020-07-13",498,"2020-07-22",9,12,392,553,9,"1.86%"
"2020-07-14",565,"2020-07-23",9,13,406,591,9,"2.16%"
"2020-07-15",591,"2020-07-23",9,13,416,591,8,"2.29%"
"2020-07-16",607,"2020-07-24",9,13,421,614,8,"2.07%"
"2020-07-17",628,"2020-07-25",9,13,422,662,8,"1.67%"
"2020-07-18",683,"2020-07-26",11,13,443,707,8,".76%"
"2020-07-19",726,"2020-07-27",12,14,456,759,8,".66%"
"2020-07-20",786,"2020-07-29",12,14,470,802,9,".6%"
"2020-07-21",805,"2020-07-30",12,15,492,824,9,".9%"
"2020-07-22",831,"2020-07-31",12,15,553,883,9,".91%"
"2020-07-23",849,"2020-07-31",13,15,591,883,8,".68%"
"2020-07-24",912,"2020-08-01",13,15,614,931,8,".63%"
"2020-07-25",966,"2020-08-03",13,16,662,999,9,".89%"
"2020-07-26",990,"2020-08-03",13,16,707,999,8,"1.03%"
"2020-07-27",1034,"2020-08-06",14,17,759,1096,10,".89%"
"2020-07-28",1047,"2020-08-06",14,17,780,1096,9,".95%"
"2020-07-29",1061,"2020-08-06",14,17,802,1096,8,"1.02%"
"2020-07-30",1140,"2020-08-07",15,18,824,1145,8,".93%"
"2020-07-31",1183,"2020-08-09",15,18,883,1183,9,"1.%"
"2020-08-01",1220,"2020-08-10",15,19,931,1253,9,"1.24%"
"2020-08-02",1250,"2020-08-10",16,19,957,1253,8,"1.01%"
"2020-08-03",1300,"2020-08-13",16,20,999,1303,10,"1.32%"
"2020-08-04",1316,"2020-08-14",17,21,1014,1322,10,"1.3%"
"2020-08-05",1323,"2020-08-15",17,21,1029,1381,10,"1.14%"
"2020-08-06",1353,"2020-08-15",17,21,1096,1381,9,"1.4%"
"2020-08-07",1417,"2020-08-17",18,24,1145,1545,10,"1.5%"
"2020-08-08",1438,"2020-08-17",18,24,1179,1545,9,"1.64%"
"2020-08-09",1520,"2020-08-17",18,24,1183,1545,8,"1.66%"
"2020-08-10",1597,"2020-08-19",19,27,1253,1688,9,"1.84%"
"2020-08-11",1696,"2020-08-20",20,27,1276,1733,9,"1.53%"
"2020-08-12",1775,"2020-08-21",20,27,1280,1819,9,"1.3%"
"2020-08-13",1847,"2020-08-22",20,29,1303,1939,9,"1.42%"
"2020-08-14",1882,"2020-08-22",21,29,1322,1939,8,"1.3%"
"2020-08-15",2086,"2020-08-24",21,34,1381,2147,9,"1.7%"
"2020-08-16",2148,"2020-08-25",21,35,1410,2280,9,"1.61%"
"2020-08-17",2271,"2020-08-25",24,35,1545,2280,8,"1.5%"
"2020-08-18",2430,"2020-08-28",25,39,1568,2546,10,"1.43%"
"2020-08-19",2454,"2020-08-28",27,39,1688,2546,9,"1.4%"
"2020-08-20",2500,"2020-08-28",27,39,1733,2546,8,"1.48%"
"2020-08-21",2664,"2020-08-29",27,40,1819,2691,8,"1.49%"
"2020-08-22",2929,"2020-08-31",29,41,1939,3240,9,".92%"
"2020-08-23",3214,"2020-08-31",32,41,2061,3240,8,".76%"
"2020-08-24",3368,"2020-09-01",34,43,2147,3417,8,".71%"
"2020-08-25",3563,"2020-09-02",35,45,2280,3565,8,".78%"
"2020-08-26",3689,"2020-09-04",37,51,2374,3833,9,".96%"
"2020-08-27",3801,"2020-09-04",38,51,2399,3833,8,".91%"
"2020-08-28",3935,"2020-09-05",39,57,2546,4193,8,"1.09%"
"2020-08-29",4228,"2020-09-06",40,58,2691,4435,8,"1.03%"
"2020-08-30",4422,"2020-09-06",41,58,2877,4435,7,"1.09%"
"2020-08-31",4738,"2020-09-08",41,63,3240,4805,8,"1.41%"
"2020-09-01",4901,"2020-09-09",43,66,3417,4919,8,"1.53%"
"2020-09-02",5030,"2020-09-10",45,70,3565,5049,8,"1.68%"
"2020-09-03",5099,"2020-09-11",46,71,3680,5177,8,"1.67%"
"2020-09-04",5254,"2020-09-12",51,78,3833,5385,8,"1.74%"
"2020-09-05",5489,"2020-09-13",57,80,4193,5569,8,"1.67%"
"2020-09-06",5664,"2020-09-14",58,81,4435,5804,8,"1.68%"
"2020-09-07",5868,"2020-09-15",61,83,4651,5973,8,"1.66%"
"2020-09-08",6043,"2020-09-16",63,88,4805,6099,8,"1.93%"
"2020-09-09",6169,"2020-09-17",66,88,4919,6267,8,"1.63%"
"2020-09-10",6325,"2020-09-18",70,89,5049,6414,8,"1.39%"
"2020-09-11",6508,"2020-09-19",71,90,5177,6650,8,"1.29%"
"2020-09-12",6745,"2020-09-20",78,93,5385,6826,8,"1.04%"
"2020-09-13",6965,"2020-09-21",80,94,5569,7009,8,".97%"
