"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-03",8260,"2020-07-17",104,118,7423,8280,14,"1.63%"
"2020-07-04",8443,"2020-07-19",104,123,7503,8518,15,"1.87%"
"2020-07-05",8583,"2020-07-21",106,128,7526,8673,16,"1.92%"
"2020-07-06",8755,"2020-07-22",106,133,7561,8908,16,"2.%"
"2020-07-07",8886,"2020-07-22",106,133,7593,8908,15,"2.05%"
"2020-07-08",9056,"2020-07-24",106,145,7679,9083,16,"2.78%"
"2020-07-09",9374,"2020-07-27",106,167,7682,9478,18,"3.4%"
"2020-07-10",9553,"2020-07-28",107,176,7840,9793,18,"3.53%"
"2020-07-11",9797,"2020-07-29",108,189,7835,9808,18,"4.11%"
"2020-07-12",9980,"2020-07-31",108,201,7877,10184,19,"4.03%"
"2020-07-13",10251,"2020-08-01",108,208,7943,10412,19,"4.05%"
"2020-07-14",10487,"2020-08-02",111,221,8039,10843,19,"3.92%"
"2020-07-15",10810,"2020-08-02",113,221,8148,10843,18,"4.01%"
"2020-07-16",11233,"2020-08-06",116,266,8230,11385,21,"4.75%"
"2020-07-17",11441,"2020-08-07",118,278,8280,11838,21,"4.5%"
"2020-07-18",11802,"2020-08-07",122,278,8396,11838,20,"4.53%"
"2020-07-19",12069,"2020-08-08",123,295,8518,12169,20,"4.71%"
"2020-07-20",12428,"2020-08-10",126,331,8524,12475,21,"5.19%"
"2020-07-21",12894,"2020-08-12",128,361,8673,13140,22,"5.22%"
"2020-07-22",13305,"2020-08-13",133,375,8908,13376,22,"5.42%"
"2020-07-23",13595,"2020-08-14",139,379,8914,14011,22,"4.71%"
"2020-07-24",13950,"2020-08-14",145,379,9083,14011,21,"4.75%"
"2020-07-25",14403,"2020-08-16",155,421,9174,14504,22,"4.99%"
"2020-07-26",14935,"2020-08-17",161,438,9335,14974,22,"4.91%"
"2020-07-27",15303,"2020-08-18",167,450,9478,15377,22,"4.8%"
"2020-07-28",15582,"2020-08-19",176,463,9793,15710,22,"4.85%"
"2020-07-29",16298,"2020-08-20",189,472,9808,18324,22,"3.32%"
"2020-07-30",16903,"2020-08-20",196,472,9955,18324,21,"3.3%"
"2020-07-31",17280,"2020-08-20",201,472,10184,18324,20,"3.33%"
"2020-08-01",17895,"2020-08-20",208,472,10412,18324,19,"3.34%"
"2020-08-02",18318,"2020-08-20",221,472,10843,18324,18,"3.36%"
"2020-08-03",18730,"2020-08-21",232,485,10855,18943,18,"3.13%"
"2020-08-04",19445,"2020-08-23",247,517,11046,19748,19,"3.1%"
"2020-08-05",19890,"2020-08-24",255,525,11196,20126,19,"3.02%"
"2020-08-06",20272,"2020-08-25",266,549,11385,20647,19,"3.06%"
"2020-08-07",20698,"2020-08-27",278,583,11838,20948,20,"3.35%"
"2020-08-08",21084,"2020-08-28",295,600,12169,21231,20,"3.37%"
"2020-08-09",21397,"2020-08-29",313,611,12189,21469,20,"3.21%"
"2020-08-10",21713,"2020-08-30",331,652,12475,21766,20,"3.45%"
"2020-08-11",22127,"2020-09-01",352,663,12747,22350,21,"3.24%"
"2020-08-12",22358,"2020-09-02",361,678,13140,22368,21,"3.44%"
"2020-08-13",22742,"2020-09-04",375,748,13376,22918,22,"3.91%"
"2020-08-14",23035,"2020-09-05",379,753,14011,23081,22,"4.12%"
"2020-08-15",23287,"2020-09-07",396,770,14029,23372,23,"4.%"
"2020-08-16",23558,"2020-09-09",421,788,14504,23649,24,"4.01%"
"2020-08-17",23773,"2020-09-10",438,797,14974,23834,24,"4.05%"
"2020-08-18",23989,"2020-09-11",450,803,15377,24130,24,"4.03%"
"2020-08-19",24236,"2020-09-13",463,816,15710,24279,25,"4.12%"
"2020-08-20",24407,"2020-09-15",472,824,18324,24474,26,"5.72%"
"2020-08-21",24602,"2020-09-16",485,832,18943,24622,26,"6.11%"
"2020-08-22",24811,"2020-09-19",502,849,19260,24815,28,"6.25%"
"2020-08-23",24915,"2020-09-21",517,854,19748,25009,29,"6.41%"
"2020-08-24",25053,"2020-09-22",525,859,20126,25188,29,"6.6%"
"2020-08-25",25204,"2020-09-23",549,861,20647,25307,29,"6.7%"
"2020-08-26",25322,"2020-09-24",572,869,20671,25390,29,"6.29%"
"2020-08-27",25448,"2020-09-27",583,875,20948,25506,31,"6.41%"
"2020-08-28",25547,"2020-09-28",600,882,21231,25561,31,"6.51%"
