"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-23",1224,"2020-08-04",19,23,960,1271,12,"1.29%"
"2020-07-24",1259,"2020-08-04",19,23,1000,1271,11,"1.48%"
"2020-07-25",1274,"2020-08-05",20,23,1001,1281,11,"1.07%"
"2020-07-26",1313,"2020-08-06",20,23,1014,1345,11,".91%"
"2020-07-28",1354,"2020-08-07",20,23,1094,1370,10,"1.09%"
"2020-07-29",1389,"2020-08-10",21,23,1124,1522,12,".5%"
"2020-07-30",1432,"2020-08-10",21,23,1139,1522,11,".52%"
"2020-07-31",1494,"2020-08-10",22,23,1158,1522,10,".27%"
"2020-08-01",1528,"2020-08-11",22,23,1175,1531,10,".28%"
"2020-08-02",1593,"2020-08-14",22,23,1175,1617,12,".23%"
"2020-08-04",1689,"2020-08-17",23,24,1271,1726,13,".22%"
"2020-08-05",1740,"2020-08-18",23,25,1281,1834,13,".36%"
"2020-08-06",1800,"2020-08-18",23,25,1345,1834,12,".41%"
"2020-08-07",1843,"2020-08-20",23,25,1370,1874,13,".4%"
"2020-08-10",1883,"2020-08-21",23,25,1522,1904,11,".52%"
"2020-08-11",1925,"2020-08-23",23,26,1531,1976,12,".67%"
"2020-08-12",1974,"2020-08-23",23,26,1531,1976,11,".67%"
"2020-08-14",2015,"2020-08-25",23,27,1617,2049,11,".93%"
"2020-08-15",2066,"2020-08-26",23,27,1648,2100,11,".88%"
"2020-08-16",2131,"2020-08-27",24,28,1667,2168,11,".8%"
"2020-08-17",2189,"2020-08-28",24,29,1726,2240,11,".97%"
"2020-08-18",2244,"2020-08-29",25,29,1834,2292,11,".87%"
"2020-08-19",2300,"2020-08-30",25,30,1834,2341,11,".99%"
"2020-08-20",2372,"2020-08-31",25,30,1874,2431,11,".9%"
"2020-08-21",2437,"2020-09-01",25,30,1904,2454,11,".91%"
"2020-08-22",2476,"2020-09-02",26,31,1905,2496,11,".85%"
"2020-08-23",2523,"2020-09-03",26,31,1976,2555,11,".86%"
"2020-08-24",2595,"2020-09-04",27,32,2008,2619,11,".82%"
"2020-08-25",2667,"2020-09-05",27,33,2049,2671,11,".96%"
"2020-08-26",2727,"2020-09-07",27,36,2100,2767,12,"1.35%"
"2020-08-27",2774,"2020-09-08",28,37,2168,2872,12,"1.28%"
"2020-08-28",2837,"2020-09-08",29,37,2240,2872,11,"1.27%"
"2020-08-29",2873,"2020-09-09",29,38,2292,2945,11,"1.38%"
"2020-08-30",2913,"2020-09-09",30,38,2341,2945,10,"1.32%"
"2020-08-31",2986,"2020-09-11",30,42,2431,3052,11,"1.93%"
"2020-09-01",3045,"2020-09-11",30,42,2454,3052,10,"2.01%"
"2020-09-02",3135,"2020-09-13",31,45,2496,3172,11,"2.07%"
"2020-09-03",3167,"2020-09-13",31,45,2555,3172,10,"2.27%"
"2020-09-04",3200,"2020-09-14",32,45,2619,3203,10,"2.23%"
"2020-09-05",3332,"2020-09-16",33,45,2671,3519,11,"1.42%"
"2020-09-06",3423,"2020-09-16",35,45,2711,3519,10,"1.24%"
"2020-09-07",3502,"2020-09-16",36,45,2767,3519,9,"1.2%"
"2020-09-08",3664,"2020-09-18",37,46,2872,3768,10,"1.%"
"2020-09-09",3688,"2020-09-18",38,46,2945,3768,9,".97%"
"2020-09-10",3798,"2020-09-19",40,48,2947,3859,9,".88%"
"2020-09-11",3901,"2020-09-20",42,49,3052,3917,9,".81%"
"2020-09-12",3978,"2020-09-21",43,50,3127,3995,9,".81%"
"2020-09-13",4120,"2020-09-23",45,54,3172,4226,10,".85%"
"2020-09-14",4253,"2020-09-24",45,56,3203,4452,10,".88%"
"2020-09-15",4404,"2020-09-24",45,56,3307,4452,9,".96%"
"2020-09-16",4582,"2020-09-26",45,57,3519,4765,10,".96%"
"2020-09-17",4632,"2020-09-26",45,57,3616,4765,9,"1.04%"
"2020-09-18",4771,"2020-09-27",46,57,3768,4823,9,"1.04%"
"2020-09-19",4918,"2020-09-29",48,61,3859,5060,10,"1.08%"
"2020-09-20",4994,"2020-09-29",49,61,3917,5060,9,"1.05%"
"2020-09-21",5090,"2020-09-30",50,62,3995,5117,9,"1.07%"
"2020-09-22",5173,"2020-10-01",51,62,4084,5189,9,"1.%"
"2020-09-23",5270,"2020-10-02",54,62,4226,5318,9,".73%"
"2020-09-24",5325,"2020-10-03",56,64,4452,5467,9,".79%"
"2020-09-25",5404,"2020-10-03",57,64,4577,5467,8,".79%"
"2020-09-26",5507,"2020-10-04",57,64,4765,5542,8,".9%"
"2020-09-27",5607,"2020-10-06",57,64,4823,5621,9,".88%"
"2020-09-28",5733,"2020-10-08",58,68,4886,5744,10,"1.17%"
"2020-09-29",5847,"2020-10-10",61,69,5060,5850,11,"1.01%"
"2020-09-30",5924,"2020-10-11",62,69,5117,5925,11,".87%"
"2020-10-01",5937,"2020-10-13",62,69,5189,5953,12,".92%"
"2020-10-02",6038,"2020-10-16",62,71,5318,6042,14,"1.24%"
"2020-10-03",6096,"2020-10-17",64,71,5467,6167,14,"1.%"
"2020-10-04",6189,"2020-10-18",64,71,5542,6308,14,".91%"
"2020-10-05",6225,"2020-10-18",64,71,5560,6308,13,".94%"
