"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-18",49,"2020-07-07",,1,,49,19,"-"
"2020-06-19",50,"2020-07-10",,1,,50,21,"-"
"2020-06-20",52,"2020-07-16",,1,,53,26,"-"
"2020-06-21",54,"2020-07-17",,1,,54,26,"-"
"2020-06-22",56,"2020-07-19",,1,,60,27,"-"
"2020-06-23",58,"2020-07-19",,1,,60,26,"-"
"2020-06-24",61,"2020-07-21",,1,,62,27,"-"
"2020-06-25",62,"2020-07-21",,1,,62,26,"-"
"2020-06-26",63,"2020-07-22",,1,,65,26,"-"
"2020-06-27",63,"2020-07-22",,1,,65,25,"-"
"2020-07-01",63,"2020-07-22",,1,,65,21,"-"
"2020-07-02",63,"2020-07-22",,1,,65,20,"-"
"2020-07-04",65,"2020-07-22",,1,,65,18,"-"
"2020-07-05",66,"2020-07-23",,1,,70,18,"-"
"2020-07-06",66,"2020-07-23",1,1,45,70,17,"0.%"
"2020-07-07",71,"2020-07-24",1,1,49,71,17,"0.%"
"2020-07-08",75,"2020-07-26",1,1,49,77,18,"0.%"
"2020-07-09",78,"2020-07-27",1,1,49,90,18,"0.%"
"2020-07-10",90,"2020-07-27",1,1,50,90,17,"0.%"
"2020-07-11",92,"2020-07-29",1,1,50,92,18,"0.%"
"2020-07-12",97,"2020-07-30",1,1,50,106,18,"0.%"
"2020-07-13",98,"2020-07-30",1,1,50,106,17,"0.%"
"2020-07-14",99,"2020-07-30",1,1,50,106,16,"0.%"
"2020-07-15",108,"2020-07-31",1,1,50,117,16,"0.%"
"2020-07-16",114,"2020-07-31",1,1,53,117,15,"0.%"
"2020-07-17",115,"2020-07-31",1,1,54,117,14,"0.%"
"2020-07-18",120,"2020-08-01",1,1,55,129,14,"0.%"
"2020-07-19",131,"2020-08-02",1,1,60,134,14,"0.%"
"2020-07-20",132,"2020-08-02",1,1,60,134,13,"0.%"
"2020-07-21",148,"2020-08-03",1,1,62,155,13,"0.%"
"2020-07-22",154,"2020-08-03",1,1,65,155,12,"0.%"
"2020-07-23",182,"2020-08-05",1,1,70,185,13,"0.%"
"2020-07-24",197,"2020-08-07",1,1,71,340,14,"0.%"
"2020-07-25",209,"2020-08-07",1,1,74,340,13,"0.%"
"2020-07-26",245,"2020-08-07",1,1,77,340,12,"0.%"
"2020-07-27",264,"2020-08-07",1,1,90,340,11,"0.%"
"2020-07-28",339,"2020-08-07",1,1,91,340,10,"0.%"
"2020-07-29",424,"2020-08-12",1,1,92,454,14,"0.%"
"2020-07-30",492,"2020-08-13",1,2,106,502,14,".25%"
"2020-07-31",512,"2020-08-14",1,3,117,519,14,".5%"
"2020-08-01",503,"2020-08-14",1,3,129,519,13,".51%"
"2020-08-02",557,"2020-08-15",1,3,134,567,13,".46%"
"2020-08-03",615,"2020-08-19",1,5,155,719,16,".71%"
"2020-08-04",636,"2020-08-19",1,5,155,719,15,".71%"
"2020-08-05",657,"2020-08-19",1,5,185,719,14,".75%"
"2020-08-06",676,"2020-08-19",1,5,189,719,13,".75%"
"2020-08-07",692,"2020-08-19",1,5,340,719,12,"1.06%"
"2020-08-08",778,"2020-08-20",1,5,351,813,12,".87%"
"2020-08-09",822,"2020-08-21",1,5,389,868,12,".84%"
"2020-08-10",876,"2020-08-22",1,5,412,881,12,".85%"
"2020-08-11",937,"2020-08-23",1,5,423,982,12,".72%"
"2020-08-12",999,"2020-08-24",1,5,454,1012,12,".72%"
"2020-08-13",1033,"2020-08-25",2,6,502,1103,12,".67%"
"2020-08-14",1089,"2020-08-25",3,6,519,1103,11,".51%"
"2020-08-15",1099,"2020-08-25",3,6,567,1103,10,".56%"
"2020-08-16",1185,"2020-08-28",3,7,576,1247,12,".6%"
"2020-08-17",1276,"2020-08-29",3,7,591,1346,12,".53%"
"2020-08-18",1284,"2020-08-29",4,7,613,1346,11,".41%"
"2020-08-19",1314,"2020-08-29",5,7,719,1346,10,".32%"
"2020-08-20",1401,"2020-08-30",5,8,813,1437,10,".48%"
"2020-08-21",1495,"2020-09-01",5,8,868,1533,11,".45%"
"2020-08-22",1588,"2020-09-03",5,9,881,1616,12,".54%"
"2020-08-23",1662,"2020-09-05",5,13,982,1710,13,"1.1%"
"2020-08-24",1687,"2020-09-05",5,13,1012,1710,12,"1.15%"
"2020-08-25",1705,"2020-09-05",6,13,1103,1710,11,"1.15%"
"2020-08-26",1790,"2020-09-07",6,13,1140,1843,12,"1.%"
"2020-08-27",1819,"2020-09-07",6,13,1181,1843,11,"1.06%"
"2020-08-28",1891,"2020-09-08",7,15,1247,1915,11,"1.2%"
"2020-08-29",1963,"2020-09-09",7,16,1346,1973,11,"1.44%"
"2020-08-30",2025,"2020-09-11",8,23,1437,2081,12,"2.33%"
"2020-08-31",2067,"2020-09-11",8,23,1484,2081,11,"2.51%"
"2020-09-01",2104,"2020-09-12",8,23,1533,2159,11,"2.4%"
"2020-09-02",2154,"2020-09-12",8,23,1557,2159,10,"2.49%"
"2020-09-03",2200,"2020-09-13",9,24,1616,2246,10,"2.38%"
"2020-09-04",2304,"2020-09-14",12,25,1658,2329,10,"1.94%"
"2020-09-05",2387,"2020-09-16",13,28,1710,2436,11,"2.07%"
"2020-09-06",2521,"2020-09-19",13,33,1781,2568,13,"2.54%"
"2020-09-07",2546,"2020-09-19",13,33,1843,2568,12,"2.76%"
"2020-09-08",2566,"2020-09-19",15,33,1915,2568,11,"2.76%"
"2020-09-09",2646,"2020-09-21",16,34,1973,2657,12,"2.63%"
"2020-09-10",2764,"2020-09-23",17,36,2007,2788,13,"2.43%"
"2020-09-11",2804,"2020-09-24",23,38,2081,2891,13,"1.85%"
"2020-09-12",2864,"2020-09-24",23,38,2159,2891,12,"2.05%"
"2020-09-13",2904,"2020-09-25",24,40,2246,3002,12,"2.12%"
"2020-09-14",2927,"2020-09-25",25,40,2329,3002,11,"2.23%"
"2020-09-15",2990,"2020-09-25",26,40,2380,3002,10,"2.25%"
"2020-09-16",3033,"2020-09-26",28,41,2436,3063,10,"2.07%"
"2020-09-17",3071,"2020-09-27",28,42,2463,3106,10,"2.18%"
"2020-09-18",3137,"2020-09-29",28,44,2510,3169,11,"2.43%"
"2020-09-19",3248,"2020-10-02",33,47,2568,3275,13,"1.98%"
"2020-09-20",3281,"2020-10-03",33,47,2609,3318,13,"1.97%"
"2020-09-21",3287,"2020-10-03",34,47,2657,3318,12,"1.97%"
"2020-09-22",3325,"2020-10-04",35,47,2726,3343,12,"1.94%"
"2020-09-23",3378,"2020-10-06",36,48,2788,3406,13,"1.94%"
"2020-09-24",3403,"2020-10-06",38,48,2891,3406,12,"1.94%"
"2020-09-25",3421,"2020-10-08",40,49,3002,3436,13,"2.07%"
"2020-09-26",3445,"2020-10-09",41,50,3063,3468,13,"2.22%"
"2020-09-27",3465,"2020-10-09",42,50,3106,3468,12,"2.21%"
"2020-09-28",3476,"2020-10-10",43,51,3133,3487,12,"2.26%"
"2020-09-29",3494,"2020-10-11",44,51,3169,3509,12,"2.06%"
"2020-09-30",3545,"2020-10-13",46,54,3211,3546,13,"2.39%"
"2020-10-01",3576,"2020-10-15",47,54,3234,3593,14,"1.95%"
"2020-10-02",3598,"2020-10-16",47,54,3275,3629,14,"1.98%"
"2020-10-03",3616,"2020-10-16",47,54,3318,3629,13,"2.25%"
"2020-10-04",3635,"2020-10-17",47,55,3343,3661,13,"2.52%"
"2020-10-05",3657,"2020-10-17",48,55,3376,3661,12,"2.46%"
"2020-10-06",3692,"2020-10-19",48,55,3406,3721,13,"2.22%"
"2020-10-07",3727,"2020-10-20",49,55,3417,3746,13,"1.82%"
"2020-10-08",3754,"2020-10-21",49,56,3436,3765,13,"2.13%"
"2020-10-09",3796,"2020-10-22",50,57,3468,3800,13,"2.11%"
"2020-10-10",3824,"2020-10-23",51,57,3487,3825,13,"1.78%"
"2020-10-11",3845,"2020-10-25",51,58,3509,3873,14,"1.92%"
"2020-10-12",3869,"2020-10-25",52,58,3525,3873,13,"1.72%"
"2020-10-13",3903,"2020-10-27",54,61,3546,3939,14,"1.78%"
"2020-10-14",3914,"2020-10-27",54,61,3565,3939,13,"1.87%"
"2020-10-15",3945,"2020-10-28",54,61,3593,3963,13,"1.89%"
"2020-10-16",3981,"2020-10-30",54,62,3629,3992,14,"2.2%"
"2020-10-17",3999,"2020-10-31",55,64,3661,4013,14,"2.56%"
"2020-10-18",4045,"2020-11-02",55,65,3691,4052,15,"2.77%"
"2020-10-19",4061,"2020-11-08",55,66,3721,4072,20,"3.13%"
"2020-10-20",4086,"2020-11-10",55,66,3746,4118,21,"2.96%"
"2020-10-21",4086,"2020-11-10",56,66,3765,4118,20,"2.83%"
"2020-10-22",4106,"2020-11-10",57,66,3800,4118,19,"2.83%"
"2020-10-23",4124,"2020-11-11",57,66,3825,4127,19,"2.98%"
"2020-10-24",4152,"2020-11-13",58,66,3843,4158,20,"2.54%"
"2020-10-25",4161,"2020-11-14",58,66,3873,4170,20,"2.69%"
