"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-29",111,"2020-08-16",24,37,65,121,48,"23.21%"
"2020-06-30",117,"2020-08-16",25,37,66,121,47,"21.82%"
"2020-07-01",120,"2020-08-16",26,37,67,121,46,"20.37%"
"2020-07-02",125,"2020-08-17",26,37,67,131,46,"17.19%"
"2020-07-03",125,"2020-08-17",27,37,68,131,45,"15.87%"
"2020-07-04",129,"2020-08-17",28,37,69,131,44,"14.52%"
"2020-07-05",132,"2020-08-26",28,37,69,141,52,"12.5%"
"2020-07-06",133,"2020-08-26",29,37,70,141,51,"11.27%"
"2020-07-07",143,"2020-08-29",29,37,70,151,53,"9.88%"
"2020-07-08",151,"2020-08-29",29,37,70,151,52,"9.88%"
"2020-07-09",153,"2020-09-05",29,37,70,157,58,"9.2%"
"2020-07-11",156,"2020-09-05",29,37,70,157,56,"9.2%"
"2020-07-12",162,"2020-09-24",29,37,70,187,74,"6.84%"
"2020-07-13",162,"2020-09-24",30,37,71,187,73,"6.03%"
"2020-07-14",165,"2020-09-24",31,37,72,187,72,"5.22%"
"2020-07-16",166,"2020-09-24",32,37,73,187,70,"4.39%"
"2020-07-17",168,"2020-09-24",32,37,73,187,69,"4.39%"
"2020-07-18",169,"2020-09-24",32,37,73,187,68,"4.39%"
"2020-07-19",177,"2020-09-24",32,37,73,187,67,"4.39%"
"2020-07-20",178,"2020-09-24",32,37,73,187,66,"4.39%"
"2020-07-21",180,"2020-09-24",32,37,73,187,65,"4.39%"
"2020-07-26",181,"2020-09-24",32,37,73,187,60,"4.39%"
"2020-07-28",183,"2020-09-24",33,37,74,187,58,"3.54%"
"2020-07-29",183,"2020-09-24",35,37,76,187,57,"1.8%"
"2020-07-30",183,"2020-09-24",35,37,89,187,56,"2.04%"
"2020-07-31",186,"2020-09-24",35,37,89,187,55,"2.04%"
"2020-08-04",187,"2020-09-24",37,37,91,187,51,"0.%"
"2020-08-16",187,"2020-09-24",37,37,121,187,39,"0.%"
"2020-08-17",187,"2020-09-24",37,37,131,187,38,"0.%"
"2020-08-26",187,"2020-09-24",37,37,141,187,29,"0.%"
"2020-08-29",187,"2020-09-24",37,37,151,187,26,"0.%"
"2020-09-05",187,"2020-09-24",37,37,157,187,19,"0.%"
"2020-09-07",187,"2020-09-24",37,37,159,187,17,"0.%"
"2020-09-09",187,"2020-09-24",37,37,160,187,15,"0.%"
"2020-09-11",187,"2020-09-24",37,37,161,187,13,"0.%"
"2020-09-24",187,"2020-09-24",37,37,187,187,0,"-"
