"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2020-05-23","","","",""
"2020-06-03","","","",""
"2020-06-05","","","",""
"2020-06-06","","","",""
"2020-06-09","3","","",""
"2020-06-12","","","",""
"2020-06-13","1","","",""
"2020-06-14","","","",""
"2020-06-17","","","",""
"2020-06-18","1","","",""
"2020-06-19","-3","","18","1"
"2020-06-21","","","4",""
"2020-06-22","","","4",""
"2020-06-24","1","","","9"
"2020-06-25","","","",""
"2020-06-26","","","",""
"2020-06-27","9","","","1"
"2020-06-28","","","",""
"2020-06-30","","","","1"
"2020-07-01","","1","",""
"2020-07-02","2","","","-1"
"2020-07-04","","","",""
"2020-07-05","9","","",""
"2020-07-06","4","","",""
"2020-07-07","","","",""
"2020-07-08","6","","",""
"2020-07-09","","","",""
"2020-07-10","9","","",""
"2020-07-11","","","",""
"2020-07-12","1","","",""
"2020-07-13","6","","",""
"2020-07-14","-1","","",""
"2020-07-15","1","","",""
"2020-07-16","","","",""
"2020-07-17","1","","",""
"2020-07-18","2","","",""
"2020-07-19","","","",""
"2020-07-20","2","","",""
"2020-07-21","16","","",""
"2020-07-22","4","","",""
"2020-07-23","","","10",""
"2020-07-24","","","15",""
"2020-07-25","","","5",""
"2020-07-26","","","5",""
"2020-07-28","","","",""
"2020-07-29","51","","",""
"2020-07-30","8","","4","4"
"2020-07-31","17","","",""
"2020-08-01","38","","",""
"2020-08-02","20","","",""
"2020-08-03","","","",""
"2020-08-04","2","","8",""
"2020-08-05","4","","",""
"2020-08-07","103","","",""
"2020-08-10","104","","",""
"2020-08-11","24","","",""
"2020-08-12","16","","",""
"2020-08-13","31","","",""
"2020-08-14","42","","",""
"2020-08-15","38","","",""
"2020-08-16","12","","",""
"2020-08-17","28","","",""
"2020-08-18","54","","",""
"2020-08-19","34","","",""
"2020-08-20","38","","",""
"2020-08-21","7","","",""
"2020-08-22","37","","",""
"2020-08-24","63","","",""
"2020-08-25","120","","",""
"2020-08-26","22","","",""
"2020-08-27","75","","",""
"2020-08-28","33","","",""
"2020-08-29","11","","",""
"2020-08-30","","","",""
"2020-08-31","","","",""
"2020-09-01","","","",""
"2020-09-02","","","",""
"2020-09-05","","","",""
