"date","Mizoram/Aizawl","Mizoram/Champhai","Mizoram/Hnahthial","Mizoram/Khawzawl","Mizoram/Kolasib","Mizoram/Lawngtlai","Mizoram/Lunglei","Mizoram/Mamit","Mizoram/Saiha","Mizoram/Saitual","Mizoram/Serchhip"
"2020-03-25","","","","","","","","","","",""
"2020-05-05","1","","","","","","","","","",""
"2020-06-02","1","","","","","","","","","",""
"2020-06-03","1","","","","","","","","","",""
"2020-06-04","","","","","","","","","","",""
"2020-06-05","1","","","","","","","","","",""
"2020-06-07","1","","","","","","","","","",""
"2020-06-08","","","","","","","","","","",""
"2020-06-09","1","","","","","","","","","",""
"2020-06-10","1","","","","","","","","","",""
"2020-06-11","1","","","","","","","","","",""
"2020-06-12","1","","","","","","","","","",""
"2020-06-13","1","","","","","","","","","",""
"2020-06-14","","","","","","","","","","",""
"2020-06-15","","","","","","","","","","",""
"2020-06-16","1","","","","","","","","","",""
"2020-06-18","","","","","","","","","","",""
"2020-06-19","3","","","","6","","","","","",""
"2020-06-20","","","","","","","","","","",""
"2020-06-21","3","","","","","","","","","",""
"2020-06-22","5","","","","","","","1","","",""
"2020-06-23","10","","","","7","","","","","1",""
"2020-06-24","11","4","","","","","","","","",""
"2020-06-25","13","","","1","10","","","","","",""
"2020-06-26","19","","","","","8","","","","3","1"
"2020-06-27","19","4","","","","","","1","8","",""
"2020-06-28","","","","","","","","1","","",""
"2020-06-29","24","5","","","","","","","","",""
"2020-06-30","31","","","","11","","45","9","8","",""
"2020-07-01","","","","","","","","10","","",""
"2020-07-02","31","5","","","","","46","","","","3"
"2020-07-03","32","","","","","","","","","",""
"2020-07-04","","8","","","","","46","","","",""
"2020-07-05","32","","","3","","8","","","9","",""
"2020-07-06","32","","","","","","46","","9","",""
"2020-07-07","","","","","11","","","16","","",""
"2020-07-08","35","","","","","","47","","","","3"
"2020-07-10","35","","","","","","","","","",""
"2020-07-11","38","","","","","","47","20","","",""
"2020-07-12","38","","","","","","","","","",""
"2020-07-13","38","9","","","","","","","","",""
"2020-07-14","38","","","","","","","","17","",""
"2020-07-16","39","","","","","8","47","20","","","3"
"2020-07-17","39","9","","","","","","","17","",""
"2020-07-18","39","","","","12","","","","23","",""
"2020-07-20","39","10","","","","","","","","",""
"2020-07-22","50","","","","","","47","","","",""
"2020-07-23","50","10","","","12","","51","","","",""
"2020-07-24","","","","","","","51","","","",""
"2020-07-25","50","","","","12","","","","","",""
"2020-07-26","60","","","","","","","","","",""
"2020-07-28","64","","","","","","","21","","",""
"2020-07-29","81","","","","","8","","","","",""
"2020-07-30","85","","","","12","19","51","","","","7"
"2020-07-31","98","","","","","","","","","",""
"2020-08-01","101","","","","","","51","","26","","7"
"2020-08-02","103","","","","","","54","","","",""
"2020-08-03","110","12","","","12","19","53","","","","7"
"2020-08-04","121","","","","","20","57","","","",""
"2020-08-05","125","","","","","","","","","","7"
"2020-08-06","126","12","","","12","21","57","","","3",""
"2020-08-07","126","","","","12","","","","","",""
"2020-08-08","133","12","","","13","","","","","",""
"2020-08-09","135","12","","","13","21","","","","",""
"2020-08-10","155","12","","","13","","62","","","",""
"2020-08-11","155","","","","13","","","","","",""
"2020-08-12","155","","","","13","","69","","","",""
"2020-08-13","168","12","","","","","","","","",""
"2020-08-14","172","","","","13","","69","","","",""
"2020-08-15","181","","","","13","","69","","","",""
"2020-08-16","196","","","","13","","","","","",""
"2020-08-17","196","","","","13","21","70","","","","7"
"2020-08-18","203","","","","13","","70","","","",""
"2020-08-19","208","","","","13","21","70","21","","",""
"2020-08-20","226","","","","13","","","21","","",""
"2020-08-21","229","","","","13","","85","","26","",""
"2020-08-22","229","13","","","13","","","","","","7"
"2020-08-23","243","","","","36","","85","","","4",""
"2020-08-24","","","","","","","87","","","",""
"2020-08-25","243","","","","36","","90","21","","",""
"2020-08-26","252","","","","36","","","21","","","7"
"2020-08-27","253","","","","62","","90","","","",""
"2020-08-28","262","","","","","","95","21","","",""
"2020-08-29","323","15","","","","","102","","","",""
"2020-08-30","325","","","","62","","","21","","","10"
"2020-08-31","","","","","62","","","","","",""
"2020-09-01","337","","","","62","24","108","","","",""
"2020-09-02","337","","","","62","","","","","",""
"2020-09-03","359","","","","99","","","","","",""
"2020-09-04","365","","","","99","","113","","","","11"
"2020-09-05","392","","","","","28","114","21","26","",""
"2020-09-06","411","","","","99","","114","","","",""
