"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi"
"2020-03-15","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","",""
"2020-03-28","","","","","0","","","","","","","",""
"2020-03-29","","","","","0","","","","","","","",""
"2020-04-02","","","","","","","","","","","","",""
"2020-04-03","","","","","0","","","","","","","",""
"2020-04-04","","","","","","","","","","","","",""
"2020-04-05","","","","","0","","","","","","","",""
"2020-04-06","","","","","0","","","","","","","",""
"2020-04-08","","","","","0","","","","","","","",""
"2020-04-14","","","","","","","","","","","","",""
"2020-04-17","","","","","0","","","","","","","",""
"2020-04-18","","","","","","","","","","","","",""
"2020-04-19","","","","","0","","","","","","","",""
"2020-04-20","","","","","0","","","","","","","",""
"2020-04-23","","","","","0","","","","","","","",""
"2020-04-24","","","","","","","","","","","","",""
"2020-04-28","","","","","0","","","","","","","",""
"2020-04-29","","","","","2","","","","","","","",""
"2020-04-30","","","","","1","","","","","","","",""
"2020-05-01","","","","","1","","","","","","","",""
"2020-05-02","","","","","2","","","","","","","",""
"2020-05-03","","","","","","","","","","","","",""
"2020-05-05","","","","","0","","","","","","","",""
"2020-05-08","","","","","6","0","","","","","","",""
"2020-05-09","","","","","","0","1","","","","","",""
"2020-05-10","","","","","0","","","","","","","",""
"2020-05-12","","","","","","","0","","","","","",""
"2020-05-13","","","","","0","","0","","","","","",""
"2020-05-14","","","","","2","1","1","","","","","",""
"2020-05-15","","","","","0","","0","","","","","",""
"2020-05-16","","","","","0","","0","","","","","0",""
"2020-05-17","","","","","0","1","","","","","","",""
"2020-05-18","","","","","0","","0","","","","","",""
"2020-05-19","","","","","","","0","","","","","0",""
"2020-05-20","","","","","1","0","0","","","","","0",""
"2020-05-21","","","","","","0","0","","","","","0",""
"2020-05-22","","","","","0","0","0","","","","","0",""
"2020-05-23","","","","","0","0","0","","","","","2",""
"2020-05-24","","","","","0","","0","","","","","0",""
"2020-05-25","","","","","0","0","0","","","","","0",""
"2020-05-26","0","","","","6","0","0","","","","","0",""
"2020-05-27","0","","","","0","0","12","","","","","3",""
"2020-05-28","0","","","","0","0","0","","","","","",""
"2020-05-29","0","","","","3","0","1","","","","","17","0"
"2020-05-30","","","","","0","0","0","","","","","",""
"2020-05-31","0","","","","0","0","0","0","","","","0","0"
"2020-06-01","","","","","3","0","86","1","","","","12","6"
"2020-06-02","8","1","","0","0","6","8","3","","","","4",""
"2020-06-03","","","","","3","0","1","-3","","","","1",""
"2020-06-04","7","4","","0","9","","10","5","","","0","2","0"
"2020-06-05","4","1","","0","9","16","2","1","","","0","0",""
"2020-06-06","25","0","0","0","8","8","3","5","0","","29","0","0"
"2020-06-07","13","0","","0","11","7","0","1","","","64","0","10"
"2020-06-08","2","7","5","20","31","1","83","0","20","0","0","17",""
"2020-06-09","0","0","7","","27","0","0","6","0","0","0","","1"
"2020-06-10","5","","4","3","30","9","0","6","","0","0","15","4"
"2020-06-11","","","1","","25","21","","0","6","0","1","1","0"
"2020-06-12","4","","0","8","29","0","","0","","20","0","0",""
"2020-06-13","","","0","6","21","8","","0","","0","93","2","0"
"2020-06-14","1","11","1","6","10","0","5","","","","0","0","0"
"2020-06-15","0","4","5","-6","9","0","0","1","0","0","60","5","0"
"2020-06-16","1","","","","6","12","6","0","0","","2","0","0"
"2020-06-17","0","0","3","","14","3","8","8","","0","0","0","2"
"2020-06-18","0","7","0","","80","15","9","3","","10","8","","0"
"2020-06-19","1","2","3","","2","0","24","9","0","6","0","",""
"2020-06-20","0","0","0","","4","3","0","0","","0","0","10","0"
"2020-06-21","0","3","0","","43","0","","1","","0","1","","2"
"2020-06-22","1","1","2","","7","10","0","0","","0","0","0",""
"2020-06-23","9","0","0","0","5","8","0","0","","0","58","0","1"
"2020-06-24","11","0","2","0","39","16","9","7","23","","0","12",""
"2020-06-25","13","4","","","11","0","0","5","","","1","0","3"
"2020-06-26","7","3","3","0","10","","27","","","","","8","6"
"2020-06-27","31","2","5","0","34","","0","2","","0","0","13","0"
"2020-06-28","2","","5","3","4","4","34","14","","7","32","4",""
