"date","Australia","Brazil","China","France","India","Indonesia","Iran","Italy","Korea, South","Mexico","New Zealand","Russia","Spain","Sweden","Turkey","US","United Kingdom"
"2020-01-22","","","","","","","","","","","","","","","","-##.## %",""
"2020-01-23","   .00 %","","","","","","","","","","","","","","","-##.## %",""
"2020-01-24","","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-25","   .00 %","",""," 50.00 %","","","","","","","","","","","","-##.## %",""
"2020-01-26","   .00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-27"," 25.00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-28","   .00 %","",""," 33.33 %","","","","","","","","","","","","-##.## %",""
"2020-01-29","   .00 %","",""," 25.00 %","","","","","","","","","","","","-##.## %",""
"2020-01-30"," 80.00 %","","","   .00 %","-##.## %","","","","","","","","","","","-##.## %",""
"2020-01-31","   .00 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","","   .00 %","","-##.## %","   .00 %"
"2020-02-01"," 33.33 %","",""," 20.00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-02","   .00 %","","","   .00 %","-99.97 %","","","-##.## %","","","","-99.98 %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-03","   .00 %","","","   .00 %","   .00 %","","","-99.56 %","","","","   .00 %","   .00 %","   .00 %","","-81.36 %","   .00 %"
"2020-02-04","  8.33 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-05","   .00 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-06","  7.69 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-07","  7.14 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %"," 50.00 %"
"2020-02-08","   .00 %","",""," 83.33 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-09","   .00 %","","","   .00 %","-95.16 %","","","-99.98 %","","","","-90.00 %"," ##.## %","   .00 %","","-99.06 %","   .00 %"
"2020-02-10","   .00 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %"," ##.## %"
"2020-02-11","   .00 %","","","   .00 %","-##.## %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-12","   .00 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %"," 12.50 %"
"2020-02-13","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-02-14","   .00 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-15","   .00 %","","","  9.09 %","   .00 %","","","-##.## %","","","","   .00 %","   .00 %","   .00 %",""," 15.38 %","   .00 %"
"2020-02-16","   .00 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-17","   .00 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-18","   .00 %","","","   .00 %","-##.## %","","","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-19","   .00 %","","","   .00 %","-##.## %","","   .00 %","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-20","   .00 %","","","   .00 %","-##.## %",""," ##.## %","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-21"," 26.67 %","","","   .00 %","-94.64 %",""," ##.## %","-99.80 %","","","","-##.## %","   .00 %","   .00 %","","-96.35 %","   .00 %"
"2020-02-22"," 15.79 %","","","   .00 %","-##.## %",""," 55.56 %","-##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-23","   .00 %","","","   .00 %","-##.## %",""," 53.57 %","-99.99 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-24","   .00 %","","","   .00 %","-##.## %",""," 41.86 %","-99.99 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %"," 44.44 %"
"2020-02-25","   .00 %","",""," 16.67 %","-##.## %",""," 55.74 %","-99.99 %","","","","-##.## %"," ##.## %","   .00 %","","-##.## %","   .00 %"
"2020-02-26","   .00 %","-##.## %",""," 28.57 %","-##.## %",""," 46.32 %","-99.98 %","","","","-##.## %"," ##.## %"," ##.## %","","-##.## %","   .00 %"
"2020-02-27","  4.55 %","-99.84 %",""," ##.## %","-98.45 %",""," 76.26 %","-98.40 %","","","","-98.99 %"," 15.38 %"," ##.## %","","-99.56 %"," 15.38 %"
"2020-02-28","   .00 %","-##.## %",""," 50.00 %","-##.## %",""," 58.37 %","-99.98 %","","-##.## %","   .00 %","-##.## %"," ##.## %","   .00 %","","-##.## %"," 33.33 %"
"2020-02-29","  8.70 %","-##.## %",""," 75.44 %","-##.## %",""," 52.84 %","-99.96 %","","-##.## %","   .00 %","-##.## %"," 40.62 %"," 71.43 %","","-##.## %"," 15.00 %"
"2020-03-01","  8.00 %","-##.## %",""," 30.00 %","-##.## %",""," 64.92 %","-99.96 %","","-##.## %","   .00 %","-##.## %"," 86.67 %"," 16.67 %","","-##.## %"," 56.52 %"
"2020-03-02"," 11.11 %","-##.## %",""," 46.92 %","-##.## %","   .00 %"," 53.48 %","-99.95 %","","-##.## %","   .00 %","-##.## %"," 42.86 %","  7.14 %","","-##.## %"," 11.11 %"
