"date","Australia","Brazil","China","France","India","Indonesia","Iran","Italy","Korea, South","Mexico","New Zealand","Russia","Spain","Sweden","Turkey","US","United Kingdom"
"2020-01-22","","","","","","","","","","","","","","","","-##.## %",""
"2020-01-23","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","","-##.## %",""
"2020-01-24","","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-25","   .00 %","",""," 50.00 %","","","","","","","","","","","","-##.## %",""
"2020-01-26","   .00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-27"," 25.00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-28","   .00 %","",""," 33.33 %","","","","","","","","","","","","-##.## %",""
"2020-01-29","   .00 %","",""," 25.00 %","","","","","","","","","","","","-##.## %",""
"2020-01-30"," 80.00 %","","","   .00 %","   .00 %","","","","","","","","","","","-##.## %",""
"2020-01-31","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","","   .00 %","","-##.## %","   .00 %"
"2020-02-01"," 33.33 %","",""," 20.00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-02","   .00 %","","","   .00 %"," ##.## %","","","   .00 %","","","","-99.35 %","   .00 %","   .00 %","","-99.97 %","   .00 %"
"2020-02-03","   .00 %","","","   .00 %"," 50.00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-81.36 %","   .00 %"
"2020-02-04","  8.33 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-99.97 %","   .00 %"
"2020-02-05","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %",""," ##.## %","   .00 %"
"2020-02-06","  7.69 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-99.99 %","   .00 %"
"2020-02-07","  7.14 %","","","   .00 %","   .00 %","",""," 50.00 %","","","","-##.## %","   .00 %","   .00 %","","-99.98 %"," 50.00 %"
"2020-02-08","   .00 %","",""," 83.33 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-09","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %"," ##.## %","   .00 %","","-##.## %","   .00 %"
"2020-02-10","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-99.84 %","   .00 %","   .00 %","","-99.99 %"," ##.## %"
"2020-02-11","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-99.63 %","   .00 %"
"2020-02-12","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %"," 12.50 %"
"2020-02-13","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-02-14","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-15","   .00 %","","","  9.09 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %",""," 15.38 %","   .00 %"
"2020-02-16","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-17","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-18","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-19","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-20","   .00 %","","","   .00 %","   .00 %",""," ##.## %","   .00 %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-21"," 26.67 %","","","   .00 %","   .00 %",""," ##.## %"," ##.## %","","","","-##.## %","   .00 %","   .00 %","","-96.35 %","   .00 %"
"2020-02-22"," 15.79 %","","","   .00 %","   .00 %",""," 55.56 %"," ##.## %","","","","-##.## %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-23","   .00 %","","","   .00 %","   .00 %",""," 53.57 %"," ##.## %","","","","-##.## %","   .00 %","   .00 %",""," ##.## %","   .00 %"
"2020-02-24","   .00 %","","","   .00 %","   .00 %",""," 41.86 %"," 47.74 %","","","","-##.## %","   .00 %","   .00 %","","-91.24 %"," 44.44 %"
"2020-02-25","   .00 %","",""," 16.67 %","   .00 %",""," 55.74 %"," 40.61 %","","","","   .00 %"," ##.## %","   .00 %",""," ##.## %","   .00 %"
"2020-02-26","   .00 %","   .00 %",""," 28.57 %","   .00 %",""," 46.32 %"," 40.68 %","","","","-##.## %"," ##.## %"," ##.## %",""," ##.## %","   .00 %"
"2020-02-27","  4.55 %","   .00 %",""," ##.## %","   .00 %",""," 76.26 %"," 44.59 %","","","","-##.## %"," 15.38 %"," ##.## %","","-##.## %"," 15.38 %"
"2020-02-28","   .00 %","   .00 %",""," 50.00 %","   .00 %",""," 58.37 %"," 35.57 %","","   .00 %","   .00 %","-##.## %"," ##.## %","   .00 %","","-##.## %"," 33.33 %"
"2020-02-29","  8.70 %"," ##.## %",""," 75.44 %","   .00 %",""," 52.84 %"," 27.03 %",""," ##.## %","   .00 %","-##.## %"," 40.62 %"," 71.43 %",""," ##.## %"," 15.00 %"
