"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Buxar","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","",""
"2020-05-05","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"2020-05-09","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","",""
"2020-05-10","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","","","","","","2","","","","","","","","","","","","2","","",""
"2020-05-12","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"2020-05-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","",""
"2020-05-17","","","","","","","","","","","1","","","","","0","","","","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"2020-05-19","","","","","","","","","","","","","","","","","","0","","","","","","","","0","","","","",""
"2020-05-20","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","",""
"2020-05-21","","","","","","","0","","","","","","","","","","","","","","","","","","0","0","","","","",""
"2020-05-22","","","","","","","0","","","","0","","","","","0","","0","","","","","","","","0","","","","",""
"2020-05-23","","","","","","","0","","","","0","","","","","","","","","","","","","","","0","","","","",""
"2020-05-24","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-25","","","","","","","0","","","","","","","","","","","","","","","","","","0","0","","","","",""
"2020-05-26","6","","","","","","0","","","","","","","2","","1","","1","","","","","","","","0","","1","","",""
"2020-05-27","2","2","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","",""
"2020-05-28","","","","","","","0","","","","","","","","","","","","0","","","","","","","0","","","","",""
"2020-05-29","","2","","","","","2","","","","0","3","","5","","5","","0","","","","","","","0","","","","","",""
"2020-05-30","1","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"2020-05-31","0","1","","","","","0","","","","","","","2","","","","3","","","","","","","1","0","","","","",""
"2020-06-01","0","","","0","","","3","","","","0","0","","","","","","0","","","2","","","","0","0","","","","","0"
"2020-06-02","1","0","","4","","","0","","","","0","0","","0","","","","0","0","","4","","","","","","","","","",""
"2020-06-03","0","0","","","","","4","","","","0","","","2","","0","","","2","","17","","","","","","","","3","","6"
"2020-06-04","1","0","","2","","","4","","","","0","0","","0","","5","","","2","","15","","","0","0","0","","0","2","",""
"2020-06-05","6","5","0","4","","","3","","","","0","","","","","1","","2","0","","2","","","0","0","0","","","","","2"
"2020-06-06","0","1","3","1","","","8","","","","0","","","2","","0","","0","0","","11","","","0","1","0","","0","1","","0"
"2020-06-07","","0","0","0","","","0","","","","0","","","0","","-5","","0","","","","","","6","0","0","","","","",""
"2020-06-08","1","1","","1","","","8","","","1","1","","","0","2","0","","4","2","","1","","","1","1","34","","1","0","","2"
"2020-06-09","1","0","","0","","","","","","","0","","","0","","1","","","","4","3","","","1","1","1","","","","",""
