"date","Haryana/Ambala","Haryana/Bhiwani","Haryana/Charkhi Dadri","Haryana/Faridabad","Haryana/Fatehabad","Haryana/Foreign Evacuees","Haryana/Gurugram","Haryana/Hisar","Haryana/Italians","Haryana/Jhajjar","Haryana/Jind","Haryana/Kaithal","Haryana/Karnal","Haryana/Kurukshetra","Haryana/Mahendragarh","Haryana/Nuh","Haryana/Palwal","Haryana/Panchkula","Haryana/Panipat","Haryana/Rewari","Haryana/Rohtak","Haryana/Sirsa","Haryana/Sonipat","Haryana/Yamunanagar"
"2020-03-17","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-08","","","","   .00 %","","","   .00 %","","","","","","","","","   .00 %","   .00 %","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","   .00 %","","","","","","","","","","","","","   .00 %","","","","","","",""
"2020-04-12","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","   .00 %","","   .00 %","   .00 %","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","   .00 %","   .00 %","   .00 %","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %",""
"2020-04-19","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-04-21","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","   .00 %",""
"2020-04-22","   .00 %","","","","","","   .00 %","","","","","","","","","","","","","","","","   .00 %",""
"2020-04-23","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-25","   .00 %","","","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","   .00 %",""
"2020-04-26","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","","   .00 %",""
"2020-04-27","   .00 %","","","   .00 %","","","   .00 %","","","","","","","","","   .00 %","","","","","","","   .00 %",""
"2020-04-28","","","","   .00 %","","","","","","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %",""
"2020-04-29","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","   .00 %",""
"2020-04-30","","","","   .00 %","","","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","","",""
"2020-05-01","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","","","","","   .00 %",""
"2020-05-02","   .00 %","","","","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","","","","","",""
"2020-05-03","","","","   .00 %","","","   .00 %","","","   .00 %","","","","","","","   .00 %","","   .00 %","","","","   .00 %",""
"2020-05-04","   .00 %","",""," 20.00 %","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","   .00 %","","","","   .00 %",""
"2020-05-05","","",""," 20.00 %","","","   .00 %","","","   .00 %","","","","","","","","","   .00 %","","","","   .00 %",""
"2020-05-06","   .00 %","",""," 20.00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","","","   .00 %",""
"2020-05-07","","",""," 20.00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","","   .00 %",""
"2020-05-08","","",""," 20.00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","   .00 %","",""," 20.00 %","","","","   .00 %",""
"2020-05-09","","","","   .00 %","","","   .00 %","","","   .00 %","","","","","","","","   .00 %"," 30.00 %","","","","   .00 %",""
"2020-05-10","","",""," 10.00 %","","","","","","","","","","","","   .00 %","   .00 %","   .00 %"," 30.00 %","","   .00 %","","   .00 %","   .00 %"
"2020-05-11","   .00 %","",""," 16.67 %","","","   .00 %","","","   .00 %","","","","","","","","","","","","","   .00 %",""
"2020-05-12","   .00 %","",""," 16.67 %","","","   .00 %","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","   .00 %",""
"2020-05-13","","",""," 16.67 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %",""," 30.00 %","","   .00 %","","   .00 %",""
"2020-05-14","","",""," 16.67 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","","   .00 %",""," 30.00 %","","","","   .00 %","   .00 %"
"2020-05-15","   .00 %","",""," 11.67 %","","","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %",""
"2020-05-16","   .00 %","","","  5.00 %","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-17","","","","  9.00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""
"2020-05-18","","","","  9.00 %","","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %",""
"2020-05-19","","   .00 %","","  9.00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %",""
"2020-05-20","","","","  4.00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","","","","   .00 %",""
"2020-05-21","","","","  4.00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %",""
"2020-05-22","","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
