"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/idukki"
"2020-01-30","","","","","","","","","","","","","","","1","",""
"2020-02-02","1","","","","","","","","","","","","","","","",""
"2020-02-03","","","","","","1","","","","","","","","","","",""
"2020-03-08","","","","","","","","","","","","","5","","","",""
"2020-03-09","","","","","1","","","","","","","","","","","",""
"2020-03-10","","2","","","1","","","2","","","","","8","","","",""
"2020-03-12","","","","","2","","","","","","","","","","2","",""
"2020-03-13","","","","","","","","","","","","","","2","","",""
"2020-03-15","","","","","","","","","","","","","","3","","",""
"2020-03-16","","","","","","1","","","","1","","","","","","",""
"2020-03-19","","","","","","1","","","","","","","","","","",""
"2020-03-20","","3","","","","1","","","","","","","","","","",""
"2020-03-21","","3","","","5","2","","","","","","","","","","",""
"2020-03-22","","3","","","5","2","","","1","1","","","","","","",""
"2020-03-23","","3","","","7","3","","","","","","","8","","2","",""
"2020-03-24","1","3","","","","3","","3","1","1","","","","3","","",""
"2020-03-25","","3","1","","","","","","1","","","","8","","","",""
"2020-03-26","","","2","","11","4","","","","2","","","","","2","1",""
"2020-03-27","","","","","11","5","","","2","","","","","","2","",""
"2020-03-28","","","","","","5","","","","2","","","","3","","",""
"2020-03-29","","3","","","17","5","","","","2","","","","3","2","",""
"2020-03-30","","","2","","20","5","","","","","","","","","","2",""
"2020-03-31","","","","","20","5","","","","","","","","3","2","",""
"2020-04-01","","3","","","20","5","","","","2","","","","3","2","",""
"2020-04-02","","","2","","20","5","","","2","2","","","8","3","2","",""
"2020-04-03","","","","","20","5","","","","","","","","","2","",""
"2020-04-04","1","3","","","20","5","","","","","","","","","","",""
"2020-04-05","","","","","20","5","","","2","","","","8","","","",""
"2020-04-06","","","","","","5","","","","2","","","8","","","",""
"2020-04-07","","","","","20","5","","","","2","","","","","","",""
"2020-04-08","1","","","","20","5","","","","","","","8","","2","",""
"2020-04-09","","","","","20","5","","","","2","","","","3","","",""
"2020-04-10","","","","","20","5","","","","2","","","","","","",""
"2020-04-11","","","","","20","5","","","2","","","","","","","",""
"2020-04-12","","","","","20","","","","","","","","8","","","",""
"2020-04-13","","","","","20","","","","","","","","","","","",""
"2020-04-14","","","","","20","5","","","2","","","","","","","",""
"2020-04-15","","","","","20","","","","","","","","","","","",""
"2020-04-16","","","","","20","5","","","2","","","","","","","",""
"2020-04-17","","","","","","","","","2","","","","","","","",""
"2020-04-18","","","","","20","","","","2","","","","","","","",""
"2020-04-19","","","","","20","5","","","","","","","","","","",""
"2020-04-20","","","","","20","","","","","","","","","","","",""
"2020-04-21","","","","","20","5","","","","2","","","","","","",""
"2020-04-22","","","","","20","","","3","2","2","","","","","","",""
"2020-04-23","","","2","","","","","3","2","","","","","3","","",""
"2020-04-24","","","","","","5","","","","","","","","","","",""
"2020-04-25","","","","","20","","","3","","","","","","","","",""
"2020-04-26","","","2","","","","","3","","","","","","","","",""
"2020-04-27","","4","2","","26","","","3","6","3","","","","4","","",""
"2020-04-28","","","","","28","7","","","","","","","","","","",""
"2020-04-29","","","","","31","10","","","9","","","","9","4","","",""
"2020-04-30","","","","","33","12","3","","10","4","","4","10","","","",""
"2020-05-01","","5","","","37","16","","","","","","","","","","",""
"2020-05-02","","","4","","43","","","","","","","","","","","2",""
"2020-05-03","","","4","","","17","","3","","","","","","","","",""
"2020-05-04","","","14","","62","20","12","15","13","6","","5","","6","","",""
"2020-05-05","","","","","","","","","","","","","","","","2",""
"2020-05-06","","","15","","","","","20","","","","","11","","","",""
"2020-05-07","","","","","65","22","","","","","","","","","","",""
"2020-05-08","","5","","","75","","","","","","","","","","","",""
"2020-05-09","","5","16","","","","","","13","6","","","","","","",""
"2020-05-10","","5","","","77","23","","","","6","","6","","","2","2",""
"2020-05-11","","","","","","23","","","","6","","6","","","","2",""
"2020-05-12","","","","","","","","20","","6","","","11","","","",""
"2020-05-13","","","","","77","","13","20","13","6","","6","","","","2",""
"2020-05-14","","","16","","78","23","15","","13","6","","6","11","","","2",""
"2020-05-15","1","","","","","23","15","","13","6","","6","","","","2",""
"2020-05-16","","","","","80","","","","13","6","","6","","","2","4",""
"2020-05-17","","5","","","80","23","15","","13","6","","6","","","2","",""
"2020-05-18","1","5","","","80","23","15","20","13","6","","6","11","6","2","",""
"2020-05-19","1","","","","80","","","","","6","","6","11","","2","",""
"2020-05-20","1","5","","","81","24","","","13","6","","6","11","6","4","5",""
"2020-05-21","1","5","16","","81","24","15","21","14","8","","6","","6","4","9",""
"2020-05-22","","","","","81","24","15","21","14","10","","6","11","","4","9",""
"2020-05-23","1","","","","81","25","16","22","14","10","","6","","","","9",""
"2020-05-24","1","5","","","81","27","16","","14","10","","6","11","6","","12",""
"2020-05-25","1","6","17","","81","33","18","22","14","11","","6","11","6","","13",""
"2020-05-26","2","7","","","81","35","18","23","14","14","","8","","","4","",""
"2020-05-27","4","7","","","80","38","18","","14","19","","8","11","","","14",""
"2020-05-28","4","","17","","81","38","18","23","15","20","","8","11","6","4","",""
"2020-05-29","4","7","17","","82","39","18","23","17","21","","8","11","6","4","19",""
"2020-05-30","4","7","17","","83","39","18","24","17","23","","10","","7","7","",""
"2020-05-31","4","8","","","87","40","18","","21","25","","10","13","8","7","19",""
"2020-06-01","4","8","17","","88","40","18","27","21","32","","11","14","11","8","20",""
"2020-06-02","4","8","","","89","47","18","34","21","33","","11","15","13","8","20",""
"2020-06-03","5","8","17","","91","51","20","36","26","33","","11","17","18","9","",""
"2020-06-04","5","8","","","97","51","20","36","32","42","","23","18","19","11","22",""
"2020-06-05","9","11","17","","","59","20","36","32","42","","23","18","20","17","22",""
"2020-06-06","9","15","18","","102","60","22","36","39","42","","53","18","20","17","",""
"2020-06-07","12","","18","","107","66","25","37","39","43","","60","19","21","30","",""
"2020-06-08","12","15","","","107","73","25","37","39","43","","62","19","21","30","24",""
"2020-06-09","14","16","19","","107","73","28","39","42","43","","62","25","32","34","25",""
"2020-06-10","21","18","19","","120","84","32","41","45","43","","62","31","35","34","31",""
"2020-06-11","22","23","","","125","90","36","41","50","45","","75","32","48","41","",""
"2020-06-12","22","26","23","","126","92","43","42","52","45","","81","32","50","45","",""
"2020-06-13","22","26","24","","136","98","","44","54","52","","90","33","54","48","32",""
"2020-06-14","24","27","26","","138","99","43","46","55","57","","117","33","58","56","33",""
"2020-06-15","24","29","26","","159","103","54","46","59","67","","129","33","61","62","33",""
"2020-06-16","29","30","","","160","111","55","49","59","73","","139","37","75","64","38",""
"2020-06-17","45","31","","","162","111","59","51","70","75","","164","43","85","74","39",""
"2020-06-18","56","33","26","","166","122","69","53","71","77","","175","46","93","96","41",""
"2020-06-19","60","33","26","","186","126","83","59","74","92","","188","46","97","109","41",""
"2020-06-20","72","34","26","","188","128","85","59","85","93","","198","58","99","109","43",""
"2020-06-21","82","34","26","","191","130","85","62","89","121","","199","62","99","147","",""
"2020-06-22","83","43","28","","205","139","85","66","97","144","","211","62","99","153","43",""
"2020-06-23","84","49","29","","206","","89","77","97","160","","211","68","100","163","46",""
"2020-06-24","98","53","31","","213","142","90","80","130","167","","212","69","100","168","46",""
"2020-06-25","102","55","33","","214","150","90","82","136","178","","217","78","100","171","46",""
"2020-06-26","102","55","38","","215","151","100","84","147","196","","219","78","100","186","46",""
"2020-06-27","108","55","43","","228","156","115","91","147","215","","224","95","103","193","46",""
"2020-06-28","113","55","49","","229","161","115","97","153","215","","228","97","104","198","47",""
"2020-06-29","122","57","49","","242","163","134","105","161","222","","231","97","107","203","",""
"2020-06-30","122","64","51","","244","167","134","111","163","244","","238","97","113","216","51",""
"2020-07-01","131","65","53","","256","184","155","117","175","258","","249","102","116","232","54",""
"2020-07-02","139","75","66","","262","215","155","118","175","314","","303","102","131","240","54",""
"2020-07-03","141","95","66","","275","227","155","134","186","324","","371","131","136","245","64",""
"2020-07-04","177","102","68","","289","233","196","144","187","331","","416","151","146","255","64",""
"2020-07-05","179","109","68","","292","233","227","149","192","359","","424","160","156","267","70",""
"2020-07-06","186","125","68","","302","245","237","160","197","372","","457","187","163","283","70",""
"2020-07-07","190","145","69","","311","245","243","161","202","382","","480","206","166","289","74",""
"2020-07-08","206","157","69","","313","252","266","161","208","394","","489","210","171","300","74",""
"2020-07-09","213","172","77","","329","265","276","169","209","400","","506","217","180","329","77",""
"2020-07-10","237","176","81","","343","268","276","178","209","418","","514","217","185","348","81",""
"2020-07-11","248","179","85","","344","268","302","184","213","433","","521","260","191","365","81",""
"2020-07-12","250","184","85","","363","276","302","185","231","449","","537","285","193","385","81",""
"2020-07-13","257","194","","","382","282","312","197","238","477","","562","287","197","401","97",""
"2020-07-14","274","194","","","428","287","314","202","258","488","","611","287","213","411","97",""
"2020-07-15","274","195","88","","433","308","323","215","272","530","","666","307","223","413","98",""
"2020-07-16","287","202","94","","441","331","340","222","282","567","","738","325","224","421","99",""
"2020-07-17","293","206","100","","449","340","348","228","291","599","","738","326","233","452","103",""
"2020-07-18","329","214","106","","486","349","349","234","300","625","","765","344","239","463","107",""
"2020-07-19","363","221","111","","507","361","353","243","308","625","","776","361","262","484","107",""
"2020-07-20","373","228","112","","510","371","354","260","314","657","","870","379","263","529","107",""
