"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/Will add when bulletin is released","Kerala/idukki"
"2020-01-30","","","","","","","","","","","","","","","1","","",""
"2020-02-02","1","","","","","","","","","","","","","","","","",""
"2020-02-03","","","","","","1","","","","","","","","","","","",""
"2020-03-08","","","","","","","","","","","","","5","","","","",""
"2020-03-09","","","","","1","","","","","","","","","","","","",""
"2020-03-10","","2","","","1","","","2","","","","","8","","","","",""
"2020-03-12","","","","","2","","","","","","","","","","2","","",""
"2020-03-13","","","","","","","","","","","","","","2","","","",""
"2020-03-15","","","","","","","","","","","","","","3","","","",""
"2020-03-16","","","","","","1","","","","1","","","","","","","",""
"2020-03-19","","","","","","1","","","","","","","","","","","",""
"2020-03-20","","3","","","","1","","","","","","","","","","","",""
"2020-03-21","","3","","","5","2","","","","","","","","","","","",""
"2020-03-22","","3","","","5","2","","","1","1","","","","","","","",""
"2020-03-23","","3","","","7","3","","","","","","","8","","2","","",""
"2020-03-24","1","3","","","","3","","3","1","1","","","","3","","","",""
"2020-03-25","","3","1","","","","","","1","","","","8","","","","",""
"2020-03-26","","","2","","11","4","","","","2","","","","","2","1","",""
"2020-03-27","","","","","11","5","","","2","","","","","","2","","",""
"2020-03-28","","","","","","5","","","","2","","","","3","","","",""
"2020-03-29","","3","","","17","5","","","","2","","","","3","2","","",""
"2020-03-30","","","2","","20","5","","","","","","","","","","2","",""
"2020-03-31","","","","","20","5","","","","","","","","3","2","","",""
"2020-04-01","","3","","","20","5","","","","2","","","","3","2","","",""
"2020-04-02","","","2","","20","5","","","2","2","","","8","3","2","","",""
"2020-04-03","","","","","20","5","","","","","","","","","2","","",""
"2020-04-04","1","3","","","20","5","","","","","","","","","","","",""
"2020-04-05","","","","","20","5","","","2","","","","8","","","","",""
"2020-04-06","","","","","","5","","","","2","","","8","","","","",""
"2020-04-07","","","","","20","5","","","","2","","","","","","","",""
"2020-04-08","1","","","","20","5","","","","","","","8","","2","","",""
"2020-04-09","","","","","20","5","","","","2","","","","3","","","",""
"2020-04-10","","","","","20","5","","","","2","","","","","","","",""
"2020-04-11","","","","","20","5","","","2","","","","","","","","",""
"2020-04-12","","","","","20","","","","","","","","8","","","","",""
"2020-04-13","","","","","20","","","","","","","","","","","","",""
"2020-04-14","","","","","20","5","","","2","","","","","","","","",""
"2020-04-15","","","","","20","","","","","","","","","","","","",""
"2020-04-16","","","","","20","5","","","2","","","","","","","","",""
"2020-04-17","","","","","","","","","2","","","","","","","","",""
"2020-04-18","","","","","20","","","","2","","","","","","","","",""
"2020-04-19","","","","","20","5","","","","","","","","","","","",""
"2020-04-20","","","","","20","","","","","","","","","","","","",""
"2020-04-21","","","","","20","5","","","","2","","","","","","","",""
"2020-04-22","","","","","20","","","3","2","2","","","","","","","",""
"2020-04-23","","","2","","","","","3","2","","","","","3","","","",""
"2020-04-24","","","","","","5","","","","","","","","","","","",""
"2020-04-25","","","","","20","","","3","","","","","","","","","",""
"2020-04-26","","","2","","","","","3","","","","","","","","","",""
"2020-04-27","","4","2","","26","","","3","6","3","","","","4","","","",""
"2020-04-28","","","","","28","7","","","","","","","","","","","",""
"2020-04-29","","","","","31","10","","","9","","","","9","4","","","",""
"2020-04-30","","","","","33","12","3","","10","4","","4","10","","","","",""
"2020-05-01","","5","","","37","16","","","","","","","","","","","",""
"2020-05-02","","","4","","43","","","","","","","","","","","2","",""
"2020-05-03","","","4","","","17","","3","","","","","","","","","",""
"2020-05-04","","","14","","62","20","12","15","13","6","","5","","6","","","",""
"2020-05-05","","","","","","","","","","","","","","","","2","",""
"2020-05-06","","","15","","","","","20","","","","","11","","","","",""
"2020-05-07","","","","","65","22","","","","","","","","","","","",""
"2020-05-08","","5","","","75","","","","","","","","","","","","",""
"2020-05-09","","5","16","","","","","","13","6","","","","","","","",""
"2020-05-10","","5","","","77","23","","","","6","","6","","","2","2","",""
"2020-05-11","","","","","","23","","","","6","","6","","","","2","",""
"2020-05-12","","","","","","","","20","","6","","","11","","","","",""
"2020-05-13","","","","","77","","13","20","13","6","","6","","","","2","",""
"2020-05-14","","","16","","78","23","15","","13","6","","6","11","","","2","",""
"2020-05-15","1","","","","","23","15","","13","6","","6","","","","2","",""
"2020-05-16","","","","","80","","","","13","6","","6","","","2","4","",""
"2020-05-17","","5","","","80","23","15","","13","6","","6","","","2","","",""
"2020-05-18","1","5","","","80","23","15","20","13","6","","6","11","6","2","","",""
"2020-05-19","1","","","","80","","","","","6","","6","11","","2","","",""
"2020-05-20","1","5","","","81","24","","","13","6","","6","11","6","4","5","",""
"2020-05-21","1","5","16","","81","24","15","21","14","8","","6","","6","4","9","",""
"2020-05-22","","","","","81","24","15","21","14","10","","6","11","","4","9","",""
"2020-05-23","1","","","","81","25","16","22","14","10","","6","","","","9","",""
"2020-05-24","1","5","","","81","27","16","","14","10","","6","11","6","","12","",""
"2020-05-25","1","6","17","","81","33","18","22","14","11","","6","11","6","","13","",""
"2020-05-26","2","7","","","81","35","18","23","14","14","","8","","","4","","",""
"2020-05-27","4","7","","","80","38","18","","14","19","","8","11","","","14","",""
"2020-05-28","4","","17","","81","38","18","23","15","20","","8","11","6","4","","",""
"2020-05-29","4","7","17","","82","39","18","23","17","21","","8","11","6","4","19","",""
"2020-05-30","4","7","17","","83","39","18","24","17","23","","10","","7","7","","",""
"2020-05-31","4","8","","","87","40","18","","21","25","","10","13","8","7","19","",""
"2020-06-01","4","8","17","","88","40","18","27","21","32","","11","14","11","8","20","",""
"2020-06-02","4","8","","","89","47","18","34","21","33","","11","15","13","8","20","",""
"2020-06-03","5","8","17","","91","51","20","36","26","33","","11","17","18","9","","",""
"2020-06-04","5","8","","","97","51","20","36","32","42","","23","18","19","11","22","",""
"2020-06-05","9","11","17","","","59","20","36","32","42","","23","18","20","17","22","",""
"2020-06-06","9","15","18","","102","60","22","36","39","42","","53","18","20","17","","",""
"2020-06-07","12","","18","","107","66","25","37","39","43","","60","19","21","30","","",""
"2020-06-08","12","15","","","107","73","25","37","39","43","","62","19","21","30","24","",""
"2020-06-09","14","16","19","","107","73","28","39","42","43","","62","25","32","34","25","",""
"2020-06-10","21","18","19","","120","84","32","41","45","43","","62","31","35","34","31","",""
"2020-06-11","22","23","","","125","90","36","41","50","45","","75","32","48","41","","",""
"2020-06-12","22","26","23","","126","92","43","42","52","45","","81","32","50","45","","",""
"2020-06-13","22","26","24","","136","98","","44","54","52","","90","33","54","48","32","",""
"2020-06-14","24","27","26","","138","99","43","46","55","57","","117","33","58","56","33","",""
"2020-06-15","24","29","26","","159","103","54","46","59","67","","129","33","61","62","33","",""
"2020-06-16","29","30","","","160","111","55","49","59","73","","139","37","75","64","38","",""
"2020-06-17","45","31","","","162","111","59","51","70","75","","164","43","85","74","39","",""
"2020-06-18","56","33","26","","166","122","69","53","71","77","","175","46","93","96","41","",""
"2020-06-19","60","33","26","","186","126","83","59","74","92","","188","46","97","109","41","",""
"2020-06-20","72","34","26","","188","128","85","59","85","93","","198","58","99","109","43","",""
"2020-06-21","82","34","26","","191","130","85","62","89","121","","199","62","99","147","","",""
"2020-06-22","83","43","28","","205","139","85","66","97","144","","211","62","99","153","43","",""
"2020-06-23","84","49","29","","206","","89","77","97","160","","211","68","100","163","46","",""
"2020-06-24","98","53","31","","213","142","90","80","130","167","","212","69","100","168","46","",""
"2020-06-25","102","55","33","","214","150","90","82","136","178","","217","78","100","171","46","",""
"2020-06-26","102","55","38","","215","151","100","84","147","196","","219","78","100","186","46","",""
"2020-06-27","107","56","42","","230","156","114","91","147","218","","221","95","104","192","46","",""
"2020-06-28","112","56","48","","231","161","114","97","153","218","","225","97","105","197","47","",""
"2020-06-29","121","58","48","","244","163","133","105","161","225","","228","97","108","202","","",""
"2020-06-30","121","65","50","","246","167","133","111","163","247","","235","97","114","215","51","",""
"2020-07-01","130","66","52","","258","184","154","117","175","261","","246","102","117","231","54","",""
"2020-07-02","138","76","65","","264","215","154","118","175","317","","300","102","132","239","54","",""
"2020-07-03","140","96","65","","277","227","154","134","186","327","","368","131","137","244","64","",""
"2020-07-04","176","103","67","","292","233","192","143","187","333","","412","151","152","254","64","",""
"2020-07-05","176","113","67","","295","233","223","146","192","361","","419","161","163","266","70","",""
"2020-07-06","183","129","67","","305","245","233","157","197","374","","452","188","170","282","70","",""
"2020-07-07","187","149","68","","314","245","239","158","202","384","","475","207","173","288","74","",""
"2020-07-08","203","161","68","","316","252","262","158","208","396","","484","211","178","299","74","",""
"2020-07-09","210","176","76","","332","265","272","166","209","402","","501","218","187","328","77","",""
"2020-07-10","234","180","80","","346","268","272","175","209","420","","509","218","192","347","81","",""
"2020-07-11","245","183","84","","347","268","298","181","213","435","","516","261","198","364","81","",""
"2020-07-12","247","188","84","","366","276","298","182","231","451","","532","286","200","384","81","",""
"2020-07-13","254","198","","","385","282","308","194","238","479","","557","288","204","400","97","",""
"2020-07-14","271","198","","","431","287","310","199","258","490","","606","288","220","410","97","",""
"2020-07-15","271","199","87","","436","308","319","212","272","532","","661","308","230","412","98","",""
"2020-07-16","284","206","93","","444","331","336","219","282","569","","733","326","231","420","99","",""
