"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-03-16","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","",""
"2020-03-31","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","",""
"2020-04-03","","","","","3","","1","","","","","","1","","","","","","14","","","","","","","","1","","","","",""
"2020-04-04","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","","","","","","33","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","1","","","","","","2","","","","37","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","2","","40","","","","","","","","","","","","","2"
"2020-04-13","","","","","","","","","","","","","","","","","","","41","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","2","","","","","","45","","","","","","","","","","","","",""
"2020-04-18","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","3","","8","","","","","","","","7","","","","","","","","","","","","","","","","","","","3"
"2020-04-21","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-22","","","","","11","","","","","","","","8","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","10","","","","","","","","","","12","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6"
"2020-04-27","","","16","","19","","","","","","","","19","","","","","","45","1","","","","","","","","","","","","10"
"2020-04-28","","","","","","","","","","","","","","","","","","","45","","","","","","","","","","","","",""
"2020-04-29","","","19","","","","","1","","","","","","1","","","","1","46","","","","","","","","","","","","",""
"2020-04-30","","","20","","","","","","","","","","36","","","","","","","","","","","","","","","","","","","10"
"2020-05-01","","2","20","","19","","","","","","","","45","","","","2","","46","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","2","","48","2","","","","","46","","","","","","","","","","","","",""
"2020-05-03","","","21","","19","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"2020-05-04","","","","","21","","","","","","","","52","","","","","","","","","","","","","","","","","","","11"
"2020-05-05","","","24","","","","2","","","","4","","53","","","","","","46","","","","","","","","","","","","","12"
"2020-05-06","","","25","","","","","","","","21","4","55","","","","3","","","","","3","","","","","","","","","",""
"2020-05-07","","","27","","","","","","","","28","5","","","","","","","49","","","4","","","","","","","","","",""
"2020-05-08","","","","","24","","","","","","71","","","","","","8","","","","","","","","","","","","","","","12"
"2020-05-09","13","","42","","25","","","","","","118","","55","","","","","","","","","8","","1","","","","","","","","13"
"2020-05-10","15","","","","31","3","","","","","125","","60","","","","","","","","","","","","","","3","","","","",""
"2020-05-11","","","57","","31","","","1","","","140","","64","2","","","9","","49","","","","","","","","","","","","","16"
"2020-05-12","","","","","","4","3","","","","158","","64","","","","","","","","","9","","","","","4","","","","",""
"2020-05-13","","","90","","31","","","","","","210","","71","","","","","4","49","1","","","","","","","","","","","","23"
"2020-05-14","","","102","","46","","4","2","","","264","","90","","","","22","","52","","","","","4","","","14","","","","","26"
"2020-05-15","","","102","","46","","10","","","","277","","121","","","","26","4","55","","","11","","6","","","18","","","","",""
"2020-05-16","","","102","","","","10","","","","277","","","","","","","","","","","","","","","","","","","","",""
"2020-05-17","","4","119","","74","","22","","","","292","","121","","","","27","8","58","","","","","","","","25","","1","","","27"
"2020-05-18","","6","119","","","5","23","","","","307","5","137","","","2","30","","59","","","11","","9","","","29","","","","","27"
"2020-05-19","17","","121","","95","","27","","","","307","28","168","","","","38","","63","","","","","10","","","33","","3","","",""
"2020-05-20","","","122","","95","33","36","","2","","313","","174","","","3","40","","70","","2","11","","","","","44","","","","","27"
"2020-05-21","19","","122","","95","33","45","","","","317","30","179","","13","","","","","","3","14","","21","","","45","","5","","","27"
"2020-05-22","19","","127","","98","33","56","","","","322","","225","","","","40","11","73","","","","","27","","","48","","","","","28"
"2020-05-23","","9","128","","98","","57","","","4","341","","239","5","","5","","","","","8","14","1","32","","","65","","","","","33"
"2020-05-24","25","16","","","","","59","","3","","348","31","239","","17","","","11","76","","10","","","45","1","","81","","","","","37"
"2020-05-25","24","24","133","1","106","","","24","4","10","353","41","240","","15","6","55","12","81","7","19","15","","45","","","81","","","","","37"
"2020-05-26","25","38","137","","106","","75","","7","","358","","242","6","","13","61","20","85","","","15","","48","","","85","","","","1","37"
"2020-05-27","","54","139","","106","","86","","","","368","47","242","","","","","20","98","","","16","","50","14","","85","","","","","39"
"2020-05-28","","56","","2","","33","86","","","","394","49","253","","","13","61","21","109","","","","","57","","","85","","7","","5",""
"2020-05-29","","62","142","","106","","89","","16","","398","60","253","7","","","","","121","8","","17","2","64","","","86","","8","","","41"
"2020-05-30","25","69","146","","113","33","95","28","18","20","404","66","259","","20","13","71","22","130","","19","","","65","18","","87","","","","","48"
"2020-05-31","25","80","152","8","","","100","32","19","36","414","68","269","","20","","89","25","137","","20","23","","65","30","","91","","9","","","54"
"2020-06-01","","82","152","11","120","34","120","","","36","431","82","280","","","22","139","26","140","","21","26","","68","33","","91","","11","","8","57"
"2020-06-02","26","89","154","","","","126","","21","40","458","86","290","7","","22","152","30","166","","21","27","2","69","52","","96","","12","","8","65"
"2020-06-03","29","102","178","11","123","","126","33","21","44","499","","290","","21","","161","","169","","","35","","69","60","","96","1","15","","25","69"
"2020-06-04","30","102","179","12","132","","131","","31","","521","86","290","7","22","22","161","30","194","","","","","76","","","98","","16","","","74"
"2020-06-05","31","105","179","16","136","","154","","33","51","533","87","293","","25","25","163","32","216","14","","57","","76","60","","99","2","","","26","81"
"2020-06-06","","116","190","","140","","167","","","61","597","87","312","8","27","","163","","225","","","70","","83","68","","100","","16","","26","81"
"2020-06-07","33","121","190","","140","","172","","35","61","598","89","319","8","","25","166","33","243","16","21","","2","87","69","","101","","","","29","99"
"2020-06-08","","122","190","16","151","","187","33","38","","631","89","325","","29","35","167","43","256","16","","76","","90","72","","108","3","17","","","111"
"2020-06-09","","123","197","16","151","","189","38","39","","649","97","326","","32","37","169","45","275","16","22","79","","93","72","61","108","","17","","","118"
"2020-06-10","","124","197","18","152","35","209","","","72","649","130","326","9","36","","170","46","289","17","","83","","97","","","115","7","","","","118"
"2020-06-11","","124","197","","","","216","","42","79","652","130","","13","38","52","171","54","306","","","92","","","74","115","118","","18","","29","118"
"2020-06-12","39","129","202","","","38","219","40","42","84","658","130","329","15","","","171","59","314","","25","99","","101","","136","133","","23","","","122"
"2020-06-13","40","141","204","","157","","311","","49","84","678","143","329","","41","67","175","","333","","","108","","108","74","","148","7","","","29","123"
"2020-06-14","41","143","204","34","158","","323","","51","99","682","154","341","17","57","89","176","70","354","17","26","121","","108","","149","155","","23","","","126"
"2020-06-15","47","143","212","","177","","342","","52","99","690","158","341","18","57","137","","","361","17","","121","","112","74","158","155","12","24","","31","130"
"2020-06-16","48","144","216","35","","","343","","52","106","698","167","341","18","58","137","185","75","368","17","47","121","","112","74","174","170","","","","","132"
"2020-06-17","","147","222","46","177","","346","","","163","699","174","341","19","58","144","186","75","393","","","126","","","78","195","188","","","","","137"
"2020-06-18","","148","256","50","180","40","346","","52","","755","","350","","64","147","193","80","403","23","48","126","9","112","79","","204","","","","","140"
"2020-06-19","49","150","277","","180","","366","40","","191","796","175","358","21","64","147","","","411","24","49","129","12","113","","206","211","","","","","146"
"2020-06-20","55","","","52","185","40","381","41","52","","853","179","361","21","64","147","198","98","438","","51","139","13","113","","224","211","17","24","","","146"
"2020-06-21","55","151","294","66","196","","394","41","53","238","893","208","382","46","","159","203","98","443","","53","145","13","116","","266","214","","26","","35","147"
"2020-06-22","56","152","307","67","200","40","484","","57","238","925","209","382","50","70","159","213","100","653","","53","145","","129","","0","214","","31","","","159"
"2020-06-23","","153","320","68","","","487","","66","279","955","228","387","53","","159","220","100","661","25","53","159","","131","79","","215","22","","","","163"
"2020-06-24","57","154","323","68","200","","491","","","355","1030","239","393","76","70","176","220","100","687","26","","165","","132","","8","224","","44","","","164"
"2020-06-25","58","165","325","68","200","","496","42","73","384","1088","239","401","76","","","223","105","734","","53","172","15","135","","14","232","22","45","","35","170"
"2020-06-26","59","165","332","68","225","41","501","","","411","1137","268","402","80","","177","229","107","751","27","","181","16","","81","21","242","","47","","","181"
"2020-06-27","59","165","332","69","225","","537","","","427","1195","268","405","80","","177","235","107","770","28","58","181","35","138","","0","248","38","49","","","181"
"2020-06-28","63","167","344","87","226","41","549","","","428","1271","272","446","98","71","178","235","132","785","29","60","196","","140","82","","255","","50","","","185"
"2020-06-29","63","167","346","97","228","","557","42","76","435","1367","281","486","100","","","243","139","813","","","201","42","143","","0","","39","","","36","191"
"2020-06-30","69","183","351","97","232","42","574","57","80","435","1370","298","514","103","71","178","247","145","820","47","96","208","42","144","","1","256","","54","","","193"
"2020-07-01","70","187","353","109","232","","606","61","","441","1472","298","515","108","","","251","145","846","","106","213","","158","","2","268","","56","","37","200"
"2020-07-02","71","194","377","110","232","45","620","62","","442","1567","299","537","118","71","","251","146","867","48","","215","","163","","0","272","39","","","","217"
"2020-07-03","","213","377","131","233","","702","62","83","442","1850","305","540","120","76","178","253","152","893","52","106","225","42","","","0","273","115","64","","","220"
"2020-07-04","95","213","390","133","245","","715","","84","449","2066","317","541","128","","186","264","157","943","57","111","253","53","164","","","291","","70","","39","256"
"2020-07-05","106","216","398","133","261","","813","","","461","2182","317","566","128","78","187","269","182","970","57","112","259","55","188","","0","299","","83","","","322"
"2020-07-06","107","222","412","166","273","45","826","","85","462","2348","340","623","128","79","190","274","184","991","67","","267","79","192","","","302","128","98","","","342"
"2020-07-07","111","227","440","166","274","","855","","86","518","2621","357","639","129","","","277","191","1028","","112","281","86","193","","","306","138","104","","39","393"
"2020-07-08","112","248","466","167","276","","872","","87","521","2836","361","664","133","","","282","198","1078","73","115","291","89","211","86","","322","139","105","","44","471"
"2020-07-09","119","","496","167","278","50","886","62","91","538","3096","368","673","134","","191","285","246","1134","79","116","305","89","212","","","327","","108","","","554"
"2020-07-10","122","260","505","168","280","50","941","66","95","568","3416","373","759","134","","193","290","278","1193","84","134","317","89","228","","","338","139","110","","","616"
"2020-07-11","133","","508","168","282","53","987","66","","593","3634","389","799","165","","","296","292","1230","95","","327","","265","","","353","","111","","","660"
"2020-07-12","133","261","519","171","293","53","998","","","613","3864","394","896","","83","","298","295","1306","139","170","341","89","270","","","363","141","113","","","668"
"2020-07-13","140","263","546","202","295","","1021","","102","614","4147","412","913","176","","199","299","318","1335","189","184","354","129","270","91","","364","141","","","","673"
"2020-07-14","141","268","554","205","296","60","1060","","104","643","4335","427","914","182","","","309","340","1422","189","195","376","129","271","","","371","165","115","","","725"
"2020-07-15","155","270","615","205","297","62","1076","","106","643","4621","453","919","183","83","199","318","345","1529","190","208","397","","286","","","376","166","125","","","740"
"2020-07-16","156","273","636","205","304","64","1114","","106","643","4867","454","934","183","85","","329","355","1593","194","212","411","133","302","100","","383","167","129","","44","750"
"2020-07-17","165","273","645","209","314","","1146","","112","664","5098","470","934","207","","206","333","383","1743","221","266","433","134","315","","","392","186","136","","49","760"
"2020-07-18","166","282","658","244","317","69","1184","69","121","664","5280","492","953","212","","206","341","389","1864","225","274","455","156","326","","","398","187","156","","","778"
"2020-07-19","188","286","691","247","322","77","1211","","122","703","5527","532","993","212","87","","348","390","1971","270","292","467","157","336","","","412","195","181","","","795"
"2020-07-20","192","286","704","269","380","77","1243","69","132","718","5766","568","1021","226","","250","352","414","2029","311","296","468","157","340","100","","416","195","184","","53","806"
"2020-07-21","229","291","744","273","392","77","1327","","142","718","5991","575","1023","","87","255","365","422","2097","339","306","471","159","344","","","416","242","194","","54","828"
"2020-07-22","230","297","754","299","393","80","1384","","144","742","6362","610","1043","260","102","268","389","438","2218","354","372","484","176","349","","","444","338","214","","64","857"
"2020-07-23","237","298","763","323","423","82","1431","","150","816","6902","614","1060","263","109","297","397","463","2355","381","","499","180","410","101","","466","422","234","","","917"
"2020-07-24","247","304","785","331","483","123","1567","","152","819","7634","617","1065","271","110","314","406","483","2675","414","381","531","183","420","102","","496","422","247","","68","973"
"2020-07-25","253","313","808","345","511","123","1614","70","152","909","8194","620","1088","273","111","353","407","507","2849","444","381","531","183","458","106","","586","487","247","","69","1020"
"2020-07-26","258","332","837","352","521","131","1689","81","167","983","8678","631","1096","279","122","365","418","610","3036","451","396","553","204","488","110","","677","532","264","","74","1053"
"2020-07-27","259","353","856","375","546","132","1825","81","199","1056","9169","637","1147","289","132","438","427","653","3259","485","430","581","206","496","","","681","600","281","","78","1110"
"2020-07-28","270","374","885","385","548","134","1885","82","200","1145","9501","684","1167","291","140","452","441","730","3571","558","444","603","206","503","118","","692","624","281","","80","1112"
"2020-07-29","290","400","914","390","552","134","1946","84","201","1233","9746","687","1179","303","159","463","449","730","3765","624","445","623","232","532","129","","708","648","302","","82","1224"
"2020-07-30","305","406","934","402","605","137","2043","92","204","1305","9996","695","1225","303","163","477","463","741","3985","690","510","639","236","556","","","717","693","342","","86","1298"
"2020-07-31","330","425","971","412","606","137","2071","94","296","1402","10364","710","1244","310","207","527","477","757","4199","771","536","652","269","623","138","","753","733","398","","91","1373"
"2020-08-01","345","463","1000","425","626","146","2125","","345","1510","10672","729","1288","317","237","572","492","788","4484","817","566","691","278","656","143","","803","897","437","","97","1435"
"2020-08-02","354","463","1012","430","651","151","2248","96","358","1601","10992","742","1345","323","255","616","514","790","4702","829","590","692","280","664","150","","868","1094","488","","103","1511"
"2020-08-03","367","514","1091","463","676","151","2337","","369","1662","11323","764","1363","330","259","616","525","790","4913","926","629","721","306","686","155","","885","1132","581","","109","1557"
"2020-08-04","381","519","1128","473","716","153","2458","96","420","1700","11611","784","1402","333","306","678","537","856","5114","975","663","749","308","717","158","","919","1132","663","","110","1621"
"2020-08-05","385","530","1159","487","738","154","2626","","425","1775","11812","805","1426","343","319","698","574","936","5310","1006","701","764","315","777","158","","992","1154","735","","113","1704"
"2020-08-06","402","551","1176","568","804","162","2731","","452","1834","12080","821","1467","353","349","772","601","992","5530","1047","773","788","331","802","161","","1059","1173","836","","123","1882"
"2020-08-07","411","588","1245","576","854","196","2855","96","495","1869","12359","837","1527","383","433","788","635","1008","5828","1094","809","822","342","863","162","","1126","1325","875","","156","1992"
"2020-08-08","427","631","1318","583","856","203","2953","","531","1904","12633","858","1563","385","463","840","649","1011","6102","1144","836","861","347","903","163","","1218","1461","987","","156","2110"
"2020-08-09","431","637","1391","634","914","","3130","101","560","1989","12855","870","1601","391","487","899","651","1038","6444","1204","888","896","360","1009","185","","1273","1479","1001","","169","2236"
"2020-08-10","439","696","1434","644","984","210","3202","","667","2020","13088","892","1634","400","518","916","668","1043","6662","1271","926","918","383","1041","187","","1299","1506","1169","","174","2362"
"2020-08-11","443","723","1488","700","1067","220","3278","101","681","2040","13315","908","1649","467","543","932","695","1066","6880","1316","943","927","389","1098","194","","1315","1581","1195","","188","2453"
"2020-08-12","458","754","1569","715","1117","230","3387","103","717","2111","13575","934","1702","473","584","962","753","1087","7177","1393","967","997","419","1203","197","","1395","1679","1231","","210","2572"
"2020-08-13","464","781","1628","742","1182","252","3518","119","756","2119","13842","976","1762","481","623","1141","782","1110","7451","1490","1031","1034","437","1259","213","","1472","1734","1269","","267","2717"
"2020-08-14","466","788","1684","764","1300","257","3619","121","796","2212","14122","1010","1831","492","671","1201","788","1120","7783","1580","1083","1154","454","1334","233","","1555","1804","1328","","274","2805"
"2020-08-15","478","880","1849","800","1402","372","3747","","865","2280","14449","1024","1842","511","713","1299","801","1171","8161","1713","1156","1177","465","1338","249","","1648","1950","1409","","294","2961"
"2020-08-16","515","907","1976","848","1509","380","3936","137","905","2351","14767","1071","2042","541","740","1349","861","1197","8649","1808","1249","1313","491","1480","269","","1792","2066","1446","","332","3122"
"2020-08-17","530","944","2118","883","1613","429","4130","137","923","2357","15010","1087","2140","553","807","1470","888","1210","8960","1902","1347","1404","512","1493","278","","1860","2226","1481","","343","3258"
"2020-08-18","536","1010","2248","934","1686","482","4247","","959","2399","15256","1113","2215","566","828","1560","895","1282","9379","1993","1402","1484","526","1640","286","","1900","2346","1534","","367","3322"
"2020-08-19","556","1011","2398","1001","1733","498","4469","","984","2435","15498","1134","2310","584","870","1590","905","1335","9845","2085","1475","1601","562","1651","292","","2135","2557","1600","","393","3477"
"2020-08-20","572","1184","2538","1010","1840","499","4710","140","1028","2488","15724","1218","2379","633","946","1653","962","1370","10369","2217","1531","1654","599","1883","300","","2239","2662","1677","","416","3578"
"2020-08-21","601","1255","2640","1066","1929","510","4917","142","1055","2546","15886","1239","2459","705","995","1734","1051","1391","10844","2363","1612","1782","690","1977","303","","2326","2816","1755","","447","3681"
"2020-08-22","624","1311","2745","1202","2006","516","5174","","1155","2608","16078","1287","2579","768","1050","1778","1113","1398","11287","2444","1695","2001","733","2041","304","","2435","2963","1900","","461","3738"
"2020-08-23","645","1373","2860","1300","2098","525","5332","151","1215","2651","16349","1333","2700","811","1086","1836","1156","1461","11893","2539","1780","2121","801","2194","315","","2591","3100","2004","","501","3808"
"2020-08-24","646","1430","2948","1362","2164","528","5921","153","1228","2654","16528","1384","2915","831","1116","1870","1212","1491","12367","2720","1858","2277","827","2287","317","","2677","3243","2108","","527","3889"
"2020-08-25","669","1444","3077","1390","2222","539","6168","159","1229","2714","16740","1485","3132","846","1132","1965","1309","1519","12790","2894","1959","2414","854","2390","325","","2821","3420","2163","","528","3933"
"2020-08-26","732","1520","3175","1488","2336","543","6525","167","1296","2755","16936","1580","3305","939","1160","2006","1385","1593","13337","2985","2093","2506","919","2561","340","","2965","3566","2270","","531","4087"
"2020-08-27","745","1619","3294","1645","2418","548","7017","183","1356","2764","17113","1623","3481","1033","1187","2064","1461","1656","13924","3074","2137","2683","950","2637","359","","3086","3720","2452","","568","4188"
"2020-08-28","801","1687","3381","1797","2469","562","7386","195","1417","2812","17287","1667","3569","1076","1228","2100","1505","1715","14699","3214","2223","2955","988","2746","382","","3201","4215","2580","","595","4215"
