"date","Lakshadweep/Lakshadweep"
"2021-01-18",""
"2021-01-19",""
"2021-01-20",""
"2021-01-21",""
"2021-01-22",""
"2021-01-23",""
"2021-01-25",""
"2021-01-26",""
"2021-01-29",""
"2021-01-30",""
"2021-01-31",""
"2021-02-01",""
"2021-02-02",""
"2021-02-03",""
"2021-02-04",""
"2021-02-05",""
"2021-02-06",""
"2021-02-07",""
"2021-02-08",""
"2021-02-09",""
"2021-02-10",""
"2021-02-11",""
"2021-02-12",""
"2021-02-13",""
"2021-02-14",""
"2021-02-15",""
"2021-02-16",""
"2021-02-17",""
"2021-02-18",""
"2021-02-21",""
"2021-02-22",""
"2021-02-23",""
"2021-02-24",""
"2021-02-25",""
"2021-02-26","0"
"2021-02-27","0"
"2021-02-28","0"
"2021-03-01","0"
"2021-03-02","0"
"2021-03-03","0"
"2021-03-04","0"
"2021-03-05","0"
"2021-03-06","0"
"2021-03-07","0"
"2021-03-08","0"
"2021-03-09","0"
"2021-03-10","0"
"2021-03-11","0"
"2021-03-12","0"
"2021-03-13","0"
"2021-03-14","0"
"2021-03-15","0"
"2021-03-16","0"
"2021-03-17","0"
"2021-03-18","0"
"2021-03-19","0"
"2021-03-20","0"
"2021-03-21","0"
"2021-03-23","0"
