"date","Bihar/ARWAL","Bihar/AURANGABAD","Bihar/Araria","Bihar/Arwal","Bihar/Aurangabad","Bihar/BEGUSARAI","Bihar/BHAGALPUR","Bihar/BHOJPUR","Bihar/Banka","Bihar/Begusarai","Bihar/Bhagalpur","Bihar/Bhojpur","Bihar/Buxar","Bihar/Darbhanga","Bihar/EAST CHAMPARAN","Bihar/East Champaran","Bihar/GAYA","Bihar/GOPALGANJ","Bihar/Gaya","Bihar/Gopalganj","Bihar/Jamui","Bihar/Jehanabad","Bihar/KAIMUR","Bihar/KHAGARIA","Bihar/Kaimur","Bihar/Katihar","Bihar/Khagaria","Bihar/Kishanganj","Bihar/Lakhisarai","Bihar/MUZAFFARPUR","Bihar/Madhepura","Bihar/Madhubani","Bihar/Munger","Bihar/Muzaffarpur","Bihar/NALANDA","Bihar/NAWADA","Bihar/Nalanda","Bihar/Nawada","Bihar/Other State","Bihar/PATNA","Bihar/Patna","Bihar/Purnia","Bihar/Rajmahal","Bihar/Rohtas","Bihar/SARAN","Bihar/SIWAN","Bihar/SUPAUL","Bihar/Saharsa","Bihar/Samastipur","Bihar/Saran","Bihar/Sheikhpura","Bihar/Sheohar","Bihar/Sitamarhi","Bihar/Siwan","Bihar/Supaul","Bihar/VAISHALI","Bihar/Vaishali","Bihar/West Champaran","Bihar/bhagalpur","Bihar/gaya"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
