"date","Andaman and Nicobar Islands","Andhra Pradesh","Arunachal Pradesh","Assam","Bihar","Chandigarh","Chhattisgarh","Delhi","Goa","Gujarat","Haryana","Himachal Pradesh","Jammu and Kashmir","Jharkhand","Karnataka","Kerala","Madhya Pradesh","Maharashtra","Manipur","Meghalaya","Mizoram","Nagaland","Odisha","Puducherry","Punjab","Rajasthan","Sikkim","Tamil Nadu","Telangana","Tripura","Uttar Pradesh","Uttarakhand","West Bengal"
"2020-01-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-11","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-12","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","-89.98 %","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","   .00 %","","","","","","","","","","-49.98 %","","","","","","","","","","","","","","",""
