"date","Andhra Pradesh/Anantapur","Andhra Pradesh/Chittoor","Andhra Pradesh/East Godavari","Andhra Pradesh/Foreign Evacuees","Andhra Pradesh/Guntur","Andhra Pradesh/Krishna","Andhra Pradesh/Kurnool","Andhra Pradesh/Other State","Andhra Pradesh/Prakasam","Andhra Pradesh/S.P.S. Nellore","Andhra Pradesh/Srikakulam","Andhra Pradesh/Visakhapatnam","Andhra Pradesh/Vizianagaram","Andhra Pradesh/West Godavari","Andhra Pradesh/Y.S.R. Kadapa"
"2020-03-12","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","1","","","","","",""
"2020-03-21","","","1","","","1","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","1","","",""
"2020-03-23","","","","","","","","","","","","2","","",""
"2020-03-24","","1","","","","","","","","","","","","",""
"2020-03-25","","","","","1","2","","","","","","","","",""
"2020-03-26","","","","","","3","","","","","","","","",""
"2020-03-27","","","","","2","","","","","","","3","","",""
"2020-03-28","","","","","4","4","1","","3","","","","","",""
"2020-03-29","","","","","","","","","","","","5","","",""
"2020-03-30","","","3","","","","","","","","","","","",""
"2020-03-31","2","","4","","9","5","","","11","","","9","","",""
"2020-04-01","","6","9","","20","15","","","15","2","","10","","14","15"
"2020-04-02","","9","","","","23","","","17","23","","","","15","18"
"2020-04-03","","","11","","","","","","","31","","14","","","19"
"2020-04-04","3","10","","","30","28","4","","21","","","","","","23"
"2020-04-05","6","17","","","","","53","","23","33","","","","16",""
"2020-04-06","","","","","32","29","73","","24","41","","19","","21","28"
"2020-04-07","","18","","","41","","74","","","","","","","",""
"2020-04-08","13","20","","","49","35","","","28","47","","","","22",""
"2020-04-09","","","12","","51","","","","39","","","","","","29"
"2020-04-10","15","","17","","58","","76","","41","","","","","",""
"2020-04-11","","","","","75","","81","","42","","","","","","30"
"2020-04-12","","21","","","82","","83","","","51","","","","","31"
"2020-04-13","","23","","","93","36","","","","55","","","","23",""
"2020-04-14","20","","","","114","44","90","","","55","","","","24","33"
"2020-04-15","21","","","","122","45","109","","","57","","","","31","36"
"2020-04-16","","","","","","48","112","","","","","","","34",""
"2020-04-17","26","28","","","125","52","126","","","63","","","","","37"
"2020-04-18","","","19","","","69","132","","44","66","","","","35",""
"2020-04-19","29","","24","","128","75","158","","","","","20","","",""
"2020-04-20","33","53","26","","148","80","174","","","","","","","","40"
"2020-04-21","36","","","","157","83","184","","","","","","","39","46"
"2020-04-22","","59","","","176","86","203","","48","","","","","","51"
"2020-04-23","42","73","32","","194","88","234","","50","","","21","","",""
"2020-04-24","46","","34","","205","102","261","","53","67","","","","",""
"2020-04-25","51","","37","","208","127","275","","","71","3","","","","55"
"2020-04-26","53","","39","","214","177","279","","56","","","","","51","58"
"2020-04-27","","73","","","237","210","292","","","78","4","","","54",""
"2020-04-28","54","74","","","254","223","332","","","81","","","","","65"
"2020-04-29","58","77","40","","283","236","343","","60","81","5","22","","56","69"
"2020-04-30","61","80","42","","287","246","386","","","83","","22","","","73"
"2020-05-01","67","80","42","","306","246","411","","","83","","24","","58","79"
"2020-05-02","71","80","45","","308","258","436","","61","89","","28","","59","83"
"2020-05-03","78","81","45","","319","266","466","","","90","","","","",""
"2020-05-04","","82","45","","338","278","491","","61","90","","34","","59","87"
"2020-05-05","80","82","","","351","286","516","14","","91","","36","","59","89"
"2020-05-06","80","82","46","","363","300","533","27","61","","","38","","59","90"
"2020-05-07","83","","","","373","316","540","","","95","","45","3","","96"
"2020-05-08","99","85","","","374","322","547","","61","95","","56","4","68","96"
"2020-05-09","102","96","46","","376","338","553","","","95","","61","","",""
"2020-05-10","107","112","46","","382","339","566","","63","100","","62","","","97"
"2020-05-11","115","121","","","387","342","575","","63","101","","65","","","97"
"2020-05-12","115","131","47","","","346","584","65","","110","5","","","68","97"
"2020-05-13","118","142","51","","399","349","591","73","63","110","5","","","68","97"
"2020-05-14","118","151","","","404","351","591","105","","125","7","","","69","99"
"2020-05-15","122","165","52","","404","360","599","150","","139","","67","7","69","101"
"2020-05-16","122","173","52","","413","367","608","","63","148","","71","","70","102"
"2020-05-17","122","177","52","","417","367","611","150","66","149","14","74","","70","102"
"2020-05-18","122","192","57","","417","382","615","150","","156","","75","8","72","104"
"2020-05-19","","192","","","","","615","","","","","","","",""
"2020-05-20","136","208","59","","426","396","638","153","67","181","16","80","16","75","107"
"2020-05-21","","","","","","","","","","181","","","","",""
"2020-05-23","","","","","","396","","153","","","","","","",""
"2020-05-25","","","","62","","","","153","","","","","","",""
"2020-05-26","","","","111","","","","153","","","","","","",""
"2020-05-27","206","234","147","","452","445","673","219","72","230","21","92","22","83","108"
"2020-05-28","209","238","154","","465","445","688","293","75","232","21","98","","83","109"
"2020-05-29","209","246","156","","465","454","695","345","","237","","98","","83","111"
"2020-05-30","209","253","190","","478","456","704","406","","238","23","98","","","113"
"2020-05-31","216","257","206","","489","470","723","418","79","238","","100","24","99","116"
"2020-06-01","220","262","224","112","496","477","724","446","80","254","","104","26","107","119"
"2020-06-02","223","264","243","","519","481","728","479","","260","28","104","26","123","119"
"2020-06-03","231","272","250","119","527","486","740","573","81","","29","106","26","135","134"
"2020-06-04","238","281","252","119","535","497","745","616","84","282","","109","30","145","148"
"2020-06-05","255","285","253","123","540","505","745","700","85","287","","110","32","149","150"
"2020-06-06","274","298","272","131","556","526","762","741","","303","31","110","37","182","150"
"2020-06-07","288","299","275","131","558","551","772","810","","334","32","127","43","188","164"
"2020-06-08","306","303","281","132","566","570","776","838","86","351","33","142","45","209","173"
"2020-06-09","306","","","132","","570","","907","","","","","","",""
"2020-06-10","351","327","292","188","580","607","833","933","95","353","34","166","48","249","189"
"2020-06-11","366","331","301","197","584","632","849","971","97","361","34","181","54","256","213"
"2020-06-12","403","345","309","199","599","640","872","1035","99","373","","191","60","259","216"
"2020-06-13","418","350","320","202","612","665","925","1068","","382","39","200","62","272","242"
"2020-06-14","463","353","352","204","623","701","976","1107","101","395","55","215","72","286","247"
"2020-06-15","485","359","387","210","642","757","1036","1159","103","411","","219","73","301","257"
"2020-06-16","513","363","399","237","671","791","1092","1203","103","422","","222","74","311","262"
"2020-06-17","580","388","404","263","694","821","1151","1253","117","424","55","228","","348","269"
"2020-06-18","642","406","422","289","708","849","1201","1353","128","450","59","232","77","386","292"
"2020-06-19","692","464","444","308","725","931","1232","1423","159","452","59","245","","433","315"
"2020-06-20","789","515","485","326","742","982","1247","1506","175","458","","260","78","498","330"
"2020-06-21","800","562","555","330","768","1048","1294","1540","180","470","","299","84","550","388"
"2020-06-22","870","591","619","337","802","1063","1354","1584","187","476","","304","90","604","430"
"2020-06-23","938","617","706","352","852","1096","1407","1624","192","483","60","325","91","635","454"
"2020-06-24","1028","657","760","364","891","1132","1483","1661","200","492","60","366","94","663","478"
"2020-06-25","1080","699","824","371","958","1179","1555","1730","218","521","61","406","99","681","500"
"2020-06-26","1159","725","836","372","1032","1199","1615","1764","246","536","62","426","122","760","633"
"2020-06-27","1320","809","945","377","1103","1252","1684","1815","272","560","62","460","137","804","683"
"2020-06-28","1371","891","1002","385","1193","1331","1787","1865","313","578","62","504","145","875","794"
