"date","California/Alameda","California/Alpine","California/Amador","California/Butte","California/Calaveras","California/Colusa","California/Contra Costa","California/Del Norte","California/El Dorado","California/Fresno","California/Glenn","California/Humboldt","California/Imperial","California/Inyo","California/Kern","California/Kings","California/Lake","California/Lassen","California/Los Angeles","California/Madera","California/Marin","California/Mariposa","California/Mendocino","California/Merced","California/Modoc","California/Mono","California/Monterey","California/Napa","California/Nevada","California/Orange","California/Placer","California/Plumas","California/Riverside","California/Sacramento","California/San Benito","California/San Bernardino","California/San Diego","California/San Francisco","California/San Joaquin","California/San Luis Obispo","California/San Mateo","California/Santa Barbara","California/Santa Clara","California/Santa Cruz","California/Shasta","California/Sierra","California/Siskiyou","California/Solano","California/Sonoma","California/Stanislaus","California/Sutter","California/Tehama","California/Trinity","California/Tulare","California/Tuolumne","California/Unassigned","California/Ventura","California/Yolo","California/Yuba"
"2020-03-22","71","0","1","1","2","0","61","0","0","6","0","2","6","0","5","0","0","0","407","3","38","0","1","0","0","1","11","1","1","95","12","0","29","53","5","17","155","108","31","27","117","13","263","15","1","0","2","13","22","5","0","0","0","12","0","","25","6","2"
"2020-03-23","118","0","1","2","2","0","71","0","2","6","0","2","6","0","12","0","0","0","536","3","38","0","1","1","0","1","14","2","2","125","12","0","46","88","6","17","201","131","41","27","142","18","302","22","2","0","2","14","29","8","0","0","0","16","0","","30","6","3"
"2020-03-24","135","0","2","2","2","0","86","0","2","13","0","4","6","0","13","0","0","0","662","6","47","0","2","1","0","1","20","2","3","152","20","0","57","88","6","31","226","152","51","42","161","18","375","22","2","0","2","21","29","11","0","0","0","17","0","","35","8","3"
"2020-03-25","135","0","2","4","2","0","108","0","3","18","0","5","9","1","15","0","0","0","812","6","53","0","2","2","0","4","24","2","4","187","30","0","68","113","7","38","238","178","68","46","165","24","459","24","3","0","3","24","34","12","0","0","0","17","0","","39","10","0"
"2020-03-26","178","0","2","5","3","0","131","0","3","19","0","10","9","2","29","0","0","0","1229","7","60","0","2","2","0","4","24","6","7","256","30","0","105","113","9","54","293","223","71","54","195","26","542","25","3","0","3","31","37","13","2","0","0","18","0","","50","11","3"
"2020-03-27","220","0","2","5","3","0","147","0","9","27","0","12","17","3","33","0","0","0","1465","10","65","0","2","4","0","6","24","6","8","321","30","0","149","164","13","54","341","279","90","59","239","32","574","32","3","0","3","34","44","17","2","0","0","20","0","12","61","13","3"
"2020-03-28","220","0","2","5","3","1","168","0","12","31","0","14","21","5","47","2","0","0","1465","11","68","0","2","7","0","8","32","9","12","403","41","0","183","164","14","76","413","308","93","67","274","47","591","34","3","0","3","34","50","23","3","0","0","24","0","","83","16","3"
"2020-03-29","270","0","2","5","3","1","168","0","12","43","1","18","25","8","51","2","0","0","1829","15","74","0","3","8","0","11","36","10","12","431","53","0","195","164","14","76","484","340","113","67","277","64","646","41","4","0","3","34","58","29","6","0","0","29","0","0","98","16","3"
"2020-03-30","283","0","2","5","3","1","187","0","12","43","1","18","25","8","60","2","0","0","2474","18","93","0","4","9","0","13","36","14","17","464","53","0","291","224","14","111","515","374","123","71","309","68","848","44","4","0","4","34","58","31","6","0","0","35","0","0","109","16","4"
"2020-03-31","313","","2","8","3","1","212","","15","53","2","21","33","8","83","3","","","3019","21","99","","4","10","","13","40","14","21","502","57","","371","224","17","125","603","397","136","80","309","88","890","45","6","","3","43","73","33","9","","","43","2","0","126","24","6"
