"date","Arizona","California","Connecticut","Florida","Georgia","Illinois","Indiana","Louisiana","Maryland","Massachusetts","Michigan","New Jersey","New York","Ohio","Pennsylvania","Texas"
"2020-01-25","","","","","","","","","","","","","","","",""
"2020-01-26","","","","","","","","","","","","","","","",""
"2020-01-27","","","","","","","","","","","","","","","",""
"2020-01-28","","","","","","","","","","","","","","","",""
"2020-01-29","","","","","","","","","","","","","","","",""
"2020-01-30","   .00 %","","","","","","","","","","","","","","",""
"2020-01-31","   .00 %","","","","","","","","","","","","","","",""
"2020-03-10","   .00 %","","","","","","","","","","","","","","",""
"2020-03-11","   .00 %","","","","","","","","","","","","","","",""
"2020-03-12","   .00 %","","","","","","","","","","","","","","",""
"2020-03-13","   .00 %","","","","","","","","","","","","","","",""
"2020-03-14","   .00 %","-59.97 %","   .00 %","-79.95 %","-79.98 %","-60.00 %","-80.00 %","-79.99 %","   .00 %","   .00 %","-80.00 %","   .00 %","-80.00 %","-80.00 %","-80.00 %","-80.00 %"
"2020-03-15","   .00 %","-59.97 %","   .00 %","-79.96 %","-79.98 %","-60.00 %","-80.00 %","-79.99 %","   .00 %","   .00 %","-80.00 %"," 20.00 %","-80.00 %","-80.00 %","-80.00 %","-80.00 %"
"2020-03-16","   .00 %","-59.95 %","   .00 %","-79.93 %","-79.97 %","-60.00 %","-79.99 %","-79.97 %","   .00 %","   .00 %","-80.00 %"," 20.00 %","-79.99 %","-80.00 %","-80.00 %","-80.00 %"
"2020-03-17","   .00 %","-78.56 %","   .00 %","-98.52 %","-99.79 %","-79.80 %","-99.18 %","-99.63 %","   .00 %","   .00 %","-##.## %"," 30.00 %","-99.82 %","-##.## %","-##.## %","-99.63 %"
"2020-03-18","   .00 %","-78.54 %","   .00 %","-98.50 %","-99.78 %","-79.80 %","-99.16 %","-99.61 %","   .00 %","   .00 %","-##.## %"," 30.00 %","-99.81 %","-##.## %","-##.## %","-99.61 %"
"2020-03-19","   .00 %","-98.45 %","   .00 %","-98.44 %","-99.68 %","-99.78 %","-99.14 %","-99.54 %","   .00 %","   .00 %","-99.99 %"," 70.00 %","-99.79 %","-##.## %","-##.## %","-99.55 %"
"2020-03-20","   .00 %","-98.38 %"," 10.00 %","-98.39 %","-99.59 %","-99.76 %","-99.13 %","-99.46 %","   .00 %","   .00 %","-99.98 %"," 54.44 %","-99.77 %","-99.99 %","-99.99 %","-99.51 %"
"2020-03-21","   .00 %","-29.84 %"," 16.67 %","-46.42 %"," ##.## %","-79.76 %","-19.13 %","  7.19 %"," 20.00 %","   .00 %","-79.98 %"," 63.54 %"," 20.23 %","-79.99 %","-79.99 %","-79.51 %"
"2020-03-22"," 20.00 %"," -6.22 %"," 36.67 %","-27.83 %"," ##.## %","-49.97 %"," 10.05 %"," 31.85 %"," 30.00 %"," 80.00 %","-43.98 %"," 58.54 %"," 59.06 %","-59.99 %","-39.99 %","-51.88 %"
"2020-03-23"," 20.00 %"," -6.19 %"," 41.67 %","-27.83 %"," ##.## %","-49.94 %"," 10.08 %"," 31.98 %"," 30.00 %"," 96.00 %","-43.93 %"," 65.54 %"," 59.15 %","-59.96 %","-39.98 %","-51.88 %"
"2020-03-24"," 50.00 %"," -6.04 %"," 45.67 %","-27.76 %"," ##.## %","-49.90 %"," 10.17 %"," 32.24 %"," 36.67 %"," ##.## %","-43.86 %"," 38.13 %"," 59.26 %","-59.88 %","-39.95 %","-51.79 %"
"2020-03-25"," 54.00 %"," -5.91 %"," 47.33 %","-27.69 %"," ##.## %","-49.85 %"," 10.26 %"," 32.55 %"," 36.67 %"," ##.## %","-43.73 %"," 41.87 %"," 59.42 %","-59.82 %","-39.91 %","-51.72 %"
"2020-03-26"," 60.67 %","-49.56 %"," 42.77 %","-54.47 %","-39.58 %","-42.49 %","-45.45 %","-48.58 %"," 16.67 %"," ##.## %","-35.36 %"," 38.90 %","-33.57 %","-52.55 %","-35.91 %","-43.72 %"
"2020-03-27"," 53.17 %","-74.29 %"," 28.49 %","-74.30 %","-74.86 %","-72.39 %","-75.27 %","-72.87 %"," 11.67 %"," 49.05 %","-71.06 %"," 40.57 %","-72.24 %","-72.42 %","-75.85 %","-71.55 %"
"2020-03-28"," 56.24 %","-74.18 %"," 27.93 %","-74.23 %","-74.71 %","-52.42 %","-75.12 %","-72.46 %"," 11.67 %"," 38.19 %","-70.78 %"," 39.50 %","-71.89 %","-72.33 %","-75.77 %","-71.51 %"
