"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-04-13","","","","","","","","","","",""
"2020-04-15","","","6","","","","","","","",""
"2020-04-16","","","2","","","","","","","",""
"2020-04-18","","","2","","","","","","","",""
"2020-04-21","","","1","","","","","","","",""
"2020-05-01","","","0","","","","","","","",""
"2020-05-09","","","1","","","","","","","",""
"2020-05-13","","","0","","","","","","","",""
"2020-05-18","","","0","","","","","","","",""
"2020-05-20","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","",""
"2020-05-26","","","5","","","","","","","",""
"2020-05-28","","","","","","","","","1","",""
"2020-05-29","","","1","","","","","","1","",""
"2020-06-01","","","","","","","1","","","",""
"2020-06-02","","","","","","","","","2","",""
"2020-06-03","","","2","","","","","","","",""
"2020-06-07","","","3","","","","","","","",""
"2020-06-08","","","","","","","","","","3",""
"2020-06-09","","","","","","","1","","","1",""
"2020-06-10","","","1","","","","","","","",""
"2020-06-12","","","0","0","","","","","0","",""
"2020-06-13","","","","","","","","","0","",""
"2020-06-14","","","","","","","0","","","",""
"2020-06-16","","","","","","","","","0","",""
"2020-06-17","","","0","","-1","","0","","","",""
"2020-06-18","","","","","","","","","","0",""
"2020-06-22","","","","","","","2","","","",""
"2020-06-23","","","","","","","","","","0",""
"2020-06-26","","","1","","1","","","","","",""
"2020-06-28","","","2","","","","","","","",""
"2020-06-29","","","1","","","","","","","",""
"2020-06-30","","","","","","","","","1","",""
"2020-07-01","","","2","","","","","","","",""
"2020-07-02","","","","","3","","","","","",""
"2020-07-03","","","2","","1","","","","1","",""
"2020-07-04","","","3","","5","","","","","",""
"2020-07-05","","","1","","1","","","","","",""
"2020-07-06","","","12","","3","","","","1","",""
"2020-07-07","","","6","","","","","","","",""
"2020-07-08","","","4","","2","","0","","","",""
"2020-07-09","","","13","","","","","","","",""
"2020-07-10","","","64","","","","","","","",""
"2020-07-16","","1","171","1","8","","0","","4","","0"
"2020-07-17","","","19","","7","","","","","",""
"2020-07-18","","","7","","4","","","","3","",""
"2020-07-19","","","31","","1","","1","","","",""
"2020-07-20","","","16","","","","","","3","",""
"2020-07-21","","","13","","7","","","","0","1",""
"2020-07-22","","2","19","","","","","","","4",""
"2020-07-23","","","13","","","","3","","3","",""
"2020-07-24","","2","48","","0","","","","","3",""
"2020-07-25","","4","54","","","","","","","1",""
"2020-07-26","","5","37","1","9","","","","","1","3"
"2020-07-27","","2","12","-1","36","1","-3","","4","","-1"
"2020-07-28","","","36","","","0","","","1","3","1"
"2020-07-29","0","","2","0","1","","","","2","",""
"2020-07-30","","","15","","","1","","","2","1",""
"2020-07-31","","","19","","0","1","","","","",""
"2020-08-01","","1","26","","3","","","","1","1","1"
"2020-08-02","","1","13","","4","","","","","",""
"2020-08-03","","","21","","5","","","","","2",""
"2020-08-04","","","9","","1","","0","","-2","","7"
"2020-08-05","","","19","","0","","2","","1","",""
"2020-08-06","","","17","","19","","","","14","1",""
"2020-08-07","","1","11","","2","","","","1","0","1"
"2020-08-08","","","12","2","0","","","","3","0",""
"2020-08-09","","0","19","","20","","","","","",""
"2020-08-10","","","12","","2","","","","39","",""
"2020-08-11","","","8","2","8","","","","7","1","0"
"2020-08-12","","1","23","1","1","1","","","10","","0"
"2020-08-13","","","13","1","0","","","","","",""
"2020-08-14","","0","14","","","","1","","20","",""
"2020-08-15","","","19","2","9","0","","","34","0",""
"2020-08-16","","","20","","14","","","","48","0",""
"2020-08-17","","1","40","","","","","","3","0",""
"2020-08-18","","1","27","","3","","1","","7","",""
"2020-08-19","","2","49","2","0","","","","25","",""
"2020-08-20","1","","106","","6","","","","12","1",""
"2020-08-21","2","","33","","1","","","","3","1","17"
"2020-08-22","","4","66","2","2","","","","9","0","10"
"2020-08-23","","3","64","1","3","10","","","9","","16"
"2020-08-24","","0","55","","4","","","","","0","0"
"2020-08-25","","","31","1","3","","","0","6","1",""
