"date","Haryana/Ambala","Haryana/Bhiwani","Haryana/Charkhi Dadri","Haryana/Faridabad","Haryana/Fatehabad","Haryana/Foreign Evacuees","Haryana/Gurugram","Haryana/Hisar","Haryana/Italians","Haryana/Jhajjar","Haryana/Jind","Haryana/Kaithal","Haryana/Karnal","Haryana/Kurukshetra","Haryana/Mahendragarh","Haryana/Nuh","Haryana/Palwal","Haryana/Panchkula","Haryana/Panipat","Haryana/Rewari","Haryana/Rohtak","Haryana/Sirsa","Haryana/Sonipat","Haryana/Yamunanagar"
"2020-03-17","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-08","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-19","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-22","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-05-02","1","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","1","","","2","","","","","","","","","","","","","","","","","","","",""
"2020-05-05","","","","2","","","","","","","","","","","","","","","","","","","",""
"2020-05-06","1","","","2","","","","","","","","","","","","","","","1","","","","",""
"2020-05-07","","","","2","","","","","","","","","","","","","","","1","","","","",""
"2020-05-08","","","","2","","","","","","","","","","","","","","","2","","","","",""
"2020-05-09","","","","2","","","","","","","","","","","","","","","3","","","","",""
"2020-05-10","","","","3","","","","","","","","","","","","","","","3","","","","",""
"2020-05-11","1","","","4","","","","","","","","","","","","","","","","","","","",""
"2020-05-12","1","","","4","","","","","","","","","","","","","","","","","","","",""
"2020-05-13","","","","4","","","","","","","","","","","","","","","3","","","","",""
"2020-05-14","","","","4","","","","","","","","","","","","","","","3","","","","",""
"2020-05-15","1","","","5","","","","","","","","","","","","","","","","","","","1",""
"2020-05-16","1","","","5","","","","","","","","","","","","","","","3","","","","1",""
"2020-05-17","","","","6","","","","","","","","","","","","","","","3","","","","",""
"2020-05-18","","","","6","","","","","","","","","","","","","","","","","","","1",""
"2020-05-19","","","","6","","","","","","","","","","","","","","","3","","","","1",""
"2020-05-20","","","","6","","","","","","","","","","","","","","","","","","","1",""
"2020-05-21","","","","6","","","","","","","","","","","","","","","3","","","","1",""
"2020-05-22","","","","6","","","2","","","","","","","","","","","","3","","","","1",""
"2020-05-23","","","","6","","","2","","","","","","","","","","","","3","","","","1",""
"2020-05-24","","","","6","","","2","","","","","","","","","","","","3","","","","1",""
"2020-05-25","","","","6","","","2","","","","","","","","","","","","3","","","","1",""
"2020-05-26","1","","","6","","","2","","","","","","","","","","","","3","","","","",""
"2020-05-27","","","","7","","","2","","","","1","","","","","","","","","","","","1",""
"2020-05-28","","","","7","","","3","","","","","","","","","","","","3","","","","1",""
"2020-05-29","","","","7","","","3","","","","","","","","","","","","","","","","1",""
"2020-05-30","1","","","8","","","3","","","","1","","","","","","","","3","","","","1",""
"2020-05-31","1","","","8","","","3","","","","","","","","","","","","3","","","","1",""
"2020-06-01","","","","8","","","4","","","","1","","","","","","","","3","","","","1",""
"2020-06-02","1","","","10","","","4","","","","1","","","","","","","","3","","","","1",""
"2020-06-03","1","","","10","","","4","","","","","","","","","","","","3","","","","1",""
"2020-06-04","1","","","10","","","4","","","","2","","","","","","","","3","","","","",""
"2020-06-05","1","","","10","","","4","","","","2","","","","","","","","3","","","","",""
"2020-06-06","1","","","10","","","4","","","","2","","","","","","","","3","","","","1",""
"2020-06-07","1","","","13","","","4","","","","2","","","","","","","","4","","","","1",""
"2020-06-08","1","","","13","","","9","","","","3","","1","","","","","","4","1","1","","3",""
"2020-06-09","1","","","15","","","11","1","","","3","","1","","","","","","4","0","2","","4",""
"2020-06-10","1","","","18","","","13","1","","","3","","","","","","","","","0","2","","6",""
"2020-06-11","2","","","22","","","19","1","","","3","","1","","","","","","4","0","3","","6",""
"2020-06-12","2","","1","26","","","19","1","","","3","","","","","","1","","4","","","","6",""
"2020-06-13","2","","1","28","","","25","1","","","","","1","","","","1","","4","0","3","","6",""
"2020-06-14","2","","","28","","","31","1","","1","3","","","","","","1","","5","","5","","",""
"2020-06-15","2","","","33","","","37","1","","2","3","","1","","","","","","5","0","5","","6",""
"2020-06-16","2","2","1","38","","","46","1","","2","4","","1","","","","1","","5","0","5","","7",""
"2020-06-17","2","2","","43","","","51","1","","2","3","","2","","","","1","","5","0","","","9",""
"2020-06-18","2","2","","46","","","52","1","","2","","","2","","","","1","","5","0","5","","9",""
"2020-06-19","2","3","1","51","","","55","1","","2","3","","2","","","","1","","5","0","5","","10",""
"2020-06-20","2","3","","52","","","59","1","","2","3","","2","","","","1","","5","","5","","10",""
