"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-03-20","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","","",""
"2020-05-04","","","","","","","","","","","",""
"2020-05-05","","","","","","","","1","","","",""
"2020-05-06","","","","","","","","","","","",""
"2020-05-07","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","",""
"2020-05-10","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","",""
"2020-05-12","","","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","",""
"2020-05-15","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","",""
"2020-05-17","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","",""
"2020-05-19","","","1","","","","","","","","",""
"2020-05-20","","","","","","","","","","","",""
"2020-05-21","","","","","","","","","","","",""
"2020-05-22","","","","","","","","","","","",""
"2020-05-23","","","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","",""
"2020-05-27","","","","","","","","1","1","","",""
"2020-05-28","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","",""
"2020-05-31","","","","","","","","","","","",""
"2020-06-01","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","",""
"2020-06-03","","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","","",""
"2020-06-05","","","","","","","","","","","",""
"2020-06-06","","","","","","","","","","","",""
"2020-06-07","","","","","","","","","","","",""
"2020-06-08","","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","","",""
"2020-06-10","","","","","","","","","1","","",""
"2020-06-11","","","","","","","","","","","",""
"2020-06-12","","","","","","","","","","","",""
"2020-06-13","","","","","","","","","","","",""
"2020-06-14","","","","1","","","","","","","-1",""
"2020-06-15","","","","","","","","","","","",""
"2020-06-16","","","","","","","","","","","",""
"2020-06-17","","","","","","","","","","","",""
"2020-06-18","","","","","","","","","","","",""
"2020-06-19","","","","","","","","","","","",""
"2020-06-20","","","","","","","","","","","",""
"2020-06-21","","","","","","","","","","","",""
"2020-06-22","","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","","",""
"2020-06-24","","","","","","","","","","","",""
"2020-06-25","","","","1","","","","","","","",""
"2020-06-26","","","","","","","","","","","",""
"2020-06-27","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","",""
"2020-06-30","","","1","","","","","","","","",""
"2020-07-01","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","",""
"2020-07-04","","","1","","","","","","","","",""
"2020-07-05","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","","",""
