"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-05-25","   .00 %","","   .00 %","","","","","","","","",""
"2020-05-26","",""," ##.## %","","","","","","","","",""
"2020-05-27"," ##.## %",""," 50.00 %","","","","","","","","",""
"2020-05-28"," ##.## %",""," 66.67 %","","","","","","","   .00 %","",""
"2020-05-29"," 16.67 %",""," 80.00 %","","","","","",""," ##.## %","",""
"2020-05-30"," 57.14 %",""," 33.33 %","","","","","","","","",""
"2020-05-31"," 13.64 %",""," 33.33 %","","","","","","","","",""
"2020-06-02"," 24.00 %","","","","","","","","","","",""
"2020-06-04"," 83.87 %","","  6.25 %","","","","","   .00 %",""," ##.## %","",""
"2020-06-06","-84.21 %","   .00 %","-70.59 %","","","   .00 %",""," ##.## %","   .00 %"," 40.00 %","   .00 %",""
"2020-06-07"," ##.## %","","-40.00 %","","","","","","","","",""
"2020-06-08","-40.00 %",""," ##.## %","","","",""," 16.98 %",""," 14.29 %","","   .00 %"
"2020-06-09"," 33.33 %",""," 16.67 %","","","","","","","","",""
"2020-06-10","   .00 %",""," 14.29 %","","","","","","","","",""
"2020-06-11","   .00 %",""," 25.00 %","","","","","","","","",""
"2020-06-12"," ##.## %",""," 20.00 %","","","","","  1.61 %","","","",""
"2020-06-13","   .00 %","","","","","","","","","","",""
"2020-06-14","-41.03 %","","-41.67 %","",""," 43.48 %","   .00 %"," 26.98 %",""," 25.00 %","-##.## %",""
"2020-06-15"," 21.74 %","","","","","","","  5.00 %","","","   .00 %",""
"2020-06-16","",""," 14.29 %","","","","","","",""," 14.29 %",""
"2020-06-17","  3.57 %","","","",""," 36.36 %","","",""," 10.00 %","",""
"2020-06-18","   .00 %","","","","","","","   .00 %","","","",""
"2020-06-19","  3.45 %",""," 12.50 %","","","  4.44 %"," 50.00 %","","","","",""
"2020-06-20","",""," 22.22 %","","","  2.13 %","","","","","",""
"2020-06-21","",""," 54.55 %","","","","",""," ##.## %"," 18.18 %"," 12.50 %",""
"2020-06-22"," 10.00 %","","","","","",""," 77.38 %","","",""," ##.## %"
"2020-06-23"," 72.73 %",""," 52.94 %","   .00 %","",""," ##.## %","  8.05 %","","",""," 50.00 %"
"2020-06-24","   .00 %","","   .00 %","","",""," ##.## %","",""," 15.38 %"," 11.11 %"," 66.67 %"
"2020-06-25","  5.26 %",""," 11.54 %","","",""," 22.22 %","   .00 %","","-13.33 %","",""
"2020-06-26","","","","","","","","   .00 %","","","",""
