"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Other State ","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","","","","","","","","",""," 26.19 %","","","","","","","","","","",""
"2020-03-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-15","","","","","","","","","","","","","","","","","","","","","","","","","",""," 38.69 %","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","","","","","","","","","",""," 40.23 %","","","","","","","","","","",""
"2020-03-17","","","","","","","","","","","","","","","",""," 25.67 %","","","","","","","","",""," 21.66 %","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","",""," 29.00 %","","","","","","","","",""," 20.99 %","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","",""," 21.86 %","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","",""," 20.19 %","","","","","","","","",""," 20.49 %","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","",""," 29.19 %","","","","","","","","",""," 10.09 %","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","",""," 31.07 %","","","","","","","","",""," 12.36 %","","","","","",""," 23.52 %","","","",""
"2020-03-23","","","","","","","","","","","","","","","",""," 37.74 %","","","","","","","","",""," 11.73 %","","","","","",""," 28.52 %","","","",""
"2020-03-24","","","","","","","","","","","","","","","",""," 38.52 %","","","","","","","","",""," 10.61 %","","","","","",""," 19.19 %","","","",""
"2020-03-25","","","","","","","","","","","","","","","",""," 37.11 %","","","","","","","","","","","","","","","",""," 18.52 %","","","",""
"2020-03-26","","","","","","","","","","","","","","","",""," 23.54 %","","","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","",""," 18.94 %"," 67.67 %","","","","","","","","","  8.97 %","","","","","",""," 18.05 %","","","",""
