"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2020-05-23","","","1",""
"2020-06-03","1","","",""
"2020-06-05","2","","",""
"2020-06-06","3","","","3"
"2020-06-09","3","","3","4"
"2020-06-12","17","","",""
"2020-06-13","27","","23","13"
"2020-06-14","20","","27","20"
"2020-06-17","21","","","21"
"2020-06-18","21","","",""
"2020-06-19","21","","27","21"
"2020-06-21","25","","31",""
"2020-06-22","","","31",""
"2020-06-24","25","","35","21"
"2020-06-25","26","","36",""
"2020-06-26","27","1","38",""
"2020-06-27","27","","","21"
"2020-06-28","28","","",""
"2020-06-30","","","","21"
"2020-07-01","29","1","",""
"2020-07-02","41","","","21"
"2020-07-04","43","","",""
"2020-07-05","65","","",""
"2020-07-06","65","","",""
"2020-07-07","67","","",""
"2020-07-08","73","","",""
"2020-07-09","74","","",""
"2020-07-10","61","","",""
"2020-07-11","87","","",""
"2020-07-12","91","","",""
"2020-07-13","92","","39",""
"2020-07-14","131","","44","22"
"2020-07-15","142","","",""
"2020-07-16","155","","",""
"2020-07-17","180","","","29"
"2020-07-18","199","","",""
"2020-07-19","209","","",""
"2020-07-20","231","","",""
"2020-07-21","255","","45",""
"2020-07-22","316","","91","30"
"2020-07-23","335","","91","33"
"2020-07-24","346","","91","39"
"2020-07-25","","","113",""
"2020-07-26","346","","159",""
"2020-07-28","354","","175",""
"2020-07-29","397","","159",""
"2020-07-30","425","","143","41"
"2020-07-31","453","","","42"
"2020-08-01","464","","",""
"2020-08-02","471","","144",""
"2020-08-03","487","","158",""
"2020-08-04","596","","144",""
"2020-08-05","613","","",""
"2020-08-07","667","","",""
"2020-08-10","723","","",""
"2020-08-11","726","","",""
"2020-08-12","743","","",""
"2020-08-13","744","","",""
"2020-08-14","893","","",""
"2020-08-15","961","","",""
"2020-08-16","980","","",""
"2020-08-17","1000","","",""
"2020-08-18","1020","","",""
"2020-08-19","1045","","",""
"2020-08-20","1103","","",""
"2020-08-21","1149","","",""
"2020-08-22","1194","","",""
"2020-08-24","1259","","",""
"2020-08-25","1288","","",""
"2020-08-26","1299","","",""
"2020-08-27","1355","","",""
"2020-08-28","1389","","",""
"2020-08-29","1415","","",""
"2020-08-30","1139","","443","44"
"2020-08-31","1162","","","46"
"2020-09-01","1178","","445",""
"2020-09-02","1208","","448","47"
"2020-09-05","1349","","475","76"
"2020-09-08","1395","","","87"
"2020-09-09","1426","","",""
"2020-09-10","1446","","",""
"2021-01-01","1447","","",""
"2021-01-03","1456","","",""
"2021-01-04","","","","88"
"2021-01-05","1465","","482","89"
"2021-01-06","1474","","483","92"
"2021-01-09","1478","","","93"
"2021-01-10","1485","","","95"
"2021-01-12","1491","","484",""
"2021-01-13","1499","","",""
"2021-01-14","1504","","485","96"
"2021-01-15","1517","","",""
"2021-01-16","1520","","","98"
"2021-01-17","1529","","",""
"2021-01-20","1534","","",""
"2021-01-21","1537","","487",""
"2021-01-22","","","","99"
"2021-01-23","1541","","","100"
"2021-01-24","1548","","",""
"2021-01-25","","","","102"
"2021-01-27","1549","","",""
"2021-01-28","1553","","","103"
"2021-01-29","1554","","",""
"2021-01-30","1557","","",""
"2021-01-31","1559","","",""
"2021-02-01","1560","","",""
"2021-02-02","1565","","",""
"2021-02-03","1567","","",""
"2021-02-04","1572","","",""
"2021-02-05","1573","","","104"
"2021-02-06","1575","","","105"
"2021-02-07","1577","","",""
"2021-02-10","1578","","",""
"2021-02-11","1580","","",""
"2021-02-12","1583","","",""
"2021-02-16","1586","","",""
"2021-02-18","1591","","",""
"2021-02-19","1592","","",""
"2021-02-20","1593","","",""
"2021-02-21","","","491",""
"2021-02-25","1594","","",""
"2021-02-26","1596","","",""
"2021-02-27","1598","","",""
"2021-02-28","1601","","496",""
"2021-03-02","1603","","",""
"2021-03-03","1605","","497",""
"2021-03-04","1609","","",""
"2021-03-05","1612","","",""
"2021-03-06","1613","","506",""
"2021-03-07","1620","","",""
"2021-03-09","1621","","",""
"2021-03-10","1624","","",""
"2021-03-11","1625","","",""
"2021-03-12","1629","","",""
"2021-03-13","1630","","",""
"2021-03-16","1637","","",""
"2021-03-17","1639","","507",""
"2021-03-18","1641","","",""
"2021-03-19","1642","","","107"
"2021-03-21","1643","2","",""
"2021-03-23","1645","","",""
"2021-03-24","1647","","",""
"2021-03-25","1648","3","",""
"2021-03-26","1651","","",""
"2021-03-27","1660","","508","108"
"2021-03-28","1661","","",""
"2021-03-30","1667","","",""
"2021-03-31","1668","","509",""
"2021-04-01","1673","4","",""
"2021-04-02","1677","","",""
"2021-04-03","1683","","",""
