"date","Jharkhand/Bokara","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-19","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-06","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-07","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-10","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-12","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-15","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-17","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-20","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-21","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-22","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-23","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","1","","","","","","1","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"2020-05-31","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-01","","","","","","","","","1","","","","","","1","","","","","","","","","","",""
"2020-06-02","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"2020-06-03","","","","","","","","","1","","","","","","1","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","","","","","","1","","","","","","1","","","","",""
"2020-06-05","","","","","","","","","","","","","","","1","","","","","","2","","","","",""
"2020-06-06","","","","","","","","","1","","","","","","1","","","","","","2","","","","",""
"2020-06-07","","","","","","","","","","","","","","","1","","","","","","2","","","","",""
"2020-06-08","","","","","","","","","1","","","","","","","","","","","","2","","","","",""
"2020-06-09","","1","","","","","","","","","","","","","1","","","","","","2","","","","",""
"2020-06-10","","1","","","","","","","1","","","","","","1","","","","","","","","","","",""
"2020-06-11","","1","","","","","","","1","","","","","","1","","","","","","2","","","","",""
"2020-06-12","","1","","","","","","","","","","","","","","","","","","","2","","","","",""
"2020-06-13","","","","","","","","","1","","","","","","1","","","","","","2","","","","",""
"2020-06-14","","1","","","","","","","1","","","","","","","","","","","","2","","","","",""
"2020-06-15","","","","","","","","","1","","1","","","","","","","","","","2","","","","",""
"2020-06-16","","1","","","","","","","","","1","","","","1","","","","","","2","","","","",""
"2020-06-17","","","","","","","","","","","1","","","","1","","","","","","3","","","","",""
"2020-06-18","","","","","","","","","1","","1","1","","","","","","","","","3","","","","",""
"2020-06-19","","1","","","","","","","1","","1","1","","","1","","","","","","3","","","","",""
