"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-03-24","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","","","","","","","","","","","","","","",""
"2020-05-20","","","","","","","","","","","","","","","","","","",""
"2020-05-22","","","","","","","","","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","","","","","","","","",""
"2020-05-31","","","","","","","","","","","","","","","","","","",""
"2020-06-01","","","","","","","","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","","","","","","","","",""
"2020-06-03","","","","","","","","","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","","","","","","","","","",""
"2020-06-05","","","","","","","","","","","","","","","","","","",""
"2020-06-06","","","","","","","","","","","","","","","","","","",""
"2020-06-07","","","","","","","","","","","","","","","","","","",""
"2020-06-08","","","","","","","","","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","","","","","","","","","",""
"2020-06-10","","","","","","","","","","","","","","","","","","",""
"2020-06-11","","","","","","","","","","","","","","","","","","",""
"2020-06-12","","","","","","","","","","","","","","","","","","",""
"2020-06-13","","","","","","","","","","","","","","","","","","",""
"2020-06-16","","","","","","","","","","","","","","","","","","",""
"2020-06-17","","","","","","","","","","","","","","","","","","",""
"2020-06-18","","","","","","","","","","","","","","","","","","",""
"2020-06-19","","","","","","","","","","","","","","","","","","",""
"2020-06-20","","","","","","","","","","","","","","","","","","",""
"2020-06-21","","","","","","","","","","","","","","","","","","",""
"2020-06-22","","","","","","","","","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","","","","","","","","","",""
"2020-06-24","","","","","","","","","","","","","","","","","","",""
"2020-06-25","","","","","","","","","","","","","","","","","","",""
"2020-06-26","","","","","","","","","","","","","","","","","","",""
"2020-06-27","","","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","","","","","","",""
"2020-06-30","","","","","","","","","","","","","","","","","","",""
"2020-07-01","","","","","","","","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","","","","","","",""
"2020-07-05","","","","","","","","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","","","","","","","","","",""
"2020-07-08","","","","","","","","","","","","","","","","","","",""
"2020-07-09","","","","","","","","","","","","","","","","","","",""
"2020-07-10","","","","","","","","","","","","","","","","","","",""
"2020-07-11","","","","","","","","","","","","","","","","","","",""
"2020-07-12","","","","","","","","","","","","","","","","","","",""
"2020-07-13","","","","","","","","","","","","","","","","","","",""
"2020-07-14","","","","","","","","","","","","","","","","","","",""
"2020-07-15","","","","","","","","","","","","","","","","","","",""
"2020-07-16","","","","","","","","","","","","","","","","","","",""
"2020-07-17","","","","","","","","","","","","","","","","","","",""
"2020-07-18","","","","","","","","","","","","","","","","","","",""
"2020-07-19","","","","","","","","","","","","","","","","","","",""
"2020-07-20","","","","","","","","","","","","","","","","","","",""
"2020-07-21","","","","","","","","","","","","","","","","","","",""
"2020-07-22","","","","","","","","","","","","","","","","","","",""
"2020-07-23","","","","","","","","","","","","","","","","","","",""
"2020-07-24","","","","","","","","","","","","","","","","","","",""
"2020-07-25","","","","","","","","","","","","","","","","","","",""
"2020-07-26","","","","","","","","","","","","","","","","","","",""
"2020-07-27","","","","","","","","","","","","","","","","","","",""
"2020-07-28","","","","","","","","","","","","","","","","","","",""
"2020-07-29","","","","","","","","","","","","","","","","","1","",""
