"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","",""
"2020-03-26","","","","","","","1","","","1","","","","","","","","","","","","","","3","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","",""
"2020-05-05","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","","","","","","","","","","","","","","6","","","1","","",""
"2020-05-09","","","","","","","","","","2","","","","","3","","","","","","","","","","","","2","","",""
"2020-05-10","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","","","","","5","","","","","","","","","","","","4","","",""
"2020-05-12","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","",""
"2020-05-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","9","","","","","","","","","","","","","","","","","6","","",""
"2020-05-17","","","","","","","","","","10","","","","","6","","","","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","",""
"2020-05-19","","","","","","","","","","","","","","","","","4","","","","","","","","1","","","","",""
"2020-05-20","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"2020-05-21","","","","","","","1","","","","","","","","","","","","","","","","","7","1","","","","",""
"2020-05-22","","","","","","","1","","","10","","","3","","6","","4","","","","","","","","1","","","","",""
"2020-05-23","2","","","","","","1","","","10","","","","","","","","","","","","","","","1","","","","",""
"2020-05-24","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
