"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Nagaland","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-05-25","","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","",""
"2020-05-29","",""," 59.33 %","","","","","","","","","",""
"2020-05-30"," 74.76 %",""," 66.00 %","","","","","","","","","",""
"2020-05-31"," 77.49 %",""," 52.67 %","","","","","","","","","",""
"2020-06-02"," 42.29 %","","","","","","","","","","","",""
"2020-06-04"," 39.06 %",""," 43.92 %","","","","","","","","","",""
"2020-06-06"," 18.89 %",""," 16.47 %","","","","","","","","","",""
"2020-06-07"," 31.90 %",""," -7.53 %","","","","","","","","","",""
"2020-06-08"," 21.18 %","","  5.80 %","","","","","","",""," 60.86 %","",""
"2020-06-09"," 23.04 %","","  2.47 %","","","","","","","","","",""
"2020-06-10","  6.27 %","","  4.07 %","","","","","","","","","",""
"2020-06-11"," 23.11 %",""," 23.19 %","","","","","","","","","",""
"2020-06-12"," 27.42 %",""," 35.19 %","","","","","","","","","",""
"2020-06-13"," 35.42 %","","","","","","","","","","","",""
"2020-06-14"," 20.54 %","","  6.86 %","","","","",""," ##.## %",""," 65.86 %","",""
"2020-06-15"," 24.89 %","","","","","","",""," ##.## %","","","",""
"2020-06-16","","","  6.38 %","","","","","","","","","",""
"2020-06-17"," 25.61 %","","","","","","","","",""," 47.86 %","",""
"2020-06-18"," -3.14 %","","","","","","",""," 10.12 %","","","",""
"2020-06-19"," -2.45 %","","  6.02 %","","","","","","","","","",""
"2020-06-20","","","  5.47 %","",""," 17.28 %","","","","","","",""
"2020-06-21","",""," 12.38 %","","","","","","",""," 21.49 %","-14.64 %",""
"2020-06-22","  7.75 %","","","","","","",""," 22.20 %","","","",""
"2020-06-23"," 17.95 %",""," 31.30 %","","","","",""," 23.48 %","","","",""
"2020-06-24"," 17.24 %",""," 28.44 %","","","","","","",""," 16.57 %","-12.42 %",""
"2020-06-25"," 18.29 %",""," 28.25 %","","","",""," 74.44 %"," 18.09 %",""," 11.05 %","",""
"2020-06-26","","","","","","","",""," 17.09 %","","","",""
"2020-06-27"," 18.93 %",""," 33.46 %","",""," 22.28 %","",""," 17.21 %","","","",""
"2020-06-28"," 23.18 %",""," 23.95 %","",""," 14.59 %","","","  1.98 %","","","",""
"2020-06-29","","","","","","",""," 90.81 %","   .49 %","","","",""
"2020-06-30","  8.87 %","","","","","",""," 83.81 %","",""," 32.20 %","",""
"2020-07-01","  9.11 %",""," 14.23 %","","","","","","  4.25 %","","","",""
"2020-07-02","  8.29 %",""," 14.64 %","","","","","","  7.52 %","","","",""
"2020-07-03","  6.96 %",""," 12.34 %","","","  8.27 %","","","  7.48 %","","","",""
"2020-07-04","","","  3.50 %","","","","","","  9.07 %","","","",""
"2020-07-05","  3.46 %","","  2.49 %","","","  7.68 %","","","  9.74 %",""," 31.53 %",""," 47.33 %"
"2020-07-06","  6.26 %","","","",""," 13.23 %","","","","","","",""
"2020-07-07","","","  2.01 %","",""," 10.52 %","","","",""," 32.90 %","",""
"2020-07-08","  7.60 %","","  1.97 %","","","  9.73 %","","","",""," 30.32 %","",""
"2020-07-09","","","","","","","","","  6.99 %"," ##.## %","","",""
"2020-07-10"," 10.29 %","","  9.38 %","","","","","","  5.11 %"," ##.## %","","  9.58 %",""
"2020-07-11","",""," 10.45 %","","","  9.39 %","","","",""," 35.43 %","",""
"2020-07-12"," 12.85 %",""," 10.31 %","","","","","","  5.03 %"," 93.25 %"," 10.58 %","",""
"2020-07-13"," 17.64 %",""," 10.90 %","",""," 10.47 %","","","","","","",""
"2020-07-14"," 14.88 %",""," 16.10 %",""," 41.67 %","","","","  4.56 %","","",""," 50.67 %"
"2020-07-15"," 13.84 %","","  8.70 %","","","","","","","","","",""
"2020-07-16"," 11.97 %","","  7.17 %","","","","","","  3.76 %","","","",""
"2020-07-17"," 12.66 %","","","","","","","","  2.83 %","","","",""
"2020-07-18","  5.69 %","","  7.46 %","","","","","","  2.14 %","","","",""
"2020-07-19","  5.49 %","","  7.52 %",""," 49.67 %","","","","","","","",""
"2020-07-20","  6.06 %","","  2.77 %","","","  6.73 %","","","","","","",""
"2020-07-21","  5.40 %","","","","","  4.76 %","","","  2.20 %","","","",""
"2020-07-22","  3.63 %","","  5.79 %",""," 35.38 %","  4.88 %","","","   .89 %","","",""," 50.67 %"
"2020-07-23","  4.62 %",""," 13.84 %"," 45.00 %"," 25.38 %","  4.27 %",""," 63.81 %","  1.01 %"," 14.36 %","  9.24 %","  9.58 %"," 40.67 %"
"2020-07-24","  6.84 %",""," 15.34 %","","","","","","  1.07 %","","  4.65 %","",""
"2020-07-25","  6.67 %",""," 14.91 %",""," 27.60 %","  6.11 %","","","   .37 %"," 14.36 %","  4.15 %","",""
"2020-07-26","  6.71 %",""," 16.48 %"," 45.00 %","","  5.69 %","","","","","","",""
"2020-07-27","  5.88 %",""," 15.22 %",""," 22.60 %","  6.38 %","","","   .37 %","","","  6.72 %",""
"2020-07-28","  4.45 %",""," 10.38 %","","","  6.41 %","","","   .31 %"," 18.89 %","  2.11 %"," 16.95 %",""
"2020-07-29","  3.47 %","","  9.48 %","","","  7.01 %","","","   .18 %"," 17.35 %","   .81 %","",""
"2020-07-30","  3.87 %","","  9.76 %"," 25.00 %"," 22.30 %","  3.78 %","","","","","","",""
"2020-07-31","  7.24 %","","  9.04 %",""," 16.58 %","","","","   .06 %","","","",""
"2020-08-01"," 10.47 %","","  8.33 %","","","","","","   .06 %","","",""," 27.33 %"
"2020-08-02"," 12.06 %","","  5.55 %","","","  2.09 %","","",""," 12.33 %",""," 20.28 %"," 49.05 %"
"2020-08-03"," 14.24 %","","  5.42 %","","","","","","","","",""," 68.21 %"
"2020-08-04"," 16.97 %","","","",""," 11.30 %","","",""," 11.22 %","","",""
"2020-08-05"," 14.77 %","","  4.52 %",""," 16.58 %"," 11.32 %","","","   .00 %","","",""," 48.21 %"
"2020-08-06"," 11.85 %","","  4.02 %","","  7.69 %"," 10.35 %","","",""," 12.55 %","   .81 %",""," 48.21 %"
"2020-08-07"," 11.31 %","","  3.10 %","","","","","","","","",""," 48.21 %"
"2020-08-08","  7.98 %","","  2.78 %","","  7.69 %","","","","","  2.02 %",""," 20.89 %"," 24.26 %"
"2020-08-09","  4.83 %","","  2.57 %","",""," 10.50 %","","","   .48 %","  2.02 %",""," 20.89 %","  2.03 %"
"2020-08-10","  4.73 %","","  6.54 %","",""," 11.75 %","","","   .72 %","",""," 20.89 %",""
"2020-08-11","  3.87 %","","  5.69 %","","","","","","","","   .79 %","",""
"2020-08-12","  3.33 %","","  6.67 %","","   .00 %","  1.52 %","","","","","","  8.93 %","  2.83 %"
"2020-08-13","  3.19 %","","  7.37 %","","","  1.42 %","","","","","","","  4.12 %"
