"date","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-04-02","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-04-05","1","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","1","","","",""
"2020-04-09","5","","","","","","","","","","","","","","","","","","","6","","","",""
"2020-04-10","6","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","2","","","1","","","","","","7","","","",""
"2020-04-12","8","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","9","","","","","","","1","","","","","","","","","","","","10","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","12","","","1",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","13","","","",""
"2020-04-16","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","","","","","16","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","17","","","",""
"2020-04-19","","","","2","","","","","","","","","","","","","","","","23","","","2",""
"2020-04-20","10","","2","","","","","","","","3","","","","","","","","","24","","","",""
"2020-04-23","","","","","","","1","","","","","","","","","","","","","30","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","","36","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","3","","41","","","",""
"2020-04-26","","","","","","","3","","","","","","","","","","","","","54","","","",""
"2020-04-27","","","","","","","","","","","","1","","","","","","","","74","","","",""
"2020-04-28","","","","2","","","","","","","","","","","","","","","","76","","","",""
"2020-04-29","","","","","","","","","","","","2","","","","","","","","77","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","80","","","",""
"2020-05-01","10","","","","","","","","1","","","","","","","","","","","82","","","",""
"2020-05-02","","","4","","","","","","","","3","","","","","","","","","","","","",""
"2020-05-03","","","4","","","","","","","","","","","","","","","","","82","","","",""
"2020-05-05","","","","","2","","","","","","","","","1","","","","","","90","","","",""
"2020-05-06","","","","","","","","","","","","","","","","","","","","92","","","",""
"2020-05-07","10","","","","","","","1","","","","","","","","","","8","","","","","",""
"2020-05-08","","","","2","","","23","","","","","","","3","","","","","","","","","",""
"2020-05-09","","","","4","","","23","","","","","","","","","","","8","","92","","","2",""
"2020-05-10","","","","","","","","","","","4","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","4","","","","","","","","","","","","93","","","",""
