"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-03-24","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","","","","","","","","","","","","","","",""
"2020-05-20","","","","","","","","","","","","","","","","","","",""
"2020-05-22","","","","",""," 29.00 %","","","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","","","","","","","","",""
"2020-05-26","","","","",""," 39.00 %","","","","","","","","","","","","",""
"2020-05-29","","","","",""," 45.67 %","","","","","","","","","","","","",""
"2020-05-30","","","","",""," 27.33 %","","","","","","","","","","","","",""
"2020-05-31","","","","",""," 23.87 %","","","","","","","","","","","","",""
"2020-06-01","","","","",""," 21.30 %","","","","","","","","","","","","",""
"2020-06-02","","","",""," 63.33 %"," 13.97 %","","","","","","","","","","","","",""
"2020-06-03","","",""," ##.## %"," 63.33 %","","","","","","","","","","","","","",""
"2020-06-04","","",""," ##.## %","","","","","","","","","","","","","","",""
"2020-06-05","","","","",""," 16.71 %","","","","","","","","","","","","",""
"2020-06-06","","",""," 13.26 %",""," 15.05 %","","","","","","","","","","","","",""
"2020-06-07","","","","",""," 14.31 %","","","","","","","","","",""," 36.67 %","",""
"2020-06-08"," ##.## %","",""," 20.29 %",""," 24.42 %","","","","","","","","","","",""," 39.33 %",""
"2020-06-09","","","","","","","",""," ##.## %"," 77.46 %",""," 91.67 %","","","","","","",""
"2020-06-10","","","",""," 53.33 %","","","","","","","","","","","","","",""
"2020-06-11"," ##.## %","","",""," 44.67 %"," 28.58 %","","","","",""," ##.## %","","","","",""," 45.49 %",""
"2020-06-12","","",""," 19.11 %"," 25.92 %"," 19.90 %","","",""," 77.92 %",""," 61.95 %","",""," 58.11 %","",""," 36.86 %",""
"2020-06-13","","",""," 49.22 %","","","","","","","","","","","","","","",""
"2020-06-16","","","","",""," 21.30 %","","","","","","",""," 78.60 %","","","","",""
"2020-06-17"," ##.## %","",""," 47.30 %",""," 21.15 %",""," ##.## %"," ##.## %"," 23.74 %","","","","","",""," 48.67 %"," 55.91 %",""
"2020-06-18","","",""," 41.01 %","","","","","","","","",""," 95.40 %","","","","",""
"2020-06-19"," ##.## %",""," 75.00 %"," 29.37 %"," 25.52 %","  8.98 %",""," ##.## %"," ##.## %"," 23.92 %",""," 63.95 %",""," 69.31 %"," ##.## %",""," 69.92 %"," 56.88 %",""
"2020-06-20"," ##.## %","","",""," 26.95 %","",""," 16.76 %"," ##.## %"," 30.87 %","","",""," 65.68 %"," ##.## %"," 31.14 %",""," 51.84 %",""
"2020-06-21"," 13.56 %",""," 76.43 %"," 29.37 %"," 18.29 %","  3.14 %",""," 15.68 %"," 39.35 %"," 17.83 %","","",""," 31.69 %"," ##.## %",""," 66.89 %","",""
"2020-06-22"," 13.87 %",""," 84.43 %","  -.15 %"," 17.58 %","",""," 12.53 %"," 38.62 %"," 17.79 %","","",""," 26.55 %"," 58.89 %",""," 67.40 %","",""
"2020-06-23","",""," 65.54 %","  -.14 %","","  4.28 %",""," 10.56 %",""," 16.38 %",""," 57.28 %",""," 12.81 %","","","","",""
"2020-06-24","  8.99 %","","","   .67 %"," 17.54 %","  3.74 %",""," 10.59 %"," 38.81 %"," 13.45 %",""," 13.19 %",""," 10.10 %"," 58.16 %",""," 37.90 %"," 48.18 %",""
"2020-06-25","  5.59 %","","","  4.39 %","  5.17 %","  3.90 %","","  9.37 %"," 24.53 %","  5.79 %","","  3.96 %","","  6.19 %"," 23.17 %",""," 26.87 %"," 45.90 %",""
"2020-06-26","","","","  4.90 %","","","",""," 19.17 %","","","","","  6.11 %","","","  9.81 %"," 27.75 %",""
"2020-06-27","","","","","","  7.43 %","","  7.09 %","","","","","","","","","  6.56 %","  7.47 %",""
