"date","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-19","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","","","","","","","","","","","2","","","",""
"2020-05-06","","","","","","","","","","","","","","","","","","","","-1","","","",""
"2020-05-07","1","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","","","","","","","","","","27","","","",""
"2020-05-10","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-12","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-13","","","","","","","-1","","","","","","","","","","","","","6","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-15","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","0","","","","","","","","","","","","","","","","","2","","","",""
"2020-05-17","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-20","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-21","","","","","","","","","","","","","","","","","","2","","","","","",""
"2020-05-22","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-23","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","","","","","","","","","","1","","","",""
"2020-05-25","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-30","","","","","","","-19","","","","","","","14","","","","","","4","","","",""
"2020-05-31","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-01","","","","","","","","","","","","","","","-1","","","","","","","","",""
"2020-06-02","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-03","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-05","","","","","","0","0","","","","0","","","","","","0","0","0","0","","","0","0"
"2020-06-06","","","","","","-31","-20","","","","-13","","","","","","-6","-1","","-13","","","-16","2"
"2020-06-07","","","","","","","","","","","","","","","","","","","","","","","18",""
"2020-06-08","","","","","","","","","","","","","","","","","","8","","","","","",""
"2020-06-09","","","","","","","","","","","-3","","","","","","","-7","","","","","",""
"2020-06-10","","","","","","-1","","","","","-1","","","","","","","","","","","","",""
"2020-06-11","","","","","","","","","","","4","","","","-7","","","","","","","","",""
"2020-06-12","","","","","","","","","","17","","","","","","","","3","","","1","","",""
"2020-06-13","","-9","","","","","","","","","1","","","","","","","","37","","","","",""
"2020-06-14","-1","","","-14","","","","","","-9","-10","","","","","4","","","","","","","-7",""
"2020-06-15","","","","","","","","-12","","2","","","2","","","-6","","8","-19","","","","3",""
"2020-06-16","0","","","-11","","","","","","","","","5","16","14","1","","","-18","","","-5","-2",""
"2020-06-17","","-1","","4","","","","","","","","","","","","","","","","","","4","-13",""
"2020-06-18","","1","","-7","","","","4","","","","","","","","","","","","","","-1","1",""
"2020-06-19","2","3","","-1","","75","","-5","","","","-10","","","","","3","","","","","0","-17","-8"
"2020-06-20","","-3","","","","-74","","","","","","8","-2","","","","","","","-1","","","9","-1"
"2020-06-21","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-22","","","","","","","","","","","","","","","","","","-11","","","","2","",""
