"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/Karimganj","Assam/Kishanganj","Assam/Kokrajhar","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Udalguri","Assam/West Karbi Anglong"
"2020-03-31","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","","   .00 %","-75.00 %","","","","","","","   .00 %","","   .00 %","","","","","   .00 %","","",""
"2020-04-04","","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","   .00 %","","","-66.67 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","",""
"2020-04-28","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","",""
"2020-05-05","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-05-06","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-07","","","","","","",""," ##.## %","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","",""," 25.00 %","","","","","","","","","","","","","","-75.00 %","","","","","","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","","","","","","","","","","-62.50 %","","-##.## %","","","","","","","","","","","","","","","","",""
"2020-05-10","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","","","-46.67 %","","","","","","","-##.## %","","","","","","","","","",""
"2020-05-15","","","","","","","","","","","","","","","","","","","","","","-62.50 %","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","","","","","","","","","","","","-33.33 %","","","","","","","","","","","","","   .00 %","","","",""
"2020-05-17","","","","","","","","   .00 %","","","","","","","","","","","","-66.67 %",""," ##.## %","","","","","","","","","","","","   .00 %","","","","",""
"2020-05-18","","","","","","",""," ##.## %","","","","","","","","","   .00 %","",""," ##.## %",""," 40.00 %","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","","   .00 %","","","","","","","","","","","-50.00 %","","   .00 %","-50.00 %"," ##.## %"," ##.## %","","   .00 %","","   .00 %","","","","   .00 %","-33.33 %","","","","","","","",""
"2020-05-20","","","","","","","","","","","","","","","","","",""," ##.## %","","-85.71 %","-25.00 %","","-50.00 %","","","","","","-66.67 %","","","",""," ##.## %","","","",""
"2020-05-21","","","","","","","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","","","","","","","",""," ##.## %"," ##.## %","","","","","","   .00 %"," ##.## %"," ##.## %","","","   .00 %","   .00 %"
"2020-05-22","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","","-50.00 %","","","   .00 %","","",""," 50.00 %"," 20.00 %","","   .00 %","   .00 %",""
"2020-05-23","","","","","   .00 %","",""," 14.29 %","","   .00 %","","","-50.00 %","","   .00 %","   .00 %","-50.00 %"," ##.## %","-37.50 %","   .00 %","","   .00 %","","","","-75.00 %","","","   .00 %","   .00 %","   .00 %","","","-66.67 %","",""," ##.## %","","   .00 %"
"2020-05-24","","","","","","","","","","-50.00 %","","","","","","","",""," ##.## %"," ##.## %"," ##.## %","-90.41 %","","","","","","","-75.00 %"," ##.## %"," ##.## %","","","","","","",""," ##.## %"
"2020-05-25","","","",""," ##.## %","","","-37.50 %","","","","   .00 %","","","","   .00 %"," ##.## %"," 33.33 %","","-50.00 %",""," ##.## %",""," ##.## %",""," ##.## %"," ##.## %","","   .00 %","-75.00 %","-71.43 %","",""," ##.## %",""," ##.## %","-33.33 %","",""
