"date","West Bengal/Alipurduar","West Bengal/Bankura","West Bengal/Birbhum","West Bengal/Cooch Behar","West Bengal/Dakshin Dinajpur","West Bengal/Darjeeling","West Bengal/Hooghly","West Bengal/Howrah","West Bengal/Jalpaiguri","West Bengal/Jhargram","West Bengal/Kalimpong","West Bengal/Kolkata","West Bengal/Malda","West Bengal/Murshidabad","West Bengal/Nadia","West Bengal/North 24 Parganas","West Bengal/Other State","West Bengal/Paschim Bardhaman","West Bengal/Paschim Medinipur","West Bengal/Purba Bardhaman","West Bengal/Purba Medinipur","West Bengal/Purulia","West Bengal/South 24 Parganas","West Bengal/Uttar Dinajpur","West Bengal/other State"
"2020-03-17","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","3","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","5","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","6","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","5","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","2","","","",""
"2020-03-29","","","","","","","1","","","","","7","","","","1","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","8","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","3","","","","","3","","1","",""
"2020-05-03","","","3","","","2","29","141","","","","459","2","","7","125","10","3","14","2","15","","19","",""
"2020-05-04","","","","","","","30","162","","","","483","","","","134","","","15","","17","","22","",""
"2020-05-05","","","","","","3","32","186","-1","","","524","","-1","","143","11","","17","3","18","","27","",""
"2020-05-06","","","","","","","38","210","","","","578","","","","158","","4","","","19","","38","",""
"2020-05-07","","","6","","","","","245","","","","607","3","","7","176","14","4","","3","20","","40","",""
"2020-05-08","","","6","","","","43","283","","","","670","","","8","188","","5","","4","25","","44","",""
"2020-05-09","","","","","","","60","291","","","","735","7","","","199","15","5","","","","","46","",""
"2020-05-10","","","","","","","109","338","","3","","772","10","","","207","","6","18","","25","","47","3",""
"2020-05-11","","","7","","","","114","361","","","","826","13","3","","229","17","7","19","7","","","52","",""
"2020-05-12","","","7","","","","116","398","","","","865","19","","","244","16","","19","8","27","","61","",""
"2020-05-13","","","7","","","","123","405","","","","950","","","9","257","","","19","","28","","63","4",""
"2020-05-14","","","","","","","124","430","","","","981","","","11","273","17","10","","9","30","","68","",""
"2020-05-15","","","","","","","125","457","","","","1024","","","","277","","","","11","32","","72","5",""
"2020-05-16","","","","","","","135","474","","","","1089","25","","","292","19","","","11","32","","72","",""
"2020-05-17","","","","","3","","136","492","","","","1135","","7","","311","20","10","20","12","","","76","8",""
"2020-05-18","","","11","","","","139","520","","","","1196","34","","13","337","","11","","13","32","","86","10",""
"2020-05-19","","","12","","","5","142","546","","","","1257","45","10","15","352","22","12","","15","","","91","13",""
"2020-05-20","","","16","","","6","143","570","","","","1326","46","","16","376","25","","21","19","","","97","16",""
"2020-05-21","","","","","","","146","579","","","","1373","","14","16","386","25","13","26","","32","","101","",""
"2020-05-22","","","17","","","","159","653","","","","1394","48","26","18","393","","","","20","33","","102","16",""
"2020-05-23","","1","18","","4","","180","672","","3","","1437","50","33","24","401","27","14","","24","","","109","20",""
"2020-05-24","","","20","","","","200","720","","","","1489","81","42","25","422","31","15","","26","33","","113","33",""
"2020-05-25","","3","22","","5","8","205","733","","","","1517","115","47","26","436","36","22","","29","43","","117","46",""
"2020-05-26","","","32","","6","9","224","754","2","","","1575","115","60","29","460","43","32","","35","46","","126","47",""
"2020-05-27","","15","33","","","10","228","777","","6","","1632","115","67","35","496","45","34","27","40","49","1","145","",""
"2020-05-28","","19","60","","6","11","233","832","3","","","1726","125","74","50","547","48","35","30","56","58","","156","93",""
"2020-05-29","4","21","81","","","11","235","861","5","","","1797","","76","68","601","54","40","","75","64","","169","116",""
"2020-05-30","","28","103","32","6","17","245","903","8","","","1877","137","81","72","631","57","41","33","77","77","","173","154",""
"2020-05-31","","36","130","68","15","","288","950","","","","1949","139","92","90","691","","47","35","90","81","7","179","154","1"
"2020-06-01","5","43","160","87","25","23","295","1028","10","","","2003","142","96","91","709","58","49","40","94","89","","185","159",""
"2020-06-02","","56","166","118","33","34","333","1077","","6","","2119","143","101","98","783","","","52","98","95","9","191","166",""
"2020-06-03","8","71","167","132","40","46","371","1135","13","","2","2218","153","106","102","825","59","50","54","104","98","19","195","166",""
"2020-06-04","12","95","181","138","44","56","418","1185","","","","2312","158","106","109","866","59","59","70","111","106","","210","173",""
"2020-06-05","12","104","187","139","47","73","462","1247","13","","4","2413","192","110","117","931","60","60","83","120","112","","222","202",""
"2020-06-06","","104","194","143","43","79","544","1303","24","","","2508","205","118","129","991","63","60","93","121","120","62","240","204",""
"2020-06-07","18","115","196","158","44","85","581","1340","49","11","11","2582","226","120","133","1059","65","63","177","123","122","63","271","207",""
"2020-06-08","37","140","204","205","","98","591","1378","90","","11","2710","231","127","133","1114","","75","178","124","125","","284","",""
"2020-06-09","38","","233","216","","114","608","1416","95","","15","2842","233","143","133","1142","","77","190","","142","83","306","",""
"2020-06-10","38","153","235","217","44","124","638","1445","96","","16","2952","235","147","148","1214","65","83","209","126","152","","320","209",""
"2020-06-11","39","171","239","219","47","165","655","1489","130","11","28","3069","243","153","161","1281","65","92","215","126","159","83","346","214",""
"2020-06-12","41","176","242","246","64","180","671","1541","160","","32","3180","253","154","175","1380","","95","245","128","167","84","372","214",""
"2020-06-13","44","179","243","258","65","184","675","1603","185","","33","3338","255","160","185","1449","65","95","294","130","180","","400","215",""
"2020-06-14","45","","252","259","","193","681","1643","212","","38","3496","265","164","193","1519","","99","295","131","192","84","419","219",""
"2020-06-15","74","180","254","264","79","215","684","1679","229","19","","3600","321","172","199","1575","","103","300","138","194","85","432","227",""
"2020-06-16","74","182","267","282","81","216","699","1719","234","","39","3770","331","174","207","1645","","103","309","139","209","86","463","228",""
"2020-06-17","102","183","272","283","","218","720","1791","250","","","3913","338","177","215","1691","65","108","316","140","211","","486","228",""
"2020-06-18","","","277","285","81","236","731","1848","263","","39","4093","355","179","232","1752","","111","321","143","222","87","515","",""
"2020-06-19","102","190","280","288","85","244","742","1905","267","","41","4224","368","181","244","1804","","111","327","147","225","","547","229",""
"2020-06-20","149","194","280","288","87","264","757","1961","280","19","43","4351","385","183","260","1860","","113","329","148","225","","603","232",""
"2020-06-21","173","197","280","288","107","292","774","2006","295","","45","4477","389","190","265","1948","","113","332","148","232","","620","235",""
"2020-06-22","176","201","281","","126","325","789","2066","295","19","45","4558","435","200","267","2002","65","116","338","149","249","","672","241",""
"2020-06-23","177","218","289","","162","344","794","2115","311","","45","4639","461","204","271","2057","65","116","341","150","253","","700","254",""
"2020-06-24","178","221","289","291","162","359","815","2144","313","","45","4794","469","206","276","2168","65","117","343","","268","","768","258",""
"2020-06-25","178","223","292","","162","391","841","2186","313","","45","4957","489","211","284","2285","","118","350","154","272","","793","274",""
