"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-05-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-05-09","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-05-10","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-05-12","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-05-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-05-17","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-05-19","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-05-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-21","   .00 %","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-05-22","   .00 %","","","","","","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","","","","","   .00 %","","","","",""
"2020-05-23","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-05-24","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
