"date","Lakshadweep/Lakshadweep"
"2021-01-18","   .00 %"
"2021-01-19"," 50.00 %"
"2021-01-20"," 42.86 %"
"2021-01-21"," 60.00 %"
"2021-01-22","  4.17 %"
"2021-01-23"," 14.00 %"
"2021-01-25"," 17.54 %"
"2021-01-26","  2.99 %"
"2021-01-29","  1.45 %"
"2021-01-30"," 12.86 %"
"2021-01-31"," 10.13 %"
"2021-02-01"," 13.79 %"
"2021-02-02"," 20.20 %"
"2021-02-03","  2.52 %"
"2021-02-04","  3.28 %"
"2021-02-05"," 11.90 %"
"2021-02-06","  7.09 %"
"2021-02-07","  1.32 %"
"2021-02-08","   .65 %"
"2021-02-09","  7.79 %"
"2021-02-10","  9.04 %"
"2021-02-11","  3.31 %"
"2021-02-12","   .53 %"
"2021-02-13"," 19.15 %"
"2021-02-14","  4.02 %"
"2021-02-15","   .43 %"
"2021-02-16","  7.26 %"
"2021-02-17","  3.98 %"
"2021-02-18","   .77 %"
"2021-02-21","  1.14 %"
"2021-02-22","  5.64 %"
"2021-02-23","  7.47 %"
"2021-02-24","  1.99 %"
"2021-02-25","  2.92 %"
"2021-02-26","   .63 %"
"2021-02-27","  8.15 %"
"2021-02-28","  6.67 %"
"2021-03-01","  4.08 %"
"2021-03-02","  2.61 %"
"2021-03-03","  1.78 %"
"2021-03-04","  3.00 %"
"2021-03-05"," 10.44 %"
"2021-03-06","  1.10 %"
"2021-03-07","  2.83 %"
"2021-03-08","  1.69 %"
"2021-03-09","  3.12 %"
"2021-03-10","  3.02 %"
"2021-03-11","  8.81 %"
"2021-03-12","  3.24 %"
"2021-03-13","  2.79 %"
"2021-03-14","   .17 %"
"2021-03-15","   .34 %"
"2021-03-16","  3.20 %"
"2021-03-17","  2.29 %"
"2021-03-18","   .80 %"
"2021-03-19","   .48 %"
"2021-03-20","   .00 %"
"2021-03-21","  2.84 %"
"2021-03-23","   .92 %"
"2021-03-24","   .30 %"
"2021-03-25","  1.36 %"
"2021-03-26","   .90 %"
"2021-03-27","   .00 %"
"2021-03-28","   .15 %"
"2021-03-29","   .00 %"
"2021-03-30","   .44 %"
"2021-04-01","   .44 %"
"2021-04-02","  1.03 %"
"2021-04-03","  1.02 %"
"2021-04-04","   .14 %"
"2021-04-05","   .43 %"
"2021-04-06","  1.00 %"
"2021-04-07","  2.69 %"
"2021-04-08","  1.10 %"
"2021-04-09","   .82 %"
"2021-04-10","  3.24 %"
"2021-04-11","   .65 %"
"2021-04-12","  1.82 %"
"2021-04-13","  2.68 %"
"2021-04-14","  1.37 %"
"2021-04-15","  6.87 %"
"2021-04-16","  5.05 %"
"2021-04-17"," 11.58 %"
"2021-04-18"," 11.17 %"
"2021-04-19"," 10.31 %"
"2021-04-20","  4.23 %"
"2021-04-21"," 14.64 %"
"2021-04-22","  9.69 %"
"2021-04-23","  8.17 %"
"2021-04-24","  8.85 %"
"2021-04-25","  8.49 %"
"2021-04-26","  5.77 %"
"2021-04-27","  6.95 %"
"2021-04-28","  4.34 %"
"2021-04-29","  6.39 %"
"2021-04-30","  3.99 %"
"2021-05-01","  5.70 %"
"2021-05-02","  3.01 %"
"2021-05-03","  2.35 %"
"2021-05-04","  5.54 %"
"2021-05-05","  3.95 %"
"2021-05-06","  4.54 %"
"2021-05-07","  2.89 %"
"2021-05-08","  3.53 %"
"2021-05-09","  3.35 %"
"2021-05-10","  2.62 %"
"2021-05-11","  2.66 %"
"2021-05-12","  2.83 %"
"2021-05-13","  4.63 %"
"2021-05-14","  3.96 %"
"2021-05-15","  1.81 %"
"2021-05-16","  2.53 %"
"2021-05-17","  4.62 %"
"2021-05-18","  4.56 %"
"2021-05-19","  4.90 %"
"2021-05-20","  5.33 %"
"2021-05-21","  6.03 %"
"2021-05-22","  5.22 %"
"2021-05-23","  3.02 %"
"2021-05-24","  3.59 %"
"2021-05-25","  3.87 %"
"2021-05-26","  1.67 %"
"2021-05-27","  1.88 %"
"2021-05-28","  2.43 %"
"2021-05-29","  1.18 %"
"2021-05-30","  3.91 %"
"2021-05-31","  1.89 %"
"2021-06-01","  1.11 %"
"2021-06-02","  2.08 %"
"2021-06-03","  1.73 %"
"2021-06-04","  1.05 %"
"2021-06-05","  1.16 %"
"2021-06-06","   .81 %"
"2021-06-07","   .44 %"
"2021-06-08","  1.13 %"
"2021-06-09","  1.45 %"
"2021-06-10","   .79 %"
"2021-06-11","   .54 %"
"2021-06-12","   .58 %"
"2021-06-13","   .37 %"
"2021-06-14","   .29 %"
"2021-06-15","   .66 %"
"2021-06-16","   .45 %"
"2021-06-17","   .41 %"
"2021-06-18","   .16 %"
"2021-06-19","   .41 %"
"2021-06-20","   .14 %"
"2021-06-21","   .30 %"
"2021-06-22","   .35 %"
"2021-06-23","   .58 %"
"2021-06-24","   .44 %"
"2021-06-25","   .32 %"
"2021-06-26","   .28 %"
"2021-06-27","   .29 %"
"2021-06-28","   .58 %"
"2021-06-29","   .28 %"
"2021-06-30","   .29 %"
"2021-07-01","   .39 %"
"2021-07-02","   .36 %"
"2021-07-03","   .18 %"
"2021-07-04","   .40 %"
"2021-07-05","   .36 %"
"2021-07-06","   .11 %"
"2021-07-07","   .18 %"
"2021-07-08","   .15 %"
"2021-07-09","   .22 %"
"2021-07-10","   .09 %"
"2021-07-11","   .02 %"
"2021-07-12","   .07 %"
"2021-07-13","   .11 %"
"2021-07-14","   .05 %"
"2021-07-15","   .07 %"
"2021-07-16","   .10 %"
"2021-07-17","   .08 %"
"2021-07-18","   .03 %"
"2021-07-19","   .12 %"
