"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-03-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-05-03","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2020-05-05","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","0"
"2020-05-06","","","1","","","","","","","","","","","","","","0","","","","","","","","","","","","","","",""
"2020-05-07","","","0","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-05-08","","","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","","","1"
"2020-05-09","","","4","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2020-05-10","","","","","0","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","2","","3","","","","","","","","0","","","","0","","5","","","","","","","","","","","","","4"
"2020-05-12","","","","","","","","","","","","","31","","","","","","","","","","","","","","","","","","",""
"2020-05-13","","","9","","4","","","","","","","","0","","","","","","8","","","","","","","","","","","","","2"
"2020-05-14","","","0","","0","","","0","","","0","","15","","","","0","","0","","","","","","","","","","","","","0"
"2020-05-15","","","1","","2","","","","","","0","","4","","","","0","1","0","","","","","","","","","","","","",""
"2020-05-16","","","1","","","","","","","","28","","","","","","","","","","","","","","","","","","","","",""
"2020-05-17","","","2","","0","","0","","","","19","","3","","","","0","0","0","","","","","","","","","","","","","0"
"2020-05-18","","","1","","","","0","","","","40","","0","","","","1","","3","","","","","","","","","","","","","1"
"2020-05-19","","","2","","2","","0","","","","20","0","0","","","","5","","0","","","","","","","","","","","","",""
"2020-05-20","","","0","","2","","0","","","","23","","5","","","","0","","0","","","3","","","","","","","","","","1"
"2020-05-21","","","15","","5","","0","","","","22","0","3","","","","","","","","","1","","0","","","0","","","","","1"
"2020-05-22","","","0","","0","1","1","","","","8","","8","","","","1","0","0","","","","","0","","","1","","","","","8"
"2020-05-23","","0","15","","1","","0","","","","41","","1","0","","","","","","","","1","","0","","","0","","","","","2"
"2020-05-24","0","0","","","","","0","","","","30","0","18","","","","","2","3","","","","","0","","","0","","","","","0"
"2020-05-25","0","0","34","","9","","","1","","","15","0","13","","","","13","0","0","0","","0","","3","","","10","","","","","1"
"2020-05-26","0","0","11","","6","","7","","","","24","","18","0","","","5","0","4","","","2","","2","","","4","","","","","1"
"2020-05-27","","2","17","","28","","4","","","","11","0","5","","","","","3","2","","","0","","0","","","7","","","","","0"
"2020-05-28","","2","","","","1","9","","","","19","0","25","","","","3","1","1","","","","","3","","","8","","","","",""
"2020-05-29","","0","1","","21","","3","","","","15","23","22","0","","","","","2","0","","0","","1","","","0","","2","","","0"
"2020-05-30","2","0","1","","0","28","9","0","","","1","0","1","","","1","10","0","7","","","","","0","","","11","","","","","0"
"2020-05-31","2","0","3","","","","1","0","","","16","2","5","","","","17","0","0","","1","3","","11","","","1","","1","","","1"
"2020-06-01","","2","3","","0","0","13","","","","2","0","60","","","0","12","0","3","","0","0","","6","","","3","","1","","","5"
"2020-06-02","0","1","0","","","","7","","0","0","2","1","0","3","","2","16","3","2","","16","0","","3","","","17","","0","","","3"
