"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/Karimganj","Assam/Kishanganj","Assam/Kokrajhar","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Others","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Udalguri","Assam/West Karbi Anglong"
"2020-03-31","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","3","","","","8","","4","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","","1","5","","","","","","","1","","3","","","","","","1","","",""
"2020-04-04","","","","","","","","2","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","3","","","4","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","",""
"2020-04-28","","","","","","","1","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","4","","","5","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","","","5","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","3","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","","","","","","","6","","","","","","","","","","1","","","","","","","","","","","","","",""
"2020-05-06","","","","","","","","3","","","","","4","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
"2020-05-07","","","","","","","","7","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","","","12","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","","","","","","","","","","11","","10","","","","","","","","","","","","","","","","","",""
"2020-05-10","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","5","","","","","","","","","","","","","","","11","","","","","","","4","","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","","","","","","","","26","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","","","34","","","","","","","3","","","","","","","","","","",""
"2020-05-15","","","","","","","","12","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","","","1","","","",""
"2020-05-17","","","","","","","","13","","","","","","","","","","","","12","","44","","","","","","","","","","","","","1","","","","",""
"2020-05-18","","","","","","","","15","","","","","","","","","5","","","14","","51","","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","","2","","","","","","","","","","","7","","2","15","9","71","","3","","2","","","","3","5","","","","","","","","",""
"2020-05-20","","","","","","","","15","","","","","","","","","","","10","15","10","86","","4","","","","","","4","","","","","","3","","","",""
"2020-05-21","","","","","","","","15","","","1","","6","1","","","","","","","","86","","","","6","3","","","","","","","1","3","8","","","1","1"
"2020-05-22","","","","","","","","22","","","","","","","","","","2","","","","","","","","","4","","","5","","","","","6","14","","1","2",""
"2020-05-23","","","","","4","","","30","","4","","","7","","7","7","8","5","15","16","","159","","","","7","","","7","6","7","","","","7","","","4","","2"
"2020-05-24","","","","","","","","","","6","","","","","","","","","25","18","20","166","","","","","","","8","10","14","","","","","","","","","5"
"2020-05-25","","","","","13","","","35","","","","4","","","","8","67","9","","19","","181","","25","","13","21","","9","11","16","","","","12","","4","6","",""
"2020-05-26","","","","","","","","","","","4","","8","","","16","121","10","32","","21","209","2","32","","","26","","17","19","","","","","","","","","3",""
"2020-05-27","","","","","","","","","9","","8","5","","","","","135","","46","20","22","252","4","","","","27","","23","23","","","","","13","","","","",""
"2020-05-28","","","","","16","","","46","","","","8","9","6","8","27","","12","47","","23","284","5","34","","15","28","","","34","19","","","","","","","9","",""
"2020-05-29","","","","","","13","","58","","","10","12","23","5","","","162","14","55","20","54","318","8","40","","","30","","","","","","","","","","","26","12","4"
