"date","Lakshadweep/Lakshadweep"
"2021-01-18","   .00 %"
"2021-01-19","   .00 %"
"2021-01-20","   .00 %"
"2021-01-21","   .00 %"
"2021-01-22","   .00 %"
"2021-01-23","   .00 %"
"2021-01-25","   .00 %"
"2021-01-26","   .00 %"
"2021-01-29","   .00 %"
"2021-01-30","   .00 %"
"2021-01-31","   .00 %"
"2021-02-01","   .00 %"
"2021-02-02","   .00 %"
"2021-02-03","   .00 %"
"2021-02-04","   .00 %"
"2021-02-05","   .00 %"
"2021-02-06","   .00 %"
"2021-02-07","   .00 %"
"2021-02-08","   .00 %"
"2021-02-09","   .00 %"
"2021-02-10","   .00 %"
"2021-02-11","   .00 %"
"2021-02-12","   .00 %"
"2021-02-13","   .00 %"
"2021-02-14","   .00 %"
"2021-02-15","   .00 %"
"2021-02-16","   .00 %"
"2021-02-17","   .00 %"
"2021-02-18","   .00 %"
"2021-02-21","   .00 %"
"2021-02-22","   .00 %"
"2021-02-23","   .00 %"
"2021-02-24","   .00 %"
"2021-02-25","   .00 %"
"2021-02-26","   .00 %"
"2021-02-27","   .00 %"
"2021-02-28","   .00 %"
"2021-03-01","   .00 %"
"2021-03-02","   .00 %"
"2021-03-03","   .00 %"
"2021-03-04","   .00 %"
"2021-03-05","   .00 %"
"2021-03-06","   .00 %"
"2021-03-07","   .00 %"
"2021-03-08","   .00 %"
"2021-03-09","   .00 %"
"2021-03-10","   .00 %"
"2021-03-11","   .00 %"
"2021-03-12","   .00 %"
"2021-03-13","   .00 %"
"2021-03-14","   .00 %"
"2021-03-15","   .00 %"
"2021-03-16","   .00 %"
"2021-03-17","   .00 %"
"2021-03-18","   .00 %"
"2021-03-19","   .00 %"
"2021-03-20","   .00 %"
"2021-03-21","   .00 %"
"2021-03-23","   .00 %"
"2021-03-24","   .00 %"
"2021-03-25","   .00 %"
"2021-03-26","   .00 %"
"2021-03-27","   .00 %"
"2021-03-28","   .00 %"
"2021-03-29","   .00 %"
"2021-03-30","   .00 %"
"2021-04-01","   .00 %"
"2021-04-02","   .00 %"
"2021-04-03","   .00 %"
"2021-04-04","   .00 %"
"2021-04-05","   .00 %"
"2021-04-06","   .00 %"
"2021-04-07","   .00 %"
"2021-04-08","   .00 %"
"2021-04-09","   .00 %"
"2021-04-10","   .00 %"
"2021-04-11","   .00 %"
"2021-04-12","   .00 %"
"2021-04-13","   .00 %"
"2021-04-14","   .00 %"
"2021-04-15","   .00 %"
"2021-04-16","   .00 %"
"2021-04-17","   .00 %"
"2021-04-18","   .00 %"
"2021-04-19","   .00 %"
"2021-04-20","   .00 %"
"2021-04-21","   .00 %"
"2021-04-22","   .00 %"
"2021-04-23","   .00 %"
"2021-04-24","   .00 %"
"2021-04-25","   .00 %"
"2021-04-26","   .00 %"
"2021-04-27","   .00 %"
"2021-04-28","   .00 %"
"2021-04-29"," ##.## %"
"2021-04-30","   .00 %"
"2021-05-01","   .00 %"
"2021-05-02","   .00 %"
"2021-05-03"," 50.00 %"
"2021-05-04","   .00 %"
"2021-05-05"," 16.67 %"
"2021-05-06"," 14.29 %"
"2021-05-07"," 12.50 %"
"2021-05-08","   .00 %"
"2021-05-09","   .00 %"
"2021-05-10"," 11.11 %"
"2021-05-11","   .00 %"
"2021-05-12"," 10.00 %"
"2021-05-13"," 18.18 %"
"2021-05-14","   .00 %"
"2021-05-15","   .00 %"
"2021-05-16","  7.69 %"
"2021-05-17","   .00 %"
"2021-05-18","  7.14 %"
"2021-05-19"," 20.00 %"
"2021-05-20"," 11.11 %"
"2021-05-21"," 10.00 %"
"2021-05-22","  9.09 %"
"2021-05-23","   .00 %"
"2021-05-24","   .00 %"
"2021-05-25","  8.33 %"
"2021-05-26","   .00 %"
"2021-05-27","  7.69 %"
"2021-05-28","  3.57 %"
"2021-05-29","  6.90 %"
"2021-05-30","  3.23 %"
"2021-05-31","  3.12 %"
"2021-06-01","   .00 %"
"2021-06-02","  6.06 %"
"2021-06-03","   .00 %"
"2021-06-04","  2.86 %"
"2021-06-05","  5.56 %"
"2021-06-06","   .00 %"
"2021-06-07","  7.89 %"
"2021-06-08","  2.44 %"
"2021-06-09","   .00 %"
"2021-06-10","   .00 %"
"2021-06-11","  2.38 %"
"2021-06-12","   .00 %"
"2021-06-13","  2.33 %"
"2021-06-14","   .00 %"
"2021-06-15","  2.27 %"
"2021-06-16","   .00 %"
"2021-06-17","   .00 %"
"2021-06-18","   .00 %"
"2021-06-19","  2.22 %"
"2021-06-20","   .00 %"
"2021-06-21","   .00 %"
"2021-06-22","  2.17 %"
"2021-06-23","   .00 %"
"2021-06-24","   .00 %"
"2021-06-25","   .00 %"
"2021-06-26","   .00 %"
"2021-06-27","   .00 %"
"2021-06-28","   .00 %"
"2021-06-29","   .00 %"
"2021-06-30","   .00 %"
"2021-07-01","  2.13 %"
"2021-07-02","   .00 %"
"2021-07-03","   .00 %"
"2021-07-04","   .00 %"
"2021-07-05","   .00 %"
"2021-07-06","   .00 %"
"2021-07-07","   .00 %"
"2021-07-08","   .00 %"
"2021-07-09","   .00 %"
"2021-07-10","   .00 %"
"2021-07-11","   .00 %"
"2021-07-12","   .00 %"
"2021-07-13","   .00 %"
"2021-07-14","   .00 %"
"2021-07-15","   .00 %"
"2021-07-16","   .00 %"
"2021-07-17","   .00 %"
"2021-07-18","   .00 %"
"2021-07-19","   .00 %"
"2021-07-20","   .00 %"
"2021-07-21","   .00 %"
"2021-07-22","   .00 %"
"2021-07-23","   .00 %"
"2021-07-24","   .00 %"
"2021-07-25","   .00 %"
"2021-07-26","   .00 %"
