"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-11","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","",""
"2020-03-12","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","",""
"2020-03-14","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","",""
"2020-03-15","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","2","","","","1"
"2020-03-17","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","",""
"2020-03-19","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","2","","","","","","","","","2","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","7","","","","","","","","","2","","","","","","","1","","","","1"
"2020-03-22","","","","","","","","","","","","","","","","","5","","","","","","","","","4","","","","","","","1","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","11","","","","","","","","","1","","","","","","","2","","","",""
"2020-03-24","1","","","","","","","","","","","","","","","","6","","","","","","","","","2","","","","","","","2","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","7","","","","","","","","","","1","","5","","","","2","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","3","4","","","","","","1","","1","","","15","","","","2","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","22","2","","","","","","3","","","","","","","","","1","","","",""
"2020-03-29","2","","","","","","","","","","","","","","","","5","3","","","","","","","","5","","","1","","","","4","","","",""
"2020-03-30","","","","","","","","","","","","","","","1","","7","2","","","","","","","","6","","","","","","","","","","",""
"2020-03-31","3","","","","","","2","","","","","","","","","","59","","","","","","","","","5","","","","","","","13","","","",""
