"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2020-05-23","","","",""
"2020-06-03","","","",""
"2020-06-05","","","",""
"2020-06-06","","","",""
"2020-06-09","","","",""
"2020-06-12","","","",""
"2020-06-13","","","",""
"2020-06-14","","","",""
"2020-06-17","","","",""
"2020-06-18","","","",""
"2020-06-19","","","",""
"2020-06-21","","","",""
"2020-06-22","","","",""
"2020-06-24","","","",""
"2020-06-25","","","",""
"2020-06-26","","","",""
"2020-06-27","","","",""
"2020-06-28","","","",""
"2020-06-30","","","",""
"2020-07-01","","","",""
"2020-07-02","","","",""
"2020-07-04","","","",""
"2020-07-05","","","",""
"2020-07-06","","","",""
"2020-07-07","","","",""
"2020-07-08","","","",""
"2020-07-09","","","",""
"2020-07-10","","","",""
"2020-07-11","","","",""
"2020-07-12","","","",""
"2020-07-13","","","",""
"2020-07-14","","","",""
"2020-07-15","","","",""
"2020-07-16","","","",""
"2020-07-17","","","",""
"2020-07-18","","","",""
"2020-07-19","","","",""
"2020-07-20","","","",""
"2020-07-21","","","",""
"2020-07-22","","","",""
"2020-07-23","","","",""
"2020-07-24","","","",""
"2020-07-25","","","",""
"2020-07-26","1","","",""
"2020-07-28","1","","",""
"2020-07-29","1","","",""
"2020-07-30","1","","",""
"2020-07-31","1","","",""
"2020-08-01","1","","",""
"2020-08-02","1","","",""
"2020-08-03","1","","",""
"2020-08-04","1","","",""
"2020-08-05","1","","",""
"2020-08-07","1","","",""
"2020-08-10","1","","",""
"2020-08-11","1","","",""
"2020-08-12","1","","",""
"2020-08-13","1","","",""
"2020-08-14","1","","",""
"2020-08-15","1","","",""
"2020-08-16","1","","",""
"2020-08-17","1","","",""
"2020-08-18","2","","",""
"2020-08-19","3","","",""
"2020-08-20","3","","",""
"2020-08-21","3","","",""
"2020-08-22","3","","",""
"2020-08-24","3","","",""
"2020-08-25","3","","",""
"2020-08-26","3","","",""
"2020-08-27","3","","",""
"2020-08-28","3","","",""
"2020-08-29","3","","",""
"2020-08-30","3","","",""
"2020-08-31","3","","",""
"2020-09-01","3","","",""
"2020-09-02","3","","",""
"2020-09-05","3","","",""
"2020-09-08","3","","",""
"2020-09-09","3","","",""
"2020-09-10","3","","",""
"2021-01-01","3","","",""
"2021-01-03","3","","",""
"2021-01-04","","","",""
"2021-01-05","3","","",""
"2021-01-06","3","","",""
"2021-01-09","3","","",""
"2021-01-10","3","","",""
"2021-01-12","3","","",""
"2021-01-13","3","","",""
"2021-01-14","3","","",""
"2021-01-15","3","","",""
"2021-01-16","3","","",""
"2021-01-17","3","","",""
"2021-01-20","3","","",""
"2021-01-21","3","","",""
"2021-01-22","","","",""
"2021-01-23","3","","",""
"2021-01-24","3","","",""
"2021-01-25","","","",""
"2021-01-27","3","","",""
"2021-01-28","3","","",""
"2021-01-29","3","","",""
"2021-01-30","3","","",""
"2021-01-31","3","","",""
"2021-02-01","3","","",""
"2021-02-02","3","","",""
"2021-02-03","3","","",""
"2021-02-04","3","","",""
"2021-02-05","3","","",""
"2021-02-06","3","","",""
"2021-02-07","3","","",""
"2021-02-10","3","","",""
"2021-02-11","3","","",""
"2021-02-12","3","","",""
"2021-02-16","3","","",""
"2021-02-18","3","","",""
"2021-02-19","3","","",""
"2021-02-20","3","","",""
"2021-02-21","","","",""
"2021-02-25","3","","",""
"2021-02-26","3","","",""
"2021-02-27","3","","",""
"2021-02-28","3","","",""
"2021-03-02","3","","",""
"2021-03-03","3","","",""
"2021-03-04","3","","",""
"2021-03-05","3","","",""
"2021-03-06","3","","",""
"2021-03-07","3","","",""
"2021-03-09","3","","",""
"2021-03-10","3","","",""
"2021-03-11","3","","",""
"2021-03-12","3","","",""
"2021-03-13","3","","",""
"2021-03-16","3","","",""
"2021-03-17","3","","",""
"2021-03-18","3","","",""
"2021-03-19","3","","",""
"2021-03-21","3","","",""
"2021-03-23","3","","",""
"2021-03-24","3","","",""
"2021-03-25","3","","",""
"2021-03-26","3","","",""
"2021-03-27","3","","",""
"2021-03-28","3","","",""
"2021-03-30","3","","",""
"2021-03-31","3","","",""
"2021-04-01","3","","",""
"2021-04-02","3","","",""
"2021-04-03","3","","",""
"2021-04-04","3","","",""
"2021-04-05","3","","",""
"2021-04-06","3","","",""
"2021-04-07","3","","",""
"2021-04-08","3","","",""
"2021-04-09","3","","",""
"2021-04-10","3","","",""
"2021-04-12","3","","",""
"2021-04-13","3","","",""
"2021-04-14","3","","",""
"2021-04-15","3","","",""
"2021-04-16","3","","",""
"2021-04-17","3","","",""
"2021-04-18","3","","",""
"2021-04-20","3","","",""
"2021-04-21","3","","",""
"2021-04-22","3","","",""
"2021-04-23","3","","",""
"2021-04-24","3","","",""
"2021-04-25","3","","",""
"2021-04-26","3","","",""
"2021-04-27","3","","",""
"2021-04-28","3","","",""
"2021-04-29","3","","",""
"2021-04-30","3","","",""
"2021-05-01","3","","",""
"2021-05-02","3","","",""
"2021-05-03","3","","",""
"2021-05-04","3","","",""
