"date","Andhra Pradesh/Anantapur","Andhra Pradesh/Chittoor","Andhra Pradesh/East Godavari","Andhra Pradesh/Foreign Evacuees","Andhra Pradesh/Guntur","Andhra Pradesh/Krishna","Andhra Pradesh/Kurnool","Andhra Pradesh/Other State","Andhra Pradesh/Prakasam","Andhra Pradesh/S.P.S. Nellore","Andhra Pradesh/Srikakulam","Andhra Pradesh/Visakhapatnam","Andhra Pradesh/Vizianagaram","Andhra Pradesh/West Godavari","Andhra Pradesh/Y.S.R. Kadapa"
"2020-03-12","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","",""
"2020-04-08","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","",""
"2020-04-19","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","","","","",""
"2020-04-22","","","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","","","",""
"2020-04-24","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","","","","",""
"2020-04-28","","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","",""
"2020-05-02","","","","","","","0","","","0","","","","",""
"2020-05-03","","","","","","","0","","","0","","","","",""
"2020-05-04","","","","","","","0","","","0","","","","",""
"2020-05-05","","","","","","","0","","","0","","","","",""
"2020-05-06","","","","","","1","1","","","","","","","",""
"2020-05-07","","","","","","1","1","","","0","","","","",""
"2020-05-08","","","","","","0","2","","","0","","","","",""
"2020-05-09","","","","","","2","1","","","0","","0","","",""
"2020-05-10","","","","","","0","1","","","0","","0","","",""
"2020-05-11","","","","","","0","0","","","0","","0","","",""
"2020-05-12","","","","","","1","0","","","0","","","","",""
"2020-05-13","","","","","","0","1","","","0","","","","",""
"2020-05-14","","","","","","0","1","","","0","","","","",""
"2020-05-15","","","","","","0","0","","","0","","0","","",""
"2020-05-16","","","","","","0","1","","","0","","0","","",""
"2020-05-17","","","","","","1","0","","","0","","0","","",""
"2020-05-18","","","","","","0","0","","","0","","0","","",""
"2020-05-19","","","","","","","1","","","","","","","",""
"2020-05-20","","0","","","","0","1","","","0","","0","","",""
"2020-05-21","","","","","","","","","","1","","","","",""
"2020-05-23","","","","","","1","","","","","","","","",""
"2020-05-25","","","","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","","","","",""
"2020-05-27","","0","","","","1","0","","","0","","0","","",""
"2020-05-28","","0","0","","","0","1","","","0","","0","","",""
"2020-05-29","","0","0","","","0","1","","","0","","0","","",""
"2020-05-30","","0","0","","","0","0","","","0","","0","","",""
"2020-05-31","","1","0","","","1","0","","","0","","0","","",""
"2020-06-01","","0","0","","","0","2","","","0","","0","","",""
"2020-06-02","","0","0","","","0","0","","","0","","0","","",""
"2020-06-03","","2","0","","","1","1","","","","","0","","",""
"2020-06-04","","0","0","","","1","1","","","0","","0","","",""
"2020-06-05","","0","0","","0","2","0","","","0","","0","","",""
"2020-06-06","","0","0","","0","0","0","","","0","","0","","",""
"2020-06-07","","0","0","","0","1","1","","","0","","0","","",""
"2020-06-08","","0","0","","0","0","0","","","0","","0","","",""
"2020-06-09","","","","","","1","","","","","","","","",""
"2020-06-10","0","0","1","","0","0","0","","","0","","0","","",""
"2020-06-11","0","0","1","","0","1","0","","","0","","0","","",""
"2020-06-12","0","0","0","","0","0","0","","","0","","0","","",""
"2020-06-13","0","0","0","","0","2","0","","","0","","0","","",""
"2020-06-14","0","0","1","","0","0","1","","","0","","0","","",""
"2020-06-15","1","0","0","","0","0","1","","","0","","0","","",""
"2020-06-16","0","1","0","","0","0","0","","","0","","0","","",""
"2020-06-17","0","0","0","","1","0","1","","0","0","","0","","",""
"2020-06-18","0","0","0","","0","2","0","","0","0","","0","","",""
"2020-06-19","0","0","0","","0","2","0","","1","0","","0","","",""
