"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-03-17","","","",""
"2020-04-01","","","",""
"2020-04-02","","","",""
"2020-04-10","","","",""
"2020-04-25","","","",""
"2020-04-27","","","   .00 %",""
"2020-05-02","","","   .00 %",""
"2020-05-03","","","   .00 %",""
"2020-05-08","","","   .00 %",""
"2020-05-10","","","   .00 %",""
"2020-05-13","","","   .00 %",""
"2020-05-14","","","   .00 %",""
"2020-05-16","","","",""
"2020-05-19","","","   .00 %",""
"2020-05-20","","","",""
"2020-05-22","","   .00 %","   .00 %",""
"2020-05-24","","","   .00 %",""
"2020-05-25","","","   .00 %",""
"2020-05-28","","","   .00 %",""
"2020-05-29","","   .00 %","   .00 %",""
"2020-05-31","","","   .00 %",""
"2020-06-01","","","   .00 %",""
"2020-06-03","","","   .00 %",""
"2020-06-05","","","   .00 %",""
"2020-06-06","","","   .00 %",""
"2020-06-07","","","   .00 %",""
"2020-06-08","","   .00 %","   .00 %",""
"2020-06-09","","   .00 %","   .00 %",""
"2020-06-10","","","   .00 %",""
"2020-06-11","","   .00 %","   .00 %",""
"2020-06-12","   .00 %",""," 10.00 %",""
"2020-06-13","","   .00 %"," 10.00 %",""
"2020-06-14","   .00 %","   .00 %"," 16.67 %",""
"2020-06-15","",""," 16.67 %",""
"2020-06-16","   .00 %",""," 16.67 %",""
"2020-06-17","   .00 %",""," 11.67 %",""
"2020-06-18","","   .00 %"," 15.67 %",""
"2020-06-19","   .00 %",""," 12.33 %",""
"2020-06-20","   .00 %","   .00 %"," 12.33 %",""
"2020-06-21","",""," 15.19 %",""
"2020-06-22","   .00 %",""," 10.19 %",""
"2020-06-23","   .00 %","","  8.69 %",""
"2020-06-24","","   .00 %","  5.36 %",""
"2020-06-25","   .00 %","","  5.36 %",""
"2020-06-26","   .00 %","","  2.50 %",""
"2020-06-27","   .00 %","","  4.72 %",""
"2020-06-28","   .00 %","","  4.22 %",""
"2020-06-29","   .00 %","","  4.22 %",""
"2020-06-30","","   .00 %","  6.04 %",""
"2020-07-01","   .00 %","   .00 %","  6.04 %",""
"2020-07-02","   .00 %","","  3.82 %",""
"2020-07-03","   .00 %","","  3.48 %",""
"2020-07-04","   .00 %","","  5.02 %",""
"2020-07-05","   .00 %","","  3.21 %",""
"2020-07-06","   .00 %","   .00 %","  3.21 %","   .00 %"
"2020-07-07","   .00 %","   .00 %","  3.21 %",""
"2020-07-08","   .00 %","   .00 %","  1.54 %","   .00 %"
"2020-07-09","","   .00 %","  2.86 %",""
"2020-07-10","   .00 %","","  1.61 %",""
"2020-07-11","   .00 %","   .00 %","  2.94 %","   .00 %"
"2020-07-12","   .00 %","","  2.94 %",""
"2020-07-13","   .00 %","   .00 %","  2.94 %",""
"2020-07-14","   .00 %","","   .08 %","   .00 %"
"2020-07-15","","","  5.08 %","   .00 %"
"2020-07-16","   .00 %","","  4.80 %","   .00 %"
"2020-07-17","   .00 %","   .00 %","  6.80 %","   .00 %"
"2020-07-18","","","  9.53 %","   .00 %"
"2020-07-19","   .00 %","","  9.53 %","   .00 %"
"2020-07-20","   .00 %","","  6.58 %",""
"2020-07-21","   .00 %","","  6.30 %","   .00 %"
"2020-07-22","   .00 %","   .00 %","  5.04 %","   .00 %"
"2020-07-23","   .00 %","","  4.45 %","   .00 %"
"2020-07-24","   .00 %","   .00 %","  5.10 %",""
"2020-07-25","   .00 %","","  5.55 %"," 20.00 %"
"2020-07-26","   .00 %","","  5.96 %"," 20.00 %"
"2020-07-27","   .00 %","","  6.88 %",""
"2020-07-28","","","  6.28 %"," 30.00 %"
"2020-07-29","   .00 %","   .00 %","  5.63 %"," 30.00 %"
"2020-07-30","   .00 %","","  4.86 %",""
"2020-07-31","   .00 %","","  4.15 %"," 30.00 %"
"2020-08-01","   .00 %","   .00 %","  3.39 %"," 10.00 %"
"2020-08-02","   .00 %","","  2.29 %"," 10.00 %"
"2020-08-03","   .00 %","   .00 %","  3.99 %","   .00 %"
"2020-08-04","   .00 %","   .00 %","  4.30 %","   .00 %"
"2020-08-05","   .00 %","   .00 %","  5.34 %"," 20.00 %"
"2020-08-06","   .00 %","","  6.19 %"," 20.00 %"
"2020-08-07","   .00 %","","  7.36 %"," 20.00 %"
"2020-08-08"," 20.00 %","","  6.56 %"," 20.00 %"
"2020-08-09"," 30.00 %","   .00 %","  6.92 %"," 23.33 %"
"2020-08-10"," 30.00 %","","  5.68 %","  6.19 %"
"2020-08-11"," 30.00 %","","  4.45 %","  6.19 %"
"2020-08-12","","   .00 %","  3.88 %","  8.69 %"
"2020-08-13"," 30.00 %","   .00 %","  4.22 %"," 10.91 %"
"2020-08-14"," 10.00 %","","  4.01 %","  7.58 %"
"2020-08-15","   .00 %","","  3.74 %","  4.72 %"
"2020-08-16","   .00 %","","  3.65 %","  8.72 %"
"2020-08-17","   .00 %","","  3.26 %","  7.89 %"
"2020-08-18","   .00 %","","  3.92 %","  5.67 %"
"2020-08-19","  3.33 %","   .00 %","  3.95 %","  5.67 %"
"2020-08-20","  3.33 %","","  5.24 %","  7.21 %"
"2020-08-21","  6.19 %","   .00 %","  5.65 %","  3.21 %"
"2020-08-22","  8.69 %","   .00 %","  5.99 %","  2.97 %"
"2020-08-23","  8.69 %","","  5.36 %","  2.97 %"
"2020-08-24","  5.36 %","","  5.14 %","  2.97 %"
"2020-08-25","  9.80 %","","  4.57 %","  2.76 %"
"2020-08-26","  8.76 %","   .00 %","  4.40 %","  5.26 %"
"2020-08-27","  6.26 %","   .00 %","  4.47 %","  6.06 %"
"2020-08-28","  7.93 %","","  4.22 %","  6.06 %"
"2020-08-29","  7.93 %","   .00 %","  4.93 %","  6.06 %"
"2020-08-30","  3.48 %","   .00 %","  5.23 %","  5.72 %"
"2020-08-31","  3.21 %","   .00 %","  5.18 %","  3.22 %"
"2020-09-01","  3.21 %","   .00 %","  5.15 %","  2.90 %"
"2020-09-02","  1.54 %","","  5.12 %","  5.51 %"
"2020-09-03","  2.97 %","   .00 %","  4.24 %","  5.51 %"
"2020-09-04","  4.30 %","   .00 %","  4.78 %","  6.05 %"
"2020-09-05","  4.01 %","   .00 %","  5.41 %","  7.48 %"
"2020-09-06","  6.36 %","","  5.41 %","  6.24 %"
"2020-09-07","  6.36 %","   .00 %","  5.26 %","  3.63 %"
