"date","Australia","Brazil","China","France","India","Indonesia","Iran","Italy","Korea, South","Mexico","New Zealand","Russia","Spain","Sweden","Turkey","US","United Kingdom"
"2020-01-22","","","","","","","","","","","","","","","","",""
"2020-01-23","","","","","","","","","","","","","","","","0",""
"2020-01-24","","","","","","","","","","","","","","","","1",""
"2020-01-25","","","","1","","","","","","","","","","","","0",""
"2020-01-26","","","","0","","","","","","","","","","","","3",""
"2020-01-27","","","","0","","","","","","","","","","","","0",""
"2020-01-28","0","","","1","","","","","","","","","","","","0",""
"2020-01-29","0","","","1","","","","","","","","","","","","0",""
"2020-01-30","4","","","0","","","","","","","","","","","","0",""
"2020-01-31","0","","","0","0","","","","","","","","","","","1",""
"2020-02-01","3","","","1","0","","","0","","","","0","","0","","2","0"
"2020-02-02","0","","","0","1","","","0","","","","0","0","0","","0","0"
"2020-02-03","0","","","0","1","","","0","","","","0","0","0","","3","0"
"2020-02-04","1","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-05","0","","","0","0","","","0","","","","0","0","0","","1","0"
"2020-02-06","1","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-07","1","","","0","0","","","1","","","","0","0","0","","0","1"
"2020-02-08","0","","","5","0","","","0","","","","0","0","0","","0","0"
"2020-02-09","0","","","0","0","","","0","","","","0","1","0","","0","0"
"2020-02-10","0","","","0","0","","","0","","","","0","0","0","","0","5"
"2020-02-11","0","","","0","0","","","0","","","","0","0","0","","1","0"
"2020-02-12","0","","","0","0","","","0","","","","0","0","0","","0","1"
"2020-02-13","0","","","0","0","","","0","","","","0","0","0","","2","0"
"2020-02-14","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-15","0","","","1","0","","","0","","","","0","0","0","","0","0"
"2020-02-16","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-17","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-18","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-19","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-20","0","","","0","0","","3","0","","","","0","0","0","","0","0"
"2020-02-21","4","","","0","0","","13","17","","","","0","0","0","","20","0"
"2020-02-22","3","","","0","0","","10","42","","","","0","0","0","","0","0"
"2020-02-23","0","","","0","0","","15","93","","","","0","0","0","","0","0"
"2020-02-24","0","","","0","0","","18","74","","","","0","0","0","","18","4"
