"date","Mizoram/Aizawl","Mizoram/Champhai","Mizoram/Hnahthial","Mizoram/Khawzawl","Mizoram/Kolasib","Mizoram/Lawngtlai","Mizoram/Lunglei","Mizoram/Mamit","Mizoram/Saiha","Mizoram/Saitual","Mizoram/Serchhip"
"2020-03-25","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","",""
"2020-06-03","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","",""
"2020-06-05"," ##.## %","","","","","","","","","",""
"2020-06-07"," ##.## %","","","","","","","","","",""
"2020-06-08","","","","","","","","","","",""
"2020-06-09"," ##.## %","","","","","","","","","",""
"2020-06-10","  4.21 %","","","","","","","","","",""
"2020-06-11"," 14.97 %","","","","","","","","","",""
"2020-06-12","  7.36 %","","","","","","","","","",""
"2020-06-13"," 11.81 %","","","","","","","","","",""
"2020-06-14","","","","","","","","","","",""
"2020-06-15","","","","","","","","","","",""
"2020-06-16"," 23.24 %","","","","","","","","","",""
"2020-06-18","","","","","","","","","","",""
"2020-06-19"," 21.57 %","","","","","","","","","",""
"2020-06-20","","","","","","",""," ##.## %","","",""
"2020-06-21","  9.89 %","","","","","","","","","",""
"2020-06-22","  8.94 %","","","","","",""," ##.## %"," 62.50 %","",""
"2020-06-23","  3.48 %","","","","","","","","","",""
"2020-06-24","  1.84 %","","","","",""," ##.## %","","","",""
"2020-06-25","  1.84 %","","","","","","","","","",""
"2020-06-26","  2.35 %","","","",""," 36.67 %","","","","",""
"2020-06-27","  2.90 %","","","","","",""," 20.44 %"," 62.50 %","",""
"2020-06-28","","","","","","",""," 18.99 %","","",""
"2020-06-29","  2.90 %"," 14.50 %","","","","","","","","",""
"2020-06-30","  1.68 %","","","","   .00 %",""," ##.## %","  7.88 %"," 62.50 %","",""
"2020-07-01","","","","","","","","  2.16 %","","",""
"2020-07-02","  2.21 %"," 16.72 %","","","",""," ##.## %","","","",""
"2020-07-03","  1.07 %","","","","","","","","","",""
"2020-07-04","","  4.72 %","","","","","  1.73 %","","","",""
"2020-07-05","  7.71 %","","","",""," 46.67 %","",""," 46.94 %","",""
"2020-07-06","  9.59 %","","","","","","  3.33 %",""," 27.85 %","",""
"2020-07-07","","","","","  1.82 %","","","  2.16 %","","",""
"2020-07-08","  9.59 %","","","","","","  4.00 %","","",""," 53.33 %"
"2020-07-10"," 16.65 %","","","","","","","","","",""
"2020-07-11"," 16.90 %","","","","","","  4.35 %","  1.05 %","","",""
"2020-07-12"," 10.71 %","","","","","","","","","",""
"2020-07-13","  9.29 %","  4.72 %","","","","","","","","",""
"2020-07-14"," 10.44 %","","","","","","",""," 25.35 %","",""
"2020-07-16","  6.55 %","","","",""," 51.67 %","  6.08 %","  1.00 %","",""," 61.33 %"
"2020-07-17","  7.22 %","  6.22 %","","","","","",""," 27.96 %","",""
"2020-07-18","  6.58 %","","","","  1.82 %","","","","  7.96 %","",""
"2020-07-20","  8.35 %","  6.22 %","","","","","","","","",""
"2020-07-22"," 10.00 %","","","","","","  5.86 %","","","",""
"2020-07-23","  7.25 %","  5.67 %","","","  3.48 %","","  3.82 %","","","",""
"2020-07-24","","","","","","","  4.56 %","","","",""
"2020-07-25","  9.97 %","","","","  5.02 %","","","","","",""
"2020-07-26","  9.62 %","","","","","","","","","",""
"2020-07-28","  9.91 %","","","","","","","  1.00 %","","",""
"2020-07-29","  8.09 %","","","",""," 45.95 %","","","","",""
"2020-07-30","  8.35 %","","","","  3.59 %"," 25.95 %","  4.49 %","","",""," 21.33 %"
"2020-07-31","  4.71 %","","","","","","","","","",""
"2020-08-01","  4.98 %","","","","","","  3.04 %","","  3.52 %",""," 24.19 %"
"2020-08-02","  7.30 %","","","","","","  2.68 %","","","",""
"2020-08-03","  7.02 %","  5.67 %","","","  3.32 %"," 26.86 %","  5.92 %","","",""," 26.69 %"
"2020-08-04","  5.81 %","","","",""," 16.86 %","  5.47 %","","","",""
"2020-08-05","  5.94 %","","","","","","","","",""," 15.58 %"
"2020-08-06","  7.55 %","  8.74 %","","","  4.74 %","  1.86 %","  5.41 %","",""," 46.67 %",""
"2020-08-07","  2.83 %","","",""," 28.41 %","","","","","",""
"2020-08-08","  2.37 %","  6.08 %","",""," 28.64 %","","","","","",""
"2020-08-09","  3.93 %","  3.58 %","",""," 38.71 %","  1.78 %","","","","",""
"2020-08-10","  3.91 %","  3.34 %","",""," 38.68 %","","  6.21 %","","","",""
"2020-08-11","  2.09 %","","",""," 37.96 %","","","","","",""
"2020-08-12","  2.52 %","","",""," 16.01 %","","  6.95 %","","","",""
"2020-08-13","  2.28 %","  4.67 %","","","","","","","","",""
"2020-08-14","   .99 %","","",""," 14.54 %","","  4.10 %","","","",""
"2020-08-15","  2.31 %","","",""," 13.32 %","","  3.27 %","","","",""
"2020-08-16","  4.73 %","","",""," 14.73 %","","","","","",""
"2020-08-17","  4.44 %","","",""," 14.57 %","  2.61 %","  3.06 %","","",""," 11.58 %"
"2020-08-18","  5.14 %","","",""," 12.07 %","","  2.72 %","","","",""
"2020-08-19","  5.75 %","","",""," 14.15 %","  6.50 %","  1.88 %","  3.86 %","","",""
"2020-08-20","  4.52 %","","","","  8.54 %","","","  1.36 %","","",""
"2020-08-21","  2.52 %","","","","  6.59 %","","  1.67 %","","  3.38 %","",""
"2020-08-22","  2.45 %","  1.60 %","","","  6.31 %","","","","",""," 13.25 %"
"2020-08-23","  1.87 %","","","","  6.87 %","","  1.27 %","",""," 46.67 %",""
"2020-08-24","","","","","","","  1.27 %","","","",""
"2020-08-25","  2.18 %","","","","  4.74 %","","   .53 %","  3.26 %","","",""
"2020-08-26","  2.19 %","","","","  3.28 %","","","  4.87 %","",""," 13.47 %"
"2020-08-27","  1.86 %","","","","  2.31 %","","   .87 %","","","",""
"2020-08-28","  2.59 %","","","","","","   .87 %","  6.41 %","","",""
"2020-08-29","  2.47 %","   .26 %","","","","","   .69 %","","","",""
