"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi"
"2020-03-15","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","",""
"2020-04-08","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","",""
"2020-04-19","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","",""
"2020-04-24","","","","","","","","","","","","",""
"2020-04-28","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","",""
"2020-05-01","","","","","1","","","","","","","",""
"2020-05-02","","","","","1","","","","","","","",""
"2020-05-03","","","","","","","","","","","","",""
"2020-05-05","","","","","1","","","","","","","",""
"2020-05-08","","","","","1","","","","","","","",""
"2020-05-09","","","","","","","","","","","","",""
"2020-05-10","","","","","1","","","","","","","",""
"2020-05-12","","","","","","","","","","","","",""
"2020-05-13","","","","","1","","","","","","","",""
"2020-05-14","","","","","1","","","","","","","",""
"2020-05-15","","","","","1","","","","","","","",""
"2020-05-16","","","","","1","","","","","","","",""
"2020-05-17","","","","","1","","","","","","","",""
"2020-05-18","","","","","1","","","","","","","",""
"2020-05-19","","","","","","","","","","","","",""
"2020-05-20","","","","","1","","","","","","","",""
"2020-05-21","","","","","","","","","","","","",""
"2020-05-22","","","","","1","","","","","","","",""
"2020-05-23","","","","","1","","","","","","","",""
"2020-05-24","","","","","3","","","","","","","",""
"2020-05-25","","","","","4","","","","","","","",""
"2020-05-26","","","","","4","","","","","","","",""
"2020-05-27","","","","","4","","","","","","","",""
"2020-05-28","","","","","4","","","","","","","",""
"2020-05-29","","","","","3","","","1","","","","",""
"2020-05-30","","","","","3","","1","","","","","",""
"2020-05-31","","","","","3","","1","1","","","","",""
"2020-06-01","","","","","3","","1","1","","","","",""
"2020-06-02","","","","1","4","","1","1","","","","",""
"2020-06-03","","","","","5","","1","1","","","","",""
"2020-06-04","","","","1","7","","1","1","","","","",""
"2020-06-05","1","","","1","7","","1","1","","","","",""
"2020-06-06","1","","","1","7","","1","1","","","","",""
"2020-06-07","1","","","1","9","","1","1","","","","",""
"2020-06-08","1","","","1","9","","1","1","","","","",""
"2020-06-09","1","","","","9","","1","1","","","","",""
"2020-06-10","1","","","1","11","","1","1","","","","",""
"2020-06-11","","","","","11","","","1","","","","",""
"2020-06-12","1","","","1","14","","","3","","","","",""
"2020-06-13","","","","1","16","","","3","","","","1",""
"2020-06-14","1","","","1","16","","1","","","","","2",""
"2020-06-15","1","","","1","16","","1","3","","","","2",""
"2020-06-16","1","","","","16","","2","3","","","","2",""
"2020-06-17","1","","","","16","","2","3","","","","2",""
"2020-06-18","1","1","","","16","","2","3","","","","",""
"2020-06-19","1","1","","","16","","2","3","","","","",""
"2020-06-20","2","1","","","16","","2","3","","","","2",""
"2020-06-21","2","1","","","16","","","3","","","","",""
"2020-06-22","2","1","","","16","","2","3","","1","","2",""
"2020-06-23","2","1","","1","17","","2","3","","1","","3",""
"2020-06-24","2","1","","1","20","","2","3","","","2","3",""
"2020-06-25","2","1","","","20","","2","3","","","2","3","1"
"2020-06-26","2","1","","1","21","","2","","","","","3","1"
"2020-06-27","2","1","","1","21","","2","3","","1","2","3","1"
"2020-06-28","2","","","1","21","","3","3","","1","2","3",""
"2020-06-29","2","1","","","22","","3","3","","1","2","3","1"
"2020-06-30","","1","","1","24","","3","3","","1","2","3","1"
"2020-07-01","2","1","","1","24","","3","3","","","2","3","1"
"2020-07-02","2","1","","","25","","3","3","","1","2","3","1"
"2020-07-03","2","1","","1","25","","3","3","","","2","3",""
"2020-07-04","2","1","","","25","","3","3","","","2","3","1"
"2020-07-05","2","1","","","25","","3","3","","","","3","1"
