"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi"
"2020-03-15","","","","","","","","","","","","",""
"2020-03-19","","","","","1","","","","","","","",""
"2020-03-25","","","","","","","","","","","","",""
"2020-03-28","","","","","1","","","","","","","",""
"2020-03-29","","","","","1","","","","","","","",""
"2020-04-02","","","","","","","","","","","","",""
"2020-04-03","","","","","1","","","","","","","",""
"2020-04-04","","","","","","","","","","","","",""
"2020-04-05","","","","","1","","","","","","","",""
"2020-04-06","","","","","1","","","","","","","",""
"2020-04-08","","","","","1","","","","","","","",""
"2020-04-14","","","","","","","","","","","","",""
"2020-04-17","","","","","1","","","","","","","",""
"2020-04-18","","","","","","","","","","","","",""
"2020-04-19","","","","","1","","","","","","","",""
"2020-04-20","","","","","1","","","","","","","",""
"2020-04-23","","","","","1","","","","","","","",""
"2020-04-24","","","","","","","","","","","","",""
"2020-04-28","","","","","1","","","","","","","",""
"2020-04-29","","","","","3","","","","","","","",""
"2020-04-30","","","","","4","5","2","","","","","",""
"2020-05-01","","","","","5","","","","","","","",""
"2020-05-02","","","","","7","","","","","","","",""
"2020-05-03","","","","","","","","","","","","",""
"2020-05-05","","","","","7","","","","","","","",""
"2020-05-08","","","","","13","5","","","","","","",""
"2020-05-09","","","","","","5","3","","","","","",""
"2020-05-10","","","","","13","","","","","","","",""
"2020-05-12","","","","","","","3","","","","","",""
"2020-05-13","","","","","13","","3","","","","","",""
"2020-05-14","","","","","15","6","4","","","","","",""
"2020-05-15","","","","","15","","4","","","","","1",""
"2020-05-16","","","","","15","","4","","","","","1",""
"2020-05-17","","","","","15","7","","","","","","",""
"2020-05-18","","","","","15","","4","","","","","",""
"2020-05-19","","","","","","","4","","","","","1",""
"2020-05-20","","","","","16","7","4","","","","","1",""
"2020-05-21","","","","","","7","4","","","","","1",""
"2020-05-22","","","","","16","7","4","","","","","1",""
"2020-05-23","","","","","16","7","4","","","","","3",""
"2020-05-24","2","","","","16","","4","","","","","3","1"
"2020-05-25","","","","","16","7","4","","","","","3",""
"2020-05-26","2","","","","22","7","4","","","","","3",""
"2020-05-27","2","","","","22","7","16","","","","","6",""
"2020-05-28","2","","","","22","7","16","","","","","",""
"2020-05-29","2","","","","25","7","17","2","","","","23","1"
"2020-05-30","","","","","25","7","17","","","","","",""
"2020-05-31","2","","","","25","7","17","2","","","","23","1"
"2020-06-01","","5","","7","28","7","103","3","","","","35","7"
"2020-06-02","10","6","","7","28","13","111","6","","","","39",""
"2020-06-03","","","","","31","13","112","3","","","5","40",""
"2020-06-04","17","10","","7","40","","122","8","1","","5","42","7"
"2020-06-05","21","11","11","7","49","29","124","9","","3","5","42",""
"2020-06-06","46","11","11","7","57","37","127","14","1","","34","42","7"
"2020-06-07","59","11","","7","68","44","127","15","","","98","42","17"
"2020-06-08","61","18","16","27","99","45","210","15","21","3","98","59",""
"2020-06-09","61","18","23","","126","45","210","21","21","3","98","","18"
"2020-06-10","66","","27","30","156","54","210","27","","3","98","74","22"
"2020-06-11","","","28","","181","75","","27","27","3","99","75","22"
"2020-06-12","70","","28","38","210","75","","27","","23","99","75",""
"2020-06-13","","","28","44","231","83","","27","","23","192","77","22"
"2020-06-14","71","29","29","50","241","83","215","","","","192","77","22"
"2020-06-15","71","33","34","44","250","83","215","28","27","23","252","82","22"
"2020-06-16","72","","","","256","95","221","28","27","","254","82","22"
"2020-06-17","72","33","37","","270","98","229","36","","23","254","82","24"
"2020-06-18","72","40","37","","350","113","238","39","","33","262","","24"
"2020-06-19","73","42","40","","352","113","262","48","27","39","262","",""
"2020-06-20","73","42","40","","356","116","262","48","","39","262","92","24"
"2020-06-21","73","45","40","","399","116","","49","","39","263","","26"
"2020-06-22","74","46","42","","406","126","262","49","","39","263","92",""
"2020-06-23","83","46","42","44","411","134","262","49","","39","321","92","27"
"2020-06-24","94","46","44","44","450","150","271","56","50","","321","104",""
"2020-06-25","107","50","","","461","150","271","61","","","322","104","30"
"2020-06-26","114","53","47","44","471","","298","","","","","112","36"
"2020-06-27","145","55","52","44","505","","298","63","","39","322","125","36"
"2020-06-28","147","","57","47","509","154","332","77","","46","354","129",""
"2020-06-29","152","61","59","","545","","334","84","52","56","355","143","44"
"2020-06-30","","66","62","47","538","236","334","90","","59","383","143","44"
"2020-07-01","157","67","","47","542","241","339","92","60","","383","186","57"
"2020-07-02","157","72","","","552","268","339","92","61","60","402","209","59"
"2020-07-03","162","74","65","49","566","281","339","106","61","","415","219",""
"2020-07-04","163","74","","","566","281","339","125","","","416","219","59"
"2020-07-05","164","74","66","","575","286","339","129","","","","220","60"
"2020-07-06","164","80","71","51","590","293","352","134","63","65","418","220",""
"2020-07-07","174","82","72","51","595","300","355","135","63","","418","223","63"
"2020-07-08","176","","73","53","608","300","358","141","65","","","223","63"
"2020-07-09","178","85","","53","614","301","367","141","","","418","223","64"
"2020-07-10","","92","","53","635","301","367","142","","","418","228","64"
"2020-07-11","178","","76","","641","301","369","","","65","419","228",""
"2020-07-12","","92","","53","641","301","429","142","","","419","228","72"
"2020-07-13","191","","76","","653","305","429","144","","","419","267",""
"2020-07-14","","","","","653","305","440","144","","","419","267","72"
"2020-07-15","195","","","55","685","306","444","150","65","","","288","83"
