"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-04-13","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","",""
"2020-05-09","","","0","","","","","","","",""
"2020-05-13","","","1","","","","","","","",""
"2020-05-18","","","1","","","","","","","",""
"2020-05-20","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","",""
"2020-05-26","","","0","","","","","","","",""
"2020-05-28","","","","","","","","","","",""
"2020-05-29","","","0","","","","","","","",""
"2020-06-01","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","",""
"2020-06-03","","","1","","","","","","","",""
"2020-06-07","","","0","","","","","","","",""
"2020-06-08","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","",""
"2020-06-10","","","0","","","","","","","",""
"2020-06-12","","","2","","","","","","","",""
"2020-06-13","","","","","","","","","1","",""
"2020-06-14","","","","","","","","","","",""
"2020-06-16","","","","","","","","","2","",""
"2020-06-17","","","2","","","","1","","","",""
"2020-06-18","","","","","","","","","","",""
"2020-06-22","","","","","","","0","","","",""
"2020-06-23","","","","","","","","","","4",""
"2020-06-26","","","0","","","","","","","",""
"2020-06-28","","","0","","","","","","","",""
"2020-06-29","","","0","","","","","","","",""
"2020-06-30","","","","","","","","","0","",""
"2020-07-01","","","0","","","","","","","",""
"2020-07-02","","","","","","","","","","",""
"2020-07-03","","","0","","","","","","0","",""
"2020-07-04","","","0","","","","","","","",""
"2020-07-05","","","0","","","","","","","",""
"2020-07-06","","","0","","","","","","0","",""
"2020-07-07","","","0","","","","","","","",""
"2020-07-08","","","0","","","","2","","","",""
"2020-07-09","","","0","","","","","","","",""
"2020-07-10","","","0","","","","","","","",""
"2020-07-16","","","0","0","","","1","","0","",""
"2020-07-17","","","0","","","","","","","",""
"2020-07-18","","","0","","","","","","0","",""
"2020-07-19","","","0","","","","0","","","",""
"2020-07-20","","","3","","","","","","0","",""
"2020-07-21","","","15","","","","","","2","0",""
"2020-07-22","","","7","","","","","","","0",""
"2020-07-23","","","4","","","","0","","0","",""
"2020-07-24","","1","3","","1","","","","","0",""
"2020-07-25","","0","7","","","","","","","0",""
"2020-07-26","","0","41","0","0","","","","","0","0"
"2020-07-27","","0","34","0","31","","-3","","3","","-1"
"2020-07-28","","","0","","","2","","","6","0","0"
"2020-07-29","","","2","1","9","","","","0","",""
"2020-07-30","","","3","","","0","","","0","0",""
"2020-07-31","","","4","","1","0","","","","",""
"2020-08-01","","0","36","","0","","","","0","1","0"
"2020-08-02","","0","12","","0","","","","","",""
"2020-08-03","","","0","","0","","","","","0",""
"2020-08-04","","","54","","1","","4","","0","","7"
"2020-08-05","","","5","","4","","0","","0","",""
"2020-08-06","","","6","","0","","","","0","0",""
"2020-08-07","","0","63","","0","","","","2","1","0"
"2020-08-08","","","4","0","7","","","","0","1",""
"2020-08-09","","12","53","","2","","","","","",""
"2020-08-10","","","3","","0","","","","5","",""
