"date","Mizoram/Aizawl","Mizoram/Champhai","Mizoram/Hnahthial","Mizoram/Khawzawl","Mizoram/Kolasib","Mizoram/Lawngtlai","Mizoram/Lunglei","Mizoram/Mamit","Mizoram/Saiha","Mizoram/Saitual","Mizoram/Serchhip"
"2020-03-25","1","","","","","","","","","",""
"2020-05-05","1","","","","","","","","","",""
"2020-06-02","13","","","","","","","","","",""
"2020-06-03","14","","","","","","","","","",""
"2020-06-04","","","","","","","1","1","","1",""
"2020-06-05","20","","","","","","2","","","",""
"2020-06-07","21","","","","","2","","8","","",""
"2020-06-08","","5","","2","","","","","1","",""
"2020-06-09","12","","","","11","3","45","","","",""
"2020-06-10","13","","","","","4","","","","3","1"
"2020-06-11","21","","","","","","","9","","",""
"2020-06-12","22","","","","","","","","2","",""
"2020-06-13","28","","","","","","","","","",""
"2020-06-14","","","","","","","","","4","",""
"2020-06-15","","","","","","","","14","","",""
"2020-06-16","32","","","","","","","","","",""
"2020-06-18","","","","","","8","46","","8","",""
"2020-06-19","32","","","","11","","","","","",""
"2020-06-20","","8","","3","","","","18","","","3"
"2020-06-21","33","","","","","","","","","",""
"2020-06-22","33","","","","","","","18","9","",""
"2020-06-23","33","","","","11","","","","","3",""
"2020-06-24","35","8","","","","","47","","","",""
"2020-06-25","35","","","3","11","","","","","",""
"2020-06-26","37","","","","","8","","","","3","3"
"2020-06-27","38","9","","","","","","19","9","",""
"2020-06-28","","","","","","","","20","","",""
"2020-06-29","38","9","","","","","","","","",""
"2020-06-30","38","","","","11","","47","20","18","",""
"2020-07-01","","","","","","","","20","","",""
"2020-07-02","39","10","","","","","47","","","","3"
"2020-07-03","39","","","","","","","","","",""
"2020-07-04","","10","","","","","49","","","",""
"2020-07-05","53","","","3","","12","","","22","",""
"2020-07-06","58","","","","","","54","","23","",""
"2020-07-07","","","","","12","","","20","","",""
"2020-07-08","58","","","","","","57","","","","5"
"2020-07-10","80","","","","","","","","","",""
"2020-07-11","81","","","","","","58","20","","",""
"2020-07-12","85","","","","","","","","","",""
"2020-07-13","87","10","","","","","","","","",""
"2020-07-14","92","","","","","","","","23","",""
"2020-07-16","109","","","","","21","63","21","","","7"
"2020-07-17","114","12","","","","","","","26","",""
"2020-07-18","116","","","","12","","","","26","",""
"2020-07-20","129","12","","","","","","","","",""
"2020-07-22","147","","","","","","65","","","",""
"2020-07-23","154","13","","","13","","65","","","",""
"2020-07-24","","","","","","","71","","","",""
"2020-07-25","182","","","","14","","","","","",""
"2020-07-26","182","","","","","","","","","",""
"2020-07-28","205","","","","","","","21","","",""
"2020-07-29","215","","","","","22","","","","",""
"2020-07-30","228","","","","13","22","72","","","","7"
"2020-07-31","228","","","","","","","","","",""
"2020-08-01","231","","","","","","73","","26","","8"
"2020-08-02","287","","","","","","74","","","",""
"2020-08-03","297","13","1","","14","23","86","","","","9"
"2020-08-04","297","","","","","23","92","","","",""
"2020-08-05","299","","","","","","","","","","10"
"2020-08-06","327","15","","","15","23","93","","","4",""
"2020-08-07","329","","","","34","","","","","",""
"2020-08-08","333","16","","","37","","","","","",""
"2020-08-09","359","14","","","53","24","","","","",""
"2020-08-10","361","15","","","57","","98","","","",""
"2020-08-11","362","","","","59","","","","","",""
"2020-08-12","372","","","","69","","103","","","",""
"2020-08-13","372","16","","","","","","","","",""
"2020-08-14","377","","","","70","","105","","","",""
"2020-08-15","404","","","","96","","108","","","",""
"2020-08-16","454","","","","110","","","","","",""
"2020-08-17","460","","","","113","25","108","","","","12"
"2020-08-18","476","","2","","118","","112","","","",""
"2020-08-19","497","","","","132","31","113","24","","",""
"2020-08-20","502","","","","144","","","21","","",""
"2020-08-21","514","","","","151","","114","","27","",""
"2020-08-22","519","16","","","153","","","","","","13"
"2020-08-23","522","","","","164","","115","","","4",""
"2020-08-24","","","","","","","115","","","",""
"2020-08-25","553","","","","166","","115","23","","",""
"2020-08-26","559","","","","169","","","26","","","15"
"2020-08-27","563","","","","169","","118","","","",""
"2020-08-28","589","","","","","","119","28","","",""
"2020-08-29","589","16","","","","","119","","","",""
"2020-08-30","590","","","","171","","","30","","","15"
"2020-08-31","","","","","174","","","","","",""
"2020-09-01","590","","","","175","31","119","","","",""
"2020-09-02","597","","","","176","","","","","",""
"2020-09-03","614","","","","179","","","","","",""
"2020-09-04","618","","","","181","","119","","","","15"
"2020-09-05","627","","","","","31","120","33","30","",""
"2020-09-06","654","","","","186","","119","","","",""
"2020-09-07","662","","","","192","","123","","","","18"
"2020-09-08","665","","","","197","31","","","","","19"
"2020-09-09","734","","","","","","","","","","19"
"2020-09-10","871","17","","","200","","","","","",""
"2020-09-11","887","","","","203","","124","","30","","19"
"2020-09-12","905","","","","","33","124","","31","9",""
"2020-09-13","933","","","","206","","128","","","",""
"2020-09-14","944","","","","207","","","33","","11",""
"2020-09-15","979","","4","4","","34","129","","","",""
"2020-09-16","983","","","","209","","","34","","","24"
"2020-09-17","1005","","5","","209","","130","","","","26"
"2020-09-18","1024","","5","","210","","136","","","","28"
"2020-09-19","1032","17","","","","","141","34","31","","29"
"2020-09-20","1041","","","","214","38","166","35","","",""
"2020-09-21","1045","","","","","40","","36","","",""
"2020-09-22","1156","","","","214","","","","31","",""
"2020-09-23","1267","","","","","","177","","","","36"
"2020-09-24","1305","","","","","","199","37","","","43"
"2020-09-25","1363","","","","215","","210","39","","",""
"2020-09-26","1426","","","","216","42","211","","31","","52"
"2020-09-27","1449","19","5","","","","","41","","11","56"
"2020-09-28","1485","","","4","216","42","218","","","",""
"2020-09-29","1564","19","","","","42","232","","","",""
"2020-09-30","1621","20","","","","42","241","41","","","67"
"2020-10-01","1637","20","","","226","47","241","","","",""
"2020-10-02","1654","21","","","237","67","249","47","","",""
"2020-10-03","1657","","","","","82","282","48","","","69"
"2020-10-04","1657","23","","","","83","295","49","","","69"
"2020-10-05","1657","","","","","","","49","","","69"
"2020-10-06","1661","23","","","240","83","","49","","","70"
"2020-10-07","1674","","","","","84","303","49","","12","72"
"2020-10-08","1684","","","","","","311","","","14","73"
"2020-10-09","1687","23","","","243","","311","53","","","73"
"2020-10-10","1689","","","","245","86","311","","","",""
"2020-10-11","1698","23","","","247","87","","53","","","74"
"2020-10-12","1707","","","","","","311","","","",""
"2020-10-13","1709","23","","","255","87","316","55","","","75"
"2020-10-14","1716","24","","","256","88","316","55","","","75"
"2020-10-15","1723","","","","257","","316","","","",""
"2020-10-16","1729","","6","","258","","316","56","","","75"
"2020-10-17","1740","25","","","258","90","","","","15","76"
"2020-10-18","1757","","","","","","318","","","",""
"2020-10-19","","","","","","","","56","","",""
"2020-10-20","1777","27","","","259","94","","57","","","79"
"2020-10-21","1792","","8","","","94","323","57","","","87"
"2020-10-22","1820","","","","","","325","","","","88"
"2020-10-23","1859","","","","","95","329","","","","93"
"2020-10-24","1880","27","","","261","99","329","","","","96"
"2020-10-25","1924","","13","6","262","","","","","","99"
"2020-10-26","2014","","","","267","","","57","","16",""
"2020-10-27","2044","27","18","","267","100","","59","32","","101"
"2020-10-28","2120","","","9","","102","329","","","17",""
"2020-10-29","2163","","","","","106","330","","","","102"
"2020-10-30","2197","27","","","268","106","332","60","","","102"
"2020-10-31","2223","","","","","","333","61","","","102"
"2020-11-01","2255","","","","","108","","","","",""
"2020-11-02","2256","","","","268","108","333","61","","","102"
"2020-11-03","2289","28","","9","268","","333","","","18","102"
"2020-11-04","2360","58","18","","","","333","","32","",""
"2020-11-05","2422","59","","","","109","334","61","","",""
"2020-11-06","2450","62","","9","","110","","","","",""
"2020-11-07","2490","63","","","","110","335","","","","102"
"2020-11-08","2584","65","","","","113","","","","",""
"2020-11-09","2587","","","","270","113","336","62","","",""
"2020-11-10","2644","66","","","","115","","","","",""
"2020-11-11","2688","","19","","","131","","","","18",""
"2020-11-12","2705","","","","273","136","","","","",""
"2020-11-13","2755","66","","","","136","337","70","","19","109"
"2020-11-14","2788","66","","20","","137","347","73","","20",""
"2020-11-15","2809","66","","","","139","348","","","","110"
"2020-11-16","2809","66","","","","139","","74","","22",""
"2020-11-17","2838","68","","","","152","352","","","",""
"2020-11-18","2858","","20","","273","161","","74","","","117"
"2020-11-19","2865","68","","21","281","169","","","","","125"
"2020-11-20","2879","74","","24","","172","","76","","",""
"2020-11-21","2925","","20","","283","180","353","79","","","131"
"2020-11-22","2985","74","","23","","194","356","84","","23","153"
"2020-11-23","2987","","","","285","","366","","","23","154"
"2020-11-24","2996","82","","23","","216","","84","34","23","163"
"2020-11-25","3005","","","","","232","","84","","","173"
"2020-11-26","3016","84","","","285","238","366","","","23","174"
"2020-11-27","3020","88","","","287","247","369","84","","","175"
"2020-11-28","3030","88","20","","","251","369","","","23","179"
"2020-11-29","3037","89","","","287","256","370","85","35","24",""
"2020-11-30","3040","88","","23","287","256","370","85","","","179"
"2020-12-01","3053","92","","","287","260","370","85","","25","179"
"2020-12-26","3053","","","","","260","","","","",""
"2020-12-27","3054","","","","","262","371","","","",""
"2020-12-28","3054","92","20","","","264","371","","","","179"
"2020-12-29","3058","","","","","266","371","","","","179"
"2020-12-30","3060","","21","","287","","375","","","25","181"
"2020-12-31","3063","","","","287","266","377","","","",""
"2021-01-01","3068","","","","288","","383","","","",""
"2021-01-02","3071","","","","","266","383","","","",""
"2021-01-03","3072","","","","288","267","384","","","25","182"
"2021-01-04","3072","92","21","","","","384","","","",""
"2021-01-05","3080","","","","289","267","386","","","","182"
"2021-01-06","3093","","","","","267","386","","","",""
"2021-01-07","3099","","","","290","267","388","","","",""
"2021-01-08","3102","","21","","290","","388","","","","182"
"2021-01-09","3113","","","","","269","389","","36","26",""
"2021-01-10","3124","","","","","274","391","","35","",""
"2021-01-11","3124","","","","290","","392","","","",""
"2021-01-12","3127","","","","292","274","393","","","",""
"2021-01-13","3128","","","24","293","","394","","35","","182"
"2021-01-14","3134","","","","","275","394","","","",""
"2021-01-15","3134","","","","","","394","","","",""
"2021-01-16","3137","","","","293","276","394","","","",""
"2021-01-17","3144","","","","294","","","","","",""
"2021-01-18","3145","","","","","276","","","","",""
"2021-01-19","3150","","","","","277","394","","","",""
"2021-01-20","3153","","","","294","","395","","36","",""
"2021-01-21","3162","","","","295","278","395","","","26","183"
"2021-01-22","3165","","","24","295","","395","","","",""
"2021-01-23","3165","","","","","278","","","","",""
"2021-01-24","3167","","","","","","","","","",""
"2021-01-25","3167","","","","","278","","","","",""
"2021-01-26","3172","","","","","","","","","",""
"2021-01-27","3175","","","","","","","","","",""
"2021-01-28","3176","","","","","278","397","","","",""
"2021-01-29","3177","","","","","","","","","",""
"2021-01-30","3179","","22","","","","","","","","183"
"2021-01-31","3184","","","","296","","","","","",""
"2021-02-01","3184","","","","","","","","","",""
"2021-02-02","3185","","","","","","","","36","",""
"2021-02-03","3186","","","","296","279","398","","","",""
"2021-02-04","3186","","","","","","","","","",""
"2021-02-05","3189","","","","","","399","","","",""
"2021-02-06","3190","","","","","","399","","","",""
"2021-02-07","3191","","","","","","","","","",""
"2021-02-08","3192","","22","","","","","","","",""
"2021-02-09","3194","","","","296","280","","","","",""
"2021-02-10","3196","","","","","","399","","","",""
"2021-02-11","3196","","","","","281","400","","","",""
"2021-02-12","","","","","","281","401","","","",""
"2021-02-13","3197","","","","","","","","","",""
"2021-02-14","3197","","","","","","","","","",""
"2021-02-15","3197","","","","","","401","","","",""
"2021-02-16","3198","93","","","","282","","","","",""
"2021-02-17","3199","","","","","","","","","",""
"2021-02-18","3199","","","","","284","","","","27",""
"2021-02-19","3200","94","","","","287","402","","","",""
"2021-02-20","3200","95","","","","288","","","","",""
"2021-02-21","","97","","","","","","","","",""
"2021-02-22","","","","","","","402","","","",""
"2021-02-23","3201","","","","","","","","","",""
"2021-02-24","3203","","","","","","403","","","",""
"2021-02-25","","97","","","","288","","","","",""
"2021-02-26","3207","98","","","","","","","","28",""
"2021-02-27","3209","","","","","288","","86","","",""
