"date","Punjab/Amritsar","Punjab/Barnala","Punjab/Bathinda","Punjab/Faridkot","Punjab/Fatehgarh Sahib","Punjab/Fazilka","Punjab/Ferozepur","Punjab/Gurdaspur","Punjab/Hoshiarpur","Punjab/Jalandhar","Punjab/Kapurthala","Punjab/Ludhiana","Punjab/Mansa","Punjab/Moga","Punjab/Pathankot","Punjab/Patiala","Punjab/Rupnagar","Punjab/S.A.S. Nagar","Punjab/Sangrur","Punjab/Shahid Bhagat Singh Nagar","Punjab/Sri Muktsar Sahib","Punjab/Tarn Taran"
"2020-03-19","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","   .00 %","",""
"2020-03-27","","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-04-02","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-04-05","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","","",""
"2020-04-06","   .00 %","","","","","","","","","","","   .00 %","","","","","","   .00 %","","","",""
"2020-04-07","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-04-08","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","",""
"2020-04-09","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","","","   .00 %","","","",""
"2020-04-10","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","",""
"2020-04-11","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","",""
"2020-04-12","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","",""
"2020-04-13","","","","","","","","","","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","",""
"2020-04-14","","","","","","","","","","   .00 %","","","","","   .00 %","","","   .00 %","","","",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","",""
"2020-04-17","","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","","","","",""
"2020-04-18","","","","","","","","","","   .00 %","","","","","","   .00 %","","   .00 %","","","",""
"2020-04-19","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","",""
"2020-04-20","","","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","",""
"2020-04-22","   .00 %","","","","","","","","","   .00 %","","","","","","   .00 %","","","","","",""
"2020-04-23","","","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-04-24","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","","","",""
