"date","Karnataka/BAGALKOTE","Karnataka/BIDAR","Karnataka/Bagalkote","Karnataka/Ballari","Karnataka/Belagavi","Karnataka/Bengaluru Rural","Karnataka/Bengaluru Urban","Karnataka/Bengaluru urban","Karnataka/Bidar","Karnataka/Chamarajanagara","Karnataka/Chikkaballapura","Karnataka/Chikkamagaluru","Karnataka/Chitradurga","Karnataka/DAKSHINA KANNADA","Karnataka/Dakshina Kannada","Karnataka/Davanagere","Karnataka/Dharwad","Karnataka/Gadag","Karnataka/HASSAN","Karnataka/HAVERI","Karnataka/Hassan","Karnataka/Haveri","Karnataka/KALABURAGI","Karnataka/KOPPAL","Karnataka/Kalaburagi","Karnataka/Kodagu","Karnataka/Kolar","Karnataka/Koppal","Karnataka/MANDYA","Karnataka/Mandya","Karnataka/Mysuru","Karnataka/Other State","Karnataka/RAICHUR","Karnataka/Raichur","Karnataka/Ramanagara","Karnataka/Shivamogga","Karnataka/Tumakuru","Karnataka/UDUPI","Karnataka/UTTARA KANNADA","Karnataka/Udupi","Karnataka/Uttara Kannada","Karnataka/Vijayapura","Karnataka/Yadgir"
"2020-03-09","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-10","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-12","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-17","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","   .00 %","","","","   .00 %","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","   .00 %","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","",""
"2020-03-23","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-24","","","","","","","-50.00 %","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","   .00 %","",""
"2020-03-25","","","","","",""," ##.## %","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-26","","","","","","","-66.67 %","","","","   .00 %","","","","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","","","","","",""
"2020-03-27","","","","","",""," ##.## %","","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","",""
"2020-03-28","","","","","","","-75.00 %","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","",""
"2020-03-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","",""," ##.## %","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-50.00 %","","","","","","   .00 %","","","","","",""
"2020-03-31","","","","   .00 %","",""," ##.## %","","","","   .00 %","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","   .00 %","","","","","","","","","","-75.00 %","",""
"2020-04-01","","","","","","","-50.00 %","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","   .00 %","","","","","","","","","","",""
"2020-04-02","","","","-66.67 %","","","","","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","","","","-50.00 %","-50.00 %","","","","","","","","","","",""
"2020-04-03","","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","   .00 %","",""," ##.## %","","","","","","",""," ##.## %","","","","","","","","","","","","","","",""," ##.## %","   .00 %","","","","","","","","","","",""
"2020-04-05","","","","   .00 %"," 33.33 %","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
