"date","Andhra Pradesh/Anantapur","Andhra Pradesh/Chittoor","Andhra Pradesh/East Godavari","Andhra Pradesh/Foreign Evacuees","Andhra Pradesh/Guntur","Andhra Pradesh/Krishna","Andhra Pradesh/Kurnool","Andhra Pradesh/Other State","Andhra Pradesh/Prakasam","Andhra Pradesh/S.P.S. Nellore","Andhra Pradesh/Srikakulam","Andhra Pradesh/Visakhapatnam","Andhra Pradesh/Vizianagaram","Andhra Pradesh/West Godavari","Andhra Pradesh/Y.S.R. Kadapa"
"2020-03-12","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","",""," 43.33 %","","",""
"2020-03-30","","","","","","","","","","","","","","",""
"2020-03-31","","","","",""," 41.67 %","","","","",""," 59.33 %","","",""
"2020-04-01","","","",""," 89.44 %"," 81.67 %","","","","",""," 61.56 %","","",""
"2020-04-02","","","","",""," 72.33 %","",""," ##.## %","","","","","",""
"2020-04-03","",""," 76.11 %","","","","","","","",""," 49.56 %","","",""
"2020-04-04","","","",""," 99.44 %"," 66.68 %","",""," ##.## %","","","","","",""
"2020-04-05",""," ##.## %","","","","","",""," 69.88 %"," ##.## %","","","","",""
"2020-04-06","","","",""," 80.78 %"," 60.73 %","",""," 17.42 %"," ##.## %",""," 46.70 %","",""," 13.67 %"
"2020-04-07",""," ##.## %","",""," 66.40 %",""," ##.## %","","","","","","","",""
"2020-04-08",""," 29.62 %","",""," 45.31 %"," 59.87 %","",""," 13.48 %"," ##.## %","","","","  9.96 %",""
"2020-04-09","",""," 77.93 %",""," 21.68 %","","",""," 18.67 %","","","","",""," 14.38 %"
"2020-04-10"," 56.41 %",""," 46.26 %",""," 14.42 %",""," ##.## %",""," 14.99 %","","","","","",""
"2020-04-11","","","",""," 18.95 %",""," ##.## %",""," 13.57 %","","","","",""," 11.07 %"
"2020-04-12",""," 20.62 %","",""," 15.19 %",""," 10.17 %","",""," 17.72 %","","","",""," 10.63 %"
"2020-04-13",""," 20.30 %","",""," 13.97 %"," 20.44 %","","",""," 12.34 %","","",""," 10.87 %",""
"2020-04-14"," 63.08 %","","",""," 17.67 %"," 14.22 %","  4.31 %","",""," 11.05 %","","",""," 10.31 %","  7.71 %"
"2020-04-15"," 54.08 %","","",""," 16.33 %"," 10.32 %","  8.26 %","","","  6.92 %","","",""," 14.81 %","  5.18 %"
"2020-04-16","","","","",""," 10.94 %","  8.27 %","","","","","",""," 10.50 %",""
"2020-04-17"," 38.84 %"," 10.65 %","",""," 10.96 %","  8.47 %","  9.45 %","","","  6.10 %","","","","","  5.02 %"
"2020-04-18","",""," 41.95 %","",""," 14.44 %","  9.91 %",""," 13.66 %","  5.35 %","","",""," 10.14 %",""
"2020-04-19"," 17.81 %",""," 22.21 %","","  9.57 %"," 11.73 %"," 12.16 %","","","",""," 34.42 %","","",""
"2020-04-20"," 17.49 %"," 27.33 %"," 19.43 %",""," 10.02 %"," 12.61 %","  9.97 %","","","","","","","","  5.95 %"
"2020-04-21"," 12.65 %","","","","  6.72 %"," 12.03 %"," 10.57 %","","","","","",""," 11.51 %","  8.29 %"
"2020-04-22",""," 27.37 %","","","  7.73 %"," 11.08 %"," 10.13 %",""," 12.14 %","","","","","","  9.17 %"
"2020-04-23"," 14.98 %"," 31.12 %"," 22.23 %","","  9.29 %","  5.01 %"," 12.23 %","","  5.12 %","",""," 19.42 %","","",""
"2020-04-24"," 12.12 %",""," 15.15 %","","  9.94 %","  6.45 %"," 10.60 %","","  5.29 %","  4.09 %","","","","",""
"2020-04-25"," 11.99 %",""," 14.56 %","","  7.11 %"," 10.02 %","  9.65 %","","","  5.28 %","","","","","  8.92 %"
"2020-04-26"," 10.01 %",""," 10.38 %","","  6.47 %"," 17.15 %","  8.79 %","","  5.94 %","","","",""," 16.80 %","  9.46 %"
"2020-04-27",""," 29.21 %","","","  6.20 %"," 20.15 %","  7.66 %","","","  6.53 %","","",""," 12.14 %",""
"2020-04-28","  8.57 %"," 25.14 %","","","  5.59 %"," 20.92 %","  7.34 %","","","  5.19 %","","","",""," 10.25 %"
"2020-04-29","  6.72 %","  8.09 %","  9.22 %","","  6.74 %"," 18.91 %","  5.70 %","","  6.41 %","  4.24 %",""," 18.15 %",""," 10.95 %","  8.48 %"
"2020-04-30","  5.85 %","  6.61 %","  5.61 %","","  6.73 %"," 14.85 %","  7.13 %","","","  4.43 %",""," 10.15 %","","","  7.46 %"
"2020-05-01","  5.64 %","  1.86 %","  4.36 %","","  7.47 %","  6.98 %","  8.14 %","","","  3.23 %","","  4.82 %",""," 11.07 %","  7.54 %"
"2020-05-02","  6.05 %","  1.86 %","  4.02 %","","  5.46 %","  4.23 %","  8.42 %","","  4.93 %","  2.71 %","","  7.10 %","","  9.13 %","  7.46 %"
"2020-05-03","  7.65 %","  1.84 %","  2.94 %","","  4.74 %","  3.61 %","  7.06 %","","","  2.16 %","","","","",""
